#wls	flux	fluxerr
1.600000E+03	8.924931E-18	8.175223E-18
1.640000E+03	8.982790E-18	8.132266E-18
1.680000E+03	9.045312E-18	8.089797E-18
1.720000E+03	9.112811E-18	8.047858E-18
1.760000E+03	9.184056E-18	8.005123E-18
1.800000E+03	9.262561E-18	7.964396E-18
1.840000E+03	9.347168E-18	7.924346E-18
1.880000E+03	9.438326E-18	7.885030E-18
1.920000E+03	9.538131E-18	7.847829E-18
1.960000E+03	9.645533E-18	7.811459E-18
2.000000E+03	9.761120E-18	7.775982E-18
2.040000E+03	9.885538E-18	7.741461E-18
2.080000E+03	1.002115E-17	7.709239E-18
2.120000E+03	1.016879E-17	7.679345E-18
2.160000E+03	1.032767E-17	7.650553E-18
2.200000E+03	1.049873E-17	7.622924E-18
2.240000E+03	1.068647E-17	7.598973E-18
2.280000E+03	1.088868E-17	7.576243E-18
2.320000E+03	1.110839E-17	7.555984E-18
2.360000E+03	1.134710E-17	7.538190E-18
2.400000E+03	1.160644E-17	7.522843E-18
2.440000E+03	1.188824E-17	7.509906E-18
2.480000E+03	1.219451E-17	7.499319E-18
2.520000E+03	1.252751E-17	7.490993E-18
2.560000E+03	1.289171E-17	7.485951E-18
2.600000E+03	1.328798E-17	7.482861E-18
2.640000E+03	1.371943E-17	7.481504E-18
2.680000E+03	1.419163E-17	7.482714E-18
2.720000E+03	1.470643E-17	7.485000E-18
2.760000E+03	1.527037E-17	7.489008E-18
2.800000E+03	1.588844E-17	7.494152E-18
2.840000E+03	1.656625E-17	7.499716E-18
2.880000E+03	1.730760E-17	7.503766E-18
2.920000E+03	1.812431E-17	7.507392E-18
2.960000E+03	1.901918E-17	7.507212E-18
3.000000E+03	2.000338E-17	7.502786E-18
3.010000E+03	2.026459E-17	7.500845E-18
3.020000E+03	2.053442E-17	7.499329E-18
3.030000E+03	2.080746E-17	7.496157E-18
3.040000E+03	2.108948E-17	7.493340E-18
3.050000E+03	2.137785E-17	7.489822E-18
3.060000E+03	2.167273E-17	7.485570E-18
3.070000E+03	2.197429E-17	7.480546E-18
3.080000E+03	2.228270E-17	7.474713E-18
3.090000E+03	2.260116E-17	7.469032E-18
3.100000E+03	2.292689E-17	7.462455E-18
3.110000E+03	2.326008E-17	7.454941E-18
3.120000E+03	2.360093E-17	7.446447E-18
3.130000E+03	2.395279E-17	7.437909E-18
3.140000E+03	2.430957E-17	7.427313E-18
3.150000E+03	2.467785E-17	7.416570E-18
3.160000E+03	2.505468E-17	7.404648E-18
3.170000E+03	2.544026E-17	7.391495E-18
3.180000E+03	2.583819E-17	7.378017E-18
3.190000E+03	2.624540E-17	7.363191E-18
3.200000E+03	2.665871E-17	7.346011E-18
3.210000E+03	2.708518E-17	7.328322E-18
3.220000E+03	2.752519E-17	7.310047E-18
3.230000E+03	2.797197E-17	7.289245E-18
3.240000E+03	2.843289E-17	7.267723E-18
3.250000E+03	2.890469E-17	7.244478E-18
3.260000E+03	2.938761E-17	7.219446E-18
3.270000E+03	2.988195E-17	7.192559E-18
3.280000E+03	3.039179E-17	7.164651E-18
3.290000E+03	3.090983E-17	7.133846E-18
3.300000E+03	3.144405E-17	7.101869E-18
3.310000E+03	3.199490E-17	7.068629E-18
3.320000E+03	3.255478E-17	7.032290E-18
3.330000E+03	3.312791E-17	6.993668E-18
3.340000E+03	3.371876E-17	6.953553E-18
3.350000E+03	3.432361E-17	6.911003E-18
3.360000E+03	3.494276E-17	6.865951E-18
3.370000E+03	3.558089E-17	6.819162E-18
3.380000E+03	3.622970E-17	6.768903E-18
3.390000E+03	3.689826E-17	6.716767E-18
3.400000E+03	3.758258E-17	6.661867E-18
3.410000E+03	3.828298E-17	6.604152E-18
3.420000E+03	3.900449E-17	6.544359E-18
3.430000E+03	3.973815E-17	6.480873E-18
3.440000E+03	4.049375E-17	6.415219E-18
3.450000E+03	4.126694E-17	6.346593E-18
3.460000E+03	4.205808E-17	6.274982E-18
3.470000E+03	4.287255E-17	6.201121E-18
3.480000E+03	4.370068E-17	6.123554E-18
3.490000E+03	4.455300E-17	6.043763E-18
3.500000E+03	4.542479E-17	5.961070E-18
3.510000E+03	4.631639E-17	5.875552E-18
3.520000E+03	4.722813E-17	5.787306E-18
3.530000E+03	4.816590E-17	5.697119E-18
3.540000E+03	4.912465E-17	5.604467E-18
3.550000E+03	5.010468E-17	5.509546E-18
3.560000E+03	5.110632E-17	5.412592E-18
3.570000E+03	5.212985E-17	5.313882E-18
3.580000E+03	5.318158E-17	5.214336E-18
3.590000E+03	5.424986E-17	5.113141E-18
3.600000E+03	5.534707E-17	5.011902E-18
3.610000E+03	5.646744E-17	4.910529E-18
3.620000E+03	5.761122E-17	4.809588E-18
3.626426E+03	4.863162E-17	9.398404E-18
3.627611E+03	4.858588E-17	9.397017E-18
3.628796E+03	4.866174E-17	9.398272E-18
3.629981E+03	4.888554E-17	9.402749E-18
3.632351E+03	4.904030E-17	9.405331E-18
3.633536E+03	4.903408E-17	9.404797E-18
3.634721E+03	4.908664E-17	9.405545E-18
3.635906E+03	4.919898E-17	9.407600E-18
3.637091E+03	4.919885E-17	9.407196E-18
3.638276E+03	4.924939E-17	9.407900E-18
3.639461E+03	4.945900E-17	9.412085E-18
3.640646E+03	4.976082E-17	9.418309E-18
3.641831E+03	5.008392E-17	9.425032E-18
3.643016E+03	5.054483E-17	9.434855E-18
3.644201E+03	5.106753E-17	9.446136E-18
3.645386E+03	5.166319E-17	9.459162E-18
3.646571E+03	5.222846E-17	9.471610E-18
3.647756E+03	5.268935E-17	9.481755E-18
3.648941E+03	5.316545E-17	9.492320E-18
3.650126E+03	5.357163E-17	9.501322E-18
3.651311E+03	5.392714E-17	9.509184E-18
3.652497E+03	5.424011E-17	9.516078E-18
3.653682E+03	5.459765E-17	9.508800E-18
3.654867E+03	5.479815E-17	9.401753E-18
3.656052E+03	5.502194E-17	9.382442E-18
3.658422E+03	5.530540E-17	9.373040E-18
3.659607E+03	5.555757E-17	9.398368E-18
3.660792E+03	5.581886E-17	9.703591E-18
3.661977E+03	5.621694E-17	1.013287E-17
3.663162E+03	5.651876E-17	1.042032E-17
3.664347E+03	5.668582E-17	1.057719E-17
3.665532E+03	5.683971E-17	1.070436E-17
3.666717E+03	5.705946E-17	1.053830E-17
3.667902E+03	5.725996E-17	1.044678E-17
3.669087E+03	5.752531E-17	1.038384E-17
3.670272E+03	5.776532E-17	1.037574E-17
3.671457E+03	5.805701E-17	1.020511E-17
3.672642E+03	5.832742E-17	9.985970E-18
3.673827E+03	5.855123E-17	9.809673E-18
3.675012E+03	5.873755E-17	9.549474E-18
3.676197E+03	5.897757E-17	9.650487E-18
3.677382E+03	5.919834E-17	9.644263E-18
3.678567E+03	5.940797E-17	9.463705E-18
3.679752E+03	5.966926E-17	9.621090E-18
3.680937E+03	5.998527E-17	9.602493E-18
3.682122E+03	6.027596E-17	9.624834E-18
3.683307E+03	6.050686E-17	9.709029E-18
3.684492E+03	6.065671E-17	9.611130E-18
3.685677E+03	6.083291E-17	9.880496E-18
3.686862E+03	6.099289E-17	9.893338E-18
3.688047E+03	6.123799E-17	1.001395E-17
3.689233E+03	6.160365E-17	9.967001E-18
3.690418E+03	6.207063E-17	1.041662E-17
3.691602E+03	6.252342E-17	1.084348E-17
3.692788E+03	6.300155E-17	1.094674E-17
3.693973E+03	6.359010E-17	1.132533E-17
3.695158E+03	6.425972E-17	1.130978E-17
3.696343E+03	6.503064E-17	1.105857E-17
3.697528E+03	6.585831E-17	1.082672E-17
3.698713E+03	6.676094E-17	1.087875E-17
3.699898E+03	6.755011E-17	1.112863E-17
3.701083E+03	6.828051E-17	1.239966E-17
3.702268E+03	6.895721E-17	1.370474E-17
3.703453E+03	6.960960E-17	1.421637E-17
3.704638E+03	7.026199E-17	1.436159E-17
3.705823E+03	7.089513E-17	1.467030E-17
3.707008E+03	7.148369E-17	1.473616E-17
3.708193E+03	7.201956E-17	1.474029E-17
3.709378E+03	7.252505E-17	1.476603E-17
3.710563E+03	7.297582E-17	1.496217E-17
3.711748E+03	7.344281E-17	1.494282E-17
3.712933E+03	7.389055E-17	1.486735E-17
3.714118E+03	7.436767E-17	1.525558E-17
3.715303E+03	7.473841E-17	1.554870E-17
3.716488E+03	7.503317E-17	1.560592E-17
3.717673E+03	7.534819E-17	1.563554E-17
3.718858E+03	7.566119E-17	1.560819E-17
3.720043E+03	7.597013E-17	1.551527E-17
3.721228E+03	7.628820E-17	1.569826E-17
3.722413E+03	7.659715E-17	1.624841E-17
3.723598E+03	7.685645E-17	1.680976E-17
3.724783E+03	7.707119E-17	1.714227E-17
3.725968E+03	7.723020E-17	1.756086E-17
3.727153E+03	7.741960E-17	1.787050E-17
3.728338E+03	7.769107E-17	1.805014E-17
3.729523E+03	7.790176E-17	1.808346E-17
3.730709E+03	7.803039E-17	1.835934E-17
3.731894E+03	7.814078E-17	1.835288E-17
3.733079E+03	7.824914E-17	1.839813E-17
3.734264E+03	7.831901E-17	1.843590E-17
3.735449E+03	7.845372E-17	1.834101E-17
3.736634E+03	7.865935E-17	1.841326E-17
3.737819E+03	7.874240E-17	1.875407E-17
3.739004E+03	7.877581E-17	1.897317E-17
3.740189E+03	7.875349E-17	1.880801E-17
3.741374E+03	7.868255E-17	1.859231E-17
3.742559E+03	7.845559E-17	1.851478E-17
3.743744E+03	7.830765E-17	1.823452E-17
3.744929E+03	7.814047E-17	1.800000E-17
3.746114E+03	7.794998E-17	1.802650E-17
3.747299E+03	7.775545E-17	1.813983E-17
3.748484E+03	7.769060E-17	1.815973E-17
3.749669E+03	7.768451E-17	1.803810E-17
3.750854E+03	7.762473E-17	1.723488E-17
3.752039E+03	7.758319E-17	1.615932E-17
3.753224E+03	7.763790E-17	1.564061E-17
3.754409E+03	7.757103E-17	1.548852E-17
