spec_file	spec_mjd	ZTF_g_fitflux	ZTF_g_fitfluxerr	ZTF_g_inrange	ZTF_r_fitflux	ZTF_r_fitfluxerr	ZTF_r_inrange	ps_g_fitflux	ps_g_fitfluxerr	ps_g_inrange	ps_i_fitflux	ps_i_fitfluxerr	ps_i_inrange	ps_r_fitflux	ps_r_fitfluxerr	ps_r_inrange	ps_z_fitflux	ps_z_fitfluxerr	ps_z_inrange
C:/Users/Filip/Desktop/ASTRprojekt/template2\Inputs/Spectroscopy\2_spec_smoothed/SN2020esm/58931.4.txt	58931.4	1.5884609675202777e-15	1.3527296586697868e-16	False	7.831868471682905e-16	1.4579969605135864e-16	True	1.4621841701657754e-15	7.589292615882626e-17	True	3.618558825015864e-16	2.2144696120836765e-17	True	6.037937300759252e-16	4.0525758078042e-17	True	2.4469880612521244e-16	9.111516133085856e-18	True
C:/Users/Filip/Desktop/ASTRprojekt/template2\Inputs/Spectroscopy\2_spec_smoothed/SN2020esm/58932.txt	58932.0	1.6061763621170777e-15	1.2476668114202674e-16	False	7.8982303860802735e-16	1.395565035655904e-16	True	1.4674284903340995e-15	6.965398758331984e-17	True	3.654204817503661e-16	2.0674238486029462e-17	True	6.168842152386403e-16	3.792698534213527e-17	True	2.4601607918993995e-16	8.65334588787065e-18	True
C:/Users/Filip/Desktop/ASTRprojekt/template2\Inputs/Spectroscopy\2_spec_smoothed/SN2020esm/58936.txt	58936.0	1.727759981278762e-15	5.92574914941576e-17	True	8.320307816322344e-16	8.870679424104184e-17	True	1.4925249906237757e-15	2.310456295439377e-17	True	3.9356194818142793e-16	7.152598078530329e-18	True	7.100904398400906e-16	1.3265566412283456e-17	True	2.5443130055096687e-16	4.171412500773699e-18	True
C:/Users/Filip/Desktop/ASTRprojekt/template2\Inputs/Spectroscopy\2_spec_smoothed/SN2020esm/58938.txt	58938.0	1.7906691429832035e-15	3.204943727000114e-17	True	8.503819690639299e-16	6.035934282659955e-17	True	1.4979804172386992e-15	1.1208839961082126e-17	True	4.1140992697965697e-16	2.9327726880736387e-18	True	7.610542733679076e-16	5.4409847596769366e-18	True	2.5880541067025473e-16	3.25030588391738e-18	True
C:/Users/Filip/Desktop/ASTRprojekt/template2\Inputs/Spectroscopy\2_spec_smoothed/SN2020esm/58941.txt	58941.0	1.8682995455736897e-15	1.1572912826042149e-17	True	8.712576352221997e-16	3.832094378593777e-17	True	1.4956086125909412e-15	4.079644315529514e-17	True	4.423900157651581e-16	1.2110008377833322e-17	True	8.409675355164574e-16	2.292022089648733e-17	True	2.6596114036257864e-16	7.792551801704894e-18	True
C:/Users/Filip/Desktop/ASTRprojekt/template2\Inputs/Spectroscopy\2_spec_smoothed/SN2020esm/58949.txt	58949.0	1.7644361269789274e-15	3.1136315957965576e-17	True	8.796114240938239e-16	6.294407969376055e-17	True	1.4024909051170343e-15	7.13673234168282e-17	True	5.046398892295525e-16	9.535500038575985e-18	True	1.0023264332918398e-15	1.872664977724359e-17	True	2.860125454908166e-16	1.92969463417656e-17	True
C:/Users/Filip/Desktop/ASTRprojekt/template2\Inputs/Spectroscopy\2_spec_smoothed/SN2020esm/58955.txt	58955.0	1.3904648630911558e-15	1.103228508618027e-17	True	8.410392307543006e-16	1.1338702994634151e-17	True	1.2128830222037206e-15	4.133532879872301e-17	True	4.773475750758823e-16	7.869413854221216e-18	True	9.822203686998146e-16	2.483768822242442e-17	True	2.9843303125221773e-16	2.2024511337717844e-17	True
C:/Users/Filip/Desktop/ASTRprojekt/template2\Inputs/Spectroscopy\2_spec_smoothed/SN2020esm/58992.txt	58992.0	2.1043654842870102e-16	5.6296469618552e-18	True	2.650415730461421e-16	4.4281934782565346e-18	True	2.1572988002295987e-16	7.294493003648323e-18	True	1.7685085941238145e-16	7.117708708282877e-18	True	2.7598715590376865e-16	8.677611773349415e-18	True	1.6050474176120608e-16	1.2709116061770343e-17	True
C:/Users/Filip/Desktop/ASTRprojekt/template2\Inputs/Spectroscopy\2_spec_smoothed/SN2020esm/59017.txt	59017.0	1.519524298133027e-16	9.502092320726578e-18	True	1.3687585759956351e-16	7.006642309702921e-18	True	1.456667029153863e-16	1.5966320767996684e-17	True	7.943088038121143e-17	3.1125201457573945e-17	True	1.5268725655187244e-16	5.099356685637092e-17	True	6.474510942097285e-17	3.0472026248550448e-18	True
C:/Users/Filip/Desktop/ASTRprojekt/template2\Inputs/Spectroscopy\2_spec_smoothed/SN2020esm/59055.txt	59055.0	8.36955126110728e-17	1.5661415499782436e-16	False	6.708925177238084e-17	1.5784721120666607e-16	False	8.773285973762251e-17	9.249175744050349e-18	True	2.954455645108479e-17	7.404076825384068e-17	False	6.550943240082302e-17	6.121474690451264e-18	True	2.563846404072671e-17	3.7090804989524875e-17	False
