#wls	flux	fluxerr	mangling_mask
3.308060E+03	2.282830E-15	5.150402E-16	7.153517E+00
3.315060E+03	2.297631E-15	5.168467E-16	7.159737E+00
3.322060E+03	2.317828E-15	5.198355E-16	7.165955E+00
3.329060E+03	2.334901E-15	5.220962E-16	7.172173E+00
3.336060E+03	2.341088E-15	5.228188E-16	7.178388E+00
3.343060E+03	2.337798E-15	5.214032E-16	7.184602E+00
3.350060E+03	2.322849E-15	5.162594E-16	7.190814E+00
3.357060E+03	2.299953E-15	5.086671E-16	7.197024E+00
3.364060E+03	2.276293E-15	5.012437E-16	7.203231E+00
3.371060E+03	2.255760E-15	4.969905E-16	7.209435E+00
3.378060E+03	2.238651E-15	4.938339E-16	7.215636E+00
3.385060E+03	2.222447E-15	4.910476E-16	7.221833E+00
3.392060E+03	2.208379E-15	4.862230E-16	7.228027E+00
3.399060E+03	2.199057E-15	4.808424E-16	7.234217E+00
3.406060E+03	2.197607E-15	4.801215E-16	7.240402E+00
3.413060E+03	2.209556E-15	4.825221E-16	7.246583E+00
3.420060E+03	2.240595E-15	4.898976E-16	7.252759E+00
3.427060E+03	2.283151E-15	4.967461E-16	7.258930E+00
3.434060E+03	2.334275E-15	5.035088E-16	7.265096E+00
3.441060E+03	2.389116E-15	5.108405E-16	7.271255E+00
3.448060E+03	2.438150E-15	5.194310E-16	7.277409E+00
3.455060E+03	2.482600E-15	5.268079E-16	7.283556E+00
3.462060E+03	2.514945E-15	5.317512E-16	7.289697E+00
3.469060E+03	2.535228E-15	5.336434E-16	7.295830E+00
3.476060E+03	2.540278E-15	5.328115E-16	7.301956E+00
3.483060E+03	2.530275E-15	5.289662E-16	7.308075E+00
3.490060E+03	2.500866E-15	5.213882E-16	7.314185E+00
3.497060E+03	2.464301E-15	5.123666E-16	7.320287E+00
3.504060E+03	2.421295E-15	5.016282E-16	7.326380E+00
3.511060E+03	2.381145E-15	4.906660E-16	7.332464E+00
3.518060E+03	2.351635E-15	4.819871E-16	7.338539E+00
3.525060E+03	2.328093E-15	4.751815E-16	7.344604E+00
3.532060E+03	2.307004E-15	4.692327E-16	7.350659E+00
3.539060E+03	2.288965E-15	4.634028E-16	7.356704E+00
3.546060E+03	2.270595E-15	4.580022E-16	7.362738E+00
3.553060E+03	2.254472E-15	4.531285E-16	7.368760E+00
3.560060E+03	2.243037E-15	4.496015E-16	7.374771E+00
3.567060E+03	2.235340E-15	4.465914E-16	7.380770E+00
3.574060E+03	2.231318E-15	4.441330E-16	7.386757E+00
3.581060E+03	2.228169E-15	4.418956E-16	7.392731E+00
3.588060E+03	2.226636E-15	4.408858E-16	7.398692E+00
3.595060E+03	2.229685E-15	4.419291E-16	7.404639E+00
3.602060E+03	2.237919E-15	4.427994E-16	7.410572E+00
3.609060E+03	2.250609E-15	4.423699E-16	7.416491E+00
3.616060E+03	2.267765E-15	4.428581E-16	7.422396E+00
3.623060E+03	2.283455E-15	4.445186E-16	7.428285E+00
3.630060E+03	2.295668E-15	4.485416E-16	7.434159E+00
3.637060E+03	2.305884E-15	4.510882E-16	7.440017E+00
3.644060E+03	2.311716E-15	4.485453E-16	7.445858E+00
3.651060E+03	2.313300E-15	4.444700E-16	7.451683E+00
3.658060E+03	2.310927E-15	4.420923E-16	7.457490E+00
3.665060E+03	2.308318E-15	4.427555E-16	7.463280E+00
3.672060E+03	2.298825E-15	4.412001E-16	7.469052E+00
3.679060E+03	2.283777E-15	4.347426E-16	7.474805E+00
3.686060E+03	2.263087E-15	4.256754E-16	7.480539E+00
3.693060E+03	2.237042E-15	4.178245E-16	7.486253E+00
3.700060E+03	2.206753E-15	4.109830E-16	7.491947E+00
3.707060E+03	2.174985E-15	4.035919E-16	7.497622E+00
3.714060E+03	2.147962E-15	3.956781E-16	7.503275E+00
3.721060E+03	2.126372E-15	3.886916E-16	7.508906E+00
3.728060E+03	2.108648E-15	3.834843E-16	7.514516E+00
3.735060E+03	2.090514E-15	3.784454E-16	7.520104E+00
3.742060E+03	2.073472E-15	3.737675E-16	7.525669E+00
3.749060E+03	2.054740E-15	3.686810E-16	7.531210E+00
3.756060E+03	2.030922E-15	3.628950E-16	7.536727E+00
3.763060E+03	2.003214E-15	3.564019E-16	7.542220E+00
3.770060E+03	1.977494E-15	3.506759E-16	7.547689E+00
3.777060E+03	1.955128E-15	3.456627E-16	7.553132E+00
3.784060E+03	1.937558E-15	3.416929E-16	7.558548E+00
3.791060E+03	1.926989E-15	3.376595E-16	7.563939E+00
3.798060E+03	1.920256E-15	3.347297E-16	7.569302E+00
3.805060E+03	1.913354E-15	3.341183E-16	7.574638E+00
3.812060E+03	1.905750E-15	3.329733E-16	7.579946E+00
3.819060E+03	1.894106E-15	3.302776E-16	7.585225E+00
3.826060E+03	1.878339E-15	3.253978E-16	7.590475E+00
3.833060E+03	1.863224E-15	3.189334E-16	7.595695E+00
3.840060E+03	1.849675E-15	3.156956E-16	7.600884E+00
3.847060E+03	1.837164E-15	3.146195E-16	7.606043E+00
3.854060E+03	1.825996E-15	3.122315E-16	7.611170E+00
3.861060E+03	1.817698E-15	3.084014E-16	7.616265E+00
3.868060E+03	1.808465E-15	3.030819E-16	7.621328E+00
3.875060E+03	1.797761E-15	2.981451E-16	7.626357E+00
3.882060E+03	1.785736E-15	2.962725E-16	7.631352E+00
3.889060E+03	1.773457E-15	2.953409E-16	7.636312E+00
3.896060E+03	1.762757E-15	2.919760E-16	7.641238E+00
3.903060E+03	1.758762E-15	2.878091E-16	7.646127E+00
3.910060E+03	1.766229E-15	2.866332E-16	7.650981E+00
3.917060E+03	1.784566E-15	2.897619E-16	7.655797E+00
3.924060E+03	1.808509E-15	2.940817E-16	7.660575E+00
3.931060E+03	1.833007E-15	2.968143E-16	7.665315E+00
3.938060E+03	1.851542E-15	2.954172E-16	7.670016E+00
3.945060E+03	1.861416E-15	2.948793E-16	7.674677E+00
3.952060E+03	1.859004E-15	2.971187E-16	7.679298E+00
3.959060E+03	1.845821E-15	2.969217E-16	7.683877E+00
3.966060E+03	1.827536E-15	2.927771E-16	7.688415E+00
3.973060E+03	1.810373E-15	2.853695E-16	7.692911E+00
3.980060E+03	1.794794E-15	2.806146E-16	7.697363E+00
3.987060E+03	1.784423E-15	2.841107E-16	7.701772E+00
3.994060E+03	1.783585E-15	2.879712E-16	7.706135E+00
4.001060E+03	1.790599E-15	2.863354E-16	7.710454E+00
4.008060E+03	1.803394E-15	2.807093E-16	7.714726E+00
4.015060E+03	1.819820E-15	2.754252E-16	7.718952E+00
4.022060E+03	1.841426E-15	2.799659E-16	7.723130E+00
4.029060E+03	1.867370E-15	2.868672E-16	7.727260E+00
4.036060E+03	1.901137E-15	2.887689E-16	7.731341E+00
4.043060E+03	1.941501E-15	2.878695E-16	7.735372E+00
4.050060E+03	1.984292E-15	2.869600E-16	7.739352E+00
4.057060E+03	2.026184E-15	2.908025E-16	7.743281E+00
4.064060E+03	2.061829E-15	2.953183E-16	7.747158E+00
4.071060E+03	2.083386E-15	2.960581E-16	7.750981E+00
4.078060E+03	2.085485E-15	2.928726E-16	7.754751E+00
4.085060E+03	2.068950E-15	2.879425E-16	7.758467E+00
4.092060E+03	2.032513E-15	2.811456E-16	7.762126E+00
4.099060E+03	1.984532E-15	2.727964E-16	7.765730E+00
4.106060E+03	1.929578E-15	2.640170E-16	7.769277E+00
4.113060E+03	1.872770E-15	2.547966E-16	7.772765E+00
4.120060E+03	1.819707E-15	2.464610E-16	7.776195E+00
4.127060E+03	1.776075E-15	2.388975E-16	7.779565E+00
4.134060E+03	1.738694E-15	2.316022E-16	7.782874E+00
4.141060E+03	1.711857E-15	2.263155E-16	7.786122E+00
4.148060E+03	1.694798E-15	2.225698E-16	7.789308E+00
4.155060E+03	1.685892E-15	2.198389E-16	7.792430E+00
4.162060E+03	1.687489E-15	2.180652E-16	7.795489E+00
4.169060E+03	1.702097E-15	2.180058E-16	7.798482E+00
4.176060E+03	1.723487E-15	2.189864E-16	7.801409E+00
4.183060E+03	1.749639E-15	2.206012E-16	7.804269E+00
4.190060E+03	1.780791E-15	2.228622E-16	7.807062E+00
4.197060E+03	1.809137E-15	2.246967E-16	7.809785E+00
4.204060E+03	1.830298E-15	2.259096E-16	7.812439E+00
4.211060E+03	1.842313E-15	2.256585E-16	7.815022E+00
4.218060E+03	1.848768E-15	2.245045E-16	7.817533E+00
4.225060E+03	1.846921E-15	2.225701E-16	7.819972E+00
4.232060E+03	1.843334E-15	2.210453E-16	7.822336E+00
4.239060E+03	1.836753E-15	2.196748E-16	7.824626E+00
4.246060E+03	1.829054E-15	2.173599E-16	7.826840E+00
4.253060E+03	1.817184E-15	2.134663E-16	7.828978E+00
4.260060E+03	1.804663E-15	2.097751E-16	7.831037E+00
4.267060E+03	1.787338E-15	2.065824E-16	7.833018E+00
4.274060E+03	1.767949E-15	2.041196E-16	7.834918E+00
4.281060E+03	1.748220E-15	2.006720E-16	7.836738E+00
4.288060E+03	1.732146E-15	1.960634E-16	7.838475E+00
4.295060E+03	1.717694E-15	1.920407E-16	7.840130E+00
4.302060E+03	1.703531E-15	1.892384E-16	7.841699E+00
4.309060E+03	1.687853E-15	1.862808E-16	7.843184E+00
4.316060E+03	1.669798E-15	1.829272E-16	7.844582E+00
4.323060E+03	1.645990E-15	1.779391E-16	7.845892E+00
4.330060E+03	1.615956E-15	1.728975E-16	7.847113E+00
4.337060E+03	1.582991E-15	1.691776E-16	7.848245E+00
4.344060E+03	1.547016E-15	1.641724E-16	7.849285E+00
