#wls	flux	fluxerr
1.588055E+03	1.848422E-03	4.395142E-05
1.627756E+03	1.878886E-03	4.463745E-05
1.667457E+03	1.910868E-03	4.535741E-05
1.707159E+03	1.944351E-03	4.611070E-05
1.746860E+03	1.979580E-03	4.690297E-05
1.786561E+03	2.016796E-03	4.773975E-05
1.826263E+03	2.055976E-03	4.862027E-05
1.865964E+03	2.097620E-03	4.955618E-05
1.905666E+03	2.141699E-03	5.054648E-05
1.945367E+03	2.188707E-03	5.160262E-05
1.985068E+03	2.239135E-03	5.273580E-05
2.024770E+03	2.293470E-03	5.395718E-05
2.064471E+03	2.351923E-03	5.527129E-05
2.104172E+03	2.415501E-03	5.670134E-05
2.143874E+03	2.484394E-03	5.825122E-05
2.183575E+03	2.560120E-03	5.995595E-05
2.223277E+03	2.642836E-03	6.181849E-05
2.262978E+03	2.733751E-03	6.386634E-05
2.302679E+03	2.833243E-03	6.610738E-05
2.342381E+03	2.942191E-03	6.856119E-05
2.382082E+03	3.060367E-03	7.122138E-05
2.421783E+03	3.188301E-03	7.409920E-05
2.461485E+03	3.325678E-03	7.718618E-05
2.501186E+03	3.472403E-03	8.047891E-05
2.540887E+03	3.628851E-03	8.398491E-05
2.580589E+03	3.794549E-03	8.769193E-05
2.620290E+03	3.969746E-03	9.160451E-05
2.659992E+03	4.154098E-03	9.571335E-05
2.699693E+03	4.347704E-03	1.000194E-04
2.739394E+03	4.549802E-03	1.045038E-04
2.779096E+03	4.760322E-03	1.091636E-04
2.818797E+03	4.979096E-03	1.139937E-04
2.858498E+03	5.205597E-03	1.189805E-04
2.898200E+03	5.439444E-03	1.241141E-04
2.937901E+03	5.681622E-03	1.294156E-04
2.977602E+03	5.933660E-03	1.349184E-04
2.987528E+03	5.998404E-03	1.363297E-04
2.997453E+03	6.064031E-03	1.377595E-04
3.007378E+03	6.130511E-03	1.392071E-04
3.017304E+03	6.197812E-03	1.406718E-04
3.027229E+03	6.265902E-03	1.421527E-04
3.037155E+03	6.334990E-03	1.436546E-04
3.047080E+03	6.405040E-03	1.451765E-04
3.057005E+03	6.476256E-03	1.467232E-04
3.066931E+03	6.548360E-03	1.482883E-04
3.076856E+03	6.621554E-03	1.498762E-04
3.086781E+03	6.696032E-03	1.514914E-04
3.096707E+03	6.771517E-03	1.531275E-04
3.106632E+03	6.848201E-03	1.547889E-04
3.116557E+03	6.926271E-03	1.564796E-04
3.126483E+03	7.005450E-03	1.581934E-04
3.136408E+03	7.086152E-03	1.599397E-04
3.146333E+03	7.168325E-03	1.617171E-04
3.156259E+03	7.251687E-03	1.635192E-04
3.166184E+03	7.336643E-03	1.653552E-04
3.176109E+03	7.423136E-03	1.672237E-04
3.186035E+03	7.511108E-03	1.691233E-04
3.195960E+03	7.600499E-03	1.710526E-04
3.205885E+03	7.691698E-03	1.730203E-04
3.215811E+03	7.784639E-03	1.750248E-04
3.225736E+03	7.879030E-03	1.770596E-04
3.235661E+03	7.975251E-03	1.791330E-04
3.245587E+03	8.073228E-03	1.812434E-04
3.255512E+03	8.172890E-03	1.833891E-04
3.265437E+03	8.274161E-03	1.855684E-04
3.275363E+03	8.377401E-03	1.877892E-04
3.285288E+03	8.482316E-03	1.900448E-04
3.295213E+03	8.589040E-03	1.923383E-04
3.305139E+03	8.697491E-03	1.946676E-04
3.315064E+03	8.807801E-03	1.970357E-04
3.324989E+03	8.919673E-03	1.994359E-04
3.334915E+03	9.033234E-03	2.018709E-04
3.344840E+03	9.148191E-03	2.043341E-04
3.354765E+03	9.264879E-03	2.068329E-04
3.364691E+03	9.383005E-03	2.093608E-04
3.374616E+03	9.502486E-03	2.119158E-04
3.384541E+03	9.623038E-03	2.144915E-04
3.394467E+03	9.744789E-03	2.170907E-04
3.404392E+03	9.867461E-03	2.197073E-04
3.414318E+03	9.990784E-03	2.223350E-04
3.420967E+03	6.660051E-03	1.481599E-04
3.425354E+03	7.394324E-03	1.644558E-04
3.429741E+03	8.253852E-03	1.835290E-04
3.434138E+03	9.026273E-03	2.006566E-04
3.438525E+03	9.600487E-03	2.133710E-04
3.442912E+03	1.000360E-02	2.222773E-04
3.447309E+03	1.037672E-02	2.305129E-04
3.451696E+03	1.057574E-02	2.348781E-04
3.456083E+03	1.077771E-02	2.393066E-04
3.460480E+03	1.120584E-02	2.487532E-04
3.464867E+03	1.166900E-02	2.589728E-04
3.469254E+03	1.198373E-02	2.658939E-04
3.473651E+03	1.219126E-02	2.704334E-04
3.478038E+03	1.233523E-02	2.735612E-04
3.482425E+03	1.233259E-02	2.734368E-04
3.486822E+03	1.239939E-02	2.748515E-04
3.491209E+03	1.254487E-02	2.780090E-04
3.495596E+03	1.282780E-02	2.842103E-04
3.499993E+03	1.316130E-02	2.915285E-04
3.504380E+03	1.366389E-02	3.025878E-04
3.508767E+03	1.420545E-02	3.145040E-04
3.513164E+03	1.487099E-02	3.291587E-04
3.517551E+03	1.510422E-02	3.342396E-04
3.521938E+03	1.537248E-02	3.400927E-04
3.526335E+03	1.552075E-02	3.432890E-04
3.530722E+03	1.555968E-02	3.440657E-04
3.535109E+03	1.550529E-02	3.427789E-04
3.539506E+03	1.550581E-02	3.427061E-04
3.543893E+03	1.550341E-02	3.425688E-04
3.548280E+03	1.528366E-02	3.376299E-04
3.552677E+03	1.500259E-02	3.313390E-04
3.557064E+03	1.470249E-02	3.246311E-04
3.561451E+03	1.433231E-02	3.163790E-04
3.565848E+03	1.386184E-02	3.059178E-04
3.570235E+03	1.347446E-02	2.972950E-04
3.574622E+03	1.308312E-02	2.885888E-04
3.579019E+03	1.271261E-02	2.803462E-04
3.583406E+03	1.230019E-02	2.711836E-04
3.587793E+03	1.180253E-02	2.601467E-04
3.592190E+03	1.139772E-02	2.511612E-04
3.596577E+03	1.117097E-02	2.461029E-04
3.600964E+03	1.086871E-02	2.393841E-04
3.605360E+03	1.070077E-02	2.356259E-04
3.609747E+03	1.067737E-02	2.350517E-04
3.614134E+03	1.077472E-02	2.371350E-04
3.618531E+03	1.089593E-02	2.397422E-04
3.622918E+03	1.117494E-02	2.458191E-04
3.627305E+03	1.138143E-02	2.502981E-04
3.631702E+03	1.157577E-02	2.545075E-04
3.636089E+03	1.181495E-02	2.597003E-04
3.640476E+03	1.219786E-02	2.680490E-04
3.644873E+03	1.264173E-02	2.777325E-04
3.649260E+03	1.321918E-02	2.903448E-04
3.653647E+03	1.392972E-02	3.058731E-04
3.658044E+03	1.440550E-02	3.162398E-04
3.662431E+03	1.474246E-02	3.235542E-04
3.666818E+03	1.492009E-02	3.273691E-04
3.671215E+03	1.502365E-02	3.295569E-04
3.675602E+03	1.503948E-02	3.298195E-04
3.679989E+03	1.516646E-02	3.325188E-04
3.684386E+03	1.514474E-02	3.319572E-04
3.688773E+03	1.505671E-02	3.299427E-04
3.693160E+03	1.495353E-02	3.275974E-04
3.697557E+03	1.472988E-02	3.226143E-04
3.701944E+03	1.433208E-02	3.138206E-04
3.706331E+03	1.396836E-02	3.057773E-04
3.710728E+03	1.357433E-02	2.970747E-04
3.715115E+03	1.315633E-02	2.878520E-04
3.719502E+03	1.275826E-02	2.790701E-04
3.723899E+03	1.242061E-02	2.716138E-04
3.728286E+03	1.207608E-02	2.640109E-04
3.732673E+03	1.173687E-02	2.565280E-04
3.737070E+03	1.139954E-02	2.490900E-04
3.741457E+03	1.098212E-02	2.399064E-04
3.745844E+03	1.057538E-02	2.309607E-04
3.750241E+03	1.030132E-02	2.249165E-04
3.754628E+03	1.021515E-02	2.229765E-04
