#wls	flux	fluxerr
1.588055E+03	1.375271E-03	4.955195E-05
1.627756E+03	1.374504E-03	4.933960E-05
1.667457E+03	1.374054E-03	4.913398E-05
1.707159E+03	1.373906E-03	4.893436E-05
1.746860E+03	1.373782E-03	4.873054E-05
1.786561E+03	1.373934E-03	4.853140E-05
1.826263E+03	1.374616E-03	4.834562E-05
1.865964E+03	1.375811E-03	4.817223E-05
1.905666E+03	1.377235E-03	4.800096E-05
1.945367E+03	1.379136E-03	4.784021E-05
1.985068E+03	1.381494E-03	4.768888E-05
2.024770E+03	1.384553E-03	4.755500E-05
2.064471E+03	1.388288E-03	4.743719E-05
2.104172E+03	1.392673E-03	4.733402E-05
2.143874E+03	1.397414E-03	4.723505E-05
2.183575E+03	1.403008E-03	4.715663E-05
2.223277E+03	1.409422E-03	4.709691E-05
2.262978E+03	1.416354E-03	4.704523E-05
2.302679E+03	1.424288E-03	4.701701E-05
2.342381E+03	1.432659E-03	4.699287E-05
2.382082E+03	1.441941E-03	4.698771E-05
2.421783E+03	1.451824E-03	4.699069E-05
2.461485E+03	1.462513E-03	4.700771E-05
2.501186E+03	1.473950E-03	4.703607E-05
2.540887E+03	1.486073E-03	4.707302E-05
2.580589E+03	1.499071E-03	4.712369E-05
2.620290E+03	1.512871E-03	4.718482E-05
2.659992E+03	1.527649E-03	4.726090E-05
2.699693E+03	1.543074E-03	4.734073E-05
2.739394E+03	1.559801E-03	4.744328E-05
2.779096E+03	1.577487E-03	4.755681E-05
2.818797E+03	1.596515E-03	4.769157E-05
2.858498E+03	1.617012E-03	4.784975E-05
2.898200E+03	1.638856E-03	4.802607E-05
2.937901E+03	1.662854E-03	4.824226E-05
2.977602E+03	1.689080E-03	4.849803E-05
2.987528E+03	1.696044E-03	4.856955E-05
2.997453E+03	1.703121E-03	4.864258E-05
3.007378E+03	1.710533E-03	4.872343E-05
3.017304E+03	1.717824E-03	4.879903E-05
3.027229E+03	1.725671E-03	4.888858E-05
3.037155E+03	1.733393E-03	4.897272E-05
3.047080E+03	1.741437E-03	4.906405E-05
3.057005E+03	1.749576E-03	4.915610E-05
3.066931E+03	1.758030E-03	4.925499E-05
3.076856E+03	1.766793E-03	4.936053E-05
3.086781E+03	1.775641E-03	4.946630E-05
3.096707E+03	1.784792E-03	4.957840E-05
3.106632E+03	1.794240E-03	4.969654E-05
3.116557E+03	1.803981E-03	4.982055E-05
3.126483E+03	1.813793E-03	4.994421E-05
3.136408E+03	1.824109E-03	5.007939E-05
3.146333E+03	1.834487E-03	5.021385E-05
3.156259E+03	1.845357E-03	5.035931E-05
3.166184E+03	1.856498E-03	5.050959E-05
3.176109E+03	1.867904E-03	5.066450E-05
3.186035E+03	1.879573E-03	5.082384E-05
3.195960E+03	1.891499E-03	5.098741E-05
3.205885E+03	1.903888E-03	5.116065E-05
3.215811E+03	1.916735E-03	5.134330E-05
3.225736E+03	1.929824E-03	5.152945E-05
3.235661E+03	1.943357E-03	5.172442E-05
3.245587E+03	1.957329E-03	5.192794E-05
3.255512E+03	1.971526E-03	5.213421E-05
3.265437E+03	1.986357E-03	5.235391E-05
3.275363E+03	2.001400E-03	5.257584E-05
3.285288E+03	2.017064E-03	5.281055E-05
3.295213E+03	2.033133E-03	5.305230E-05
3.305139E+03	2.049601E-03	5.330075E-05
3.315064E+03	2.066666E-03	5.356092E-05
3.324989E+03	2.084115E-03	5.382716E-05
3.334915E+03	2.102144E-03	5.410435E-05
3.344840E+03	2.120744E-03	5.439212E-05
3.354765E+03	2.139708E-03	5.468498E-05
3.364691E+03	2.159426E-03	5.499271E-05
3.374616E+03	2.179491E-03	5.530483E-05
3.384541E+03	2.200293E-03	5.563102E-05
3.394467E+03	2.221624E-03	5.596582E-05
3.404392E+03	2.243671E-03	5.631376E-05
3.414318E+03	2.266228E-03	5.666950E-05
3.424243E+03	2.289482E-03	5.703749E-05
3.434168E+03	2.313424E-03	5.741728E-05
3.444094E+03	2.338040E-03	5.780834E-05
3.454019E+03	2.363323E-03	5.821024E-05
3.463944E+03	2.389452E-03	5.862718E-05
3.473870E+03	2.416035E-03	5.904931E-05
3.483795E+03	2.443633E-03	5.949011E-05
3.493720E+03	2.471853E-03	5.993974E-05
3.503646E+03	2.500875E-03	6.040233E-05
3.513571E+03	2.530499E-03	6.087284E-05
3.523496E+03	2.561088E-03	6.135971E-05
3.533422E+03	2.592628E-03	6.186232E-05
3.543347E+03	2.624921E-03	6.237564E-05
3.553272E+03	2.657956E-03	6.289916E-05
3.563198E+03	2.692086E-03	6.344095E-05
3.573123E+03	2.726933E-03	6.399177E-05
3.583048E+03	2.762667E-03	6.455535E-05
3.592974E+03	2.799454E-03	6.513526E-05
3.602899E+03	2.837102E-03	6.572667E-05
3.612824E+03	2.875774E-03	6.633309E-05
3.622750E+03	2.915458E-03	6.695384E-05
3.632675E+03	2.956138E-03	6.758824E-05
3.642600E+03	2.997801E-03	6.823566E-05
3.652526E+03	3.040431E-03	6.889539E-05
3.662451E+03	3.084191E-03	6.957077E-05
3.672376E+03	3.128889E-03	7.025709E-05
3.682302E+03	3.174687E-03	7.095764E-05
3.692227E+03	3.221568E-03	7.167169E-05
3.702152E+03	3.269688E-03	7.240229E-05
3.712078E+03	3.318861E-03	7.314488E-05
