#wls	flux	fluxerr
1.588055E+03	1.027720E-03	1.146060E-05
1.627756E+03	1.049884E-03	1.169330E-05
1.667457E+03	1.071617E-03	1.192021E-05
1.707159E+03	1.093229E-03	1.214481E-05
1.746860E+03	1.114399E-03	1.236349E-05
1.786561E+03	1.134999E-03	1.257481E-05
1.826263E+03	1.154475E-03	1.277265E-05
1.865964E+03	1.172288E-03	1.295109E-05
1.905666E+03	1.187833E-03	1.310349E-05
1.945367E+03	1.200767E-03	1.322615E-05
1.985068E+03	1.211293E-03	1.332144E-05
2.024770E+03	1.220595E-03	1.340243E-05
2.064471E+03	1.232484E-03	1.351096E-05
2.104172E+03	1.251850E-03	1.370037E-05
2.143874E+03	1.284267E-03	1.403114E-05
2.183575E+03	1.332688E-03	1.453466E-05
2.223277E+03	1.396402E-03	1.520223E-05
2.262978E+03	1.472533E-03	1.600158E-05
2.302679E+03	1.557911E-03	1.689749E-05
2.342381E+03	1.650155E-03	1.786348E-05
2.382082E+03	1.747881E-03	1.888402E-05
2.421783E+03	1.850408E-03	1.995129E-05
2.461485E+03	1.957549E-03	2.106277E-05
2.501186E+03	2.069493E-03	2.222004E-05
2.540887E+03	2.186511E-03	2.342547E-05
2.580589E+03	2.308554E-03	2.467802E-05
2.620290E+03	2.436284E-03	2.598415E-05
2.659992E+03	2.569376E-03	2.733981E-05
2.699693E+03	2.708187E-03	2.874815E-05
2.739394E+03	2.852689E-03	3.020820E-05
2.779096E+03	3.002770E-03	3.171808E-05
2.818797E+03	3.158230E-03	3.327500E-05
2.858498E+03	3.319244E-03	3.488006E-05
2.898200E+03	3.485887E-03	3.653332E-05
2.937901E+03	3.658882E-03	3.824155E-05
2.977602E+03	3.839266E-03	4.001470E-05
2.987528E+03	3.885721E-03	4.047014E-05
2.997453E+03	3.932685E-03	4.093006E-05
3.007378E+03	3.980286E-03	4.139575E-05
3.017304E+03	4.028672E-03	4.186876E-05
3.027229E+03	4.077611E-03	4.234663E-05
3.037155E+03	4.127604E-03	4.283455E-05
3.047080E+03	4.178459E-03	4.333050E-05
3.057005E+03	4.230134E-03	4.383402E-05
3.066931E+03	4.282586E-03	4.434464E-05
3.076856E+03	4.336061E-03	4.486487E-05
3.086781E+03	4.390516E-03	4.539425E-05
3.096707E+03	4.445764E-03	4.593082E-05
3.106632E+03	4.502052E-03	4.647709E-05
3.116557E+03	4.559336E-03	4.703259E-05
3.126483E+03	4.617574E-03	4.759686E-05
3.136408E+03	4.676725E-03	4.816943E-05
3.146333E+03	4.737028E-03	4.875274E-05
3.156259E+03	4.798159E-03	4.934343E-05
3.166184E+03	4.860497E-03	4.994535E-05
3.176109E+03	4.923857E-03	5.055658E-05
3.186035E+03	4.988335E-03	5.117808E-05
3.195960E+03	5.054024E-03	5.181074E-05
3.205885E+03	5.120741E-03	5.245267E-05
3.215811E+03	5.188577E-03	5.310477E-05
3.225736E+03	5.257486E-03	5.376652E-05
3.235661E+03	5.327694E-03	5.444020E-05
3.245587E+03	5.399016E-03	5.512389E-05
3.255512E+03	5.471538E-03	5.581842E-05
3.265437E+03	5.545212E-03	5.652326E-05
3.275363E+03	5.620121E-03	5.723922E-05
3.285288E+03	5.696213E-03	5.796574E-05
3.295213E+03	5.773438E-03	5.870226E-05
3.305139E+03	5.851745E-03	5.944823E-05
3.315064E+03	5.931213E-03	6.020442E-05
3.324989E+03	6.011791E-03	6.097028E-05
3.334915E+03	6.093428E-03	6.174522E-05
3.344840E+03	6.175944E-03	6.252741E-05
3.354765E+03	6.259546E-03	6.331890E-05
3.364691E+03	6.343929E-03	6.411659E-05
3.374616E+03	6.429047E-03	6.491995E-05
3.384541E+03	6.514980E-03	6.572978E-05
3.394467E+03	6.601434E-03	6.654308E-05
3.404392E+03	6.688368E-03	6.735941E-05
3.414318E+03	6.775745E-03	6.817839E-05
3.424243E+03	6.863284E-03	6.899715E-05
3.434168E+03	6.950830E-03	6.981414E-05
3.444094E+03	7.038363E-03	7.062912E-05
3.454019E+03	7.125613E-03	7.143940E-05
3.463944E+03	7.212327E-03	7.224244E-05
3.473870E+03	7.298377E-03	7.303696E-05
3.478872E+03	8.298821E-03	8.300993E-05
3.483269E+03	8.098181E-03	8.096970E-05
3.487656E+03	7.860741E-03	7.856335E-05
3.492043E+03	7.664459E-03	7.657007E-05
3.496440E+03	7.478645E-03	7.468280E-05
3.500827E+03	7.275094E-03	7.262004E-05
3.505214E+03	7.066101E-03	7.050461E-05
3.509611E+03	6.856546E-03	6.838519E-05
3.513998E+03	6.652788E-03	6.632532E-05
3.518385E+03	6.465454E-03	6.443077E-05
3.522782E+03	6.337252E-03	6.312668E-05
3.527169E+03	6.246559E-03	6.219717E-05
3.531556E+03	6.189590E-03	6.160402E-05
3.535953E+03	6.151500E-03	6.119906E-05
3.540340E+03	6.129322E-03	6.095267E-05
3.544727E+03	6.174972E-03	6.138064E-05
3.549123E+03	6.234474E-03	6.194576E-05
3.553510E+03	6.343588E-03	6.300312E-05
3.557897E+03	6.499167E-03	6.452079E-05
3.562294E+03	6.672935E-03	6.621753E-05
3.566681E+03	6.823361E-03	6.768128E-05
3.571068E+03	6.974933E-03	6.915506E-05
3.575465E+03	7.089079E-03	7.025651E-05
3.579852E+03	7.191126E-03	7.123715E-05
3.584239E+03	7.306874E-03	7.235253E-05
3.588636E+03	7.459803E-03	7.383480E-05
3.593023E+03	7.597444E-03	7.516452E-05
3.597410E+03	7.784889E-03	7.698552E-05
3.601807E+03	7.916928E-03	7.825709E-05
3.606194E+03	8.007384E-03	7.911668E-05
3.610581E+03	8.002608E-03	7.903490E-05
3.614978E+03	7.986288E-03	7.883907E-05
3.619365E+03	7.922496E-03	7.817496E-05
3.623752E+03	7.844335E-03	7.736963E-05
3.628149E+03	7.794574E-03	7.684483E-05
3.632536E+03	7.807239E-03	7.693566E-05
3.636923E+03	7.846439E-03	7.728769E-05
3.641320E+03	7.919052E-03	7.796820E-05
3.645707E+03	8.000258E-03	7.873268E-05
3.650094E+03	8.101421E-03	7.969268E-05
3.654491E+03	8.171791E-03	8.034889E-05
3.658878E+03	8.229547E-03	8.088052E-05
3.663265E+03	8.208664E-03	8.063907E-05
3.667662E+03	8.213714E-03	8.065229E-05
3.672049E+03	8.182511E-03	8.030968E-05
3.676436E+03	8.187539E-03	8.032272E-05
3.680833E+03	8.183129E-03	8.024302E-05
3.685220E+03	8.226784E-03	8.063450E-05
3.689607E+03	8.243192E-03	8.075858E-05
3.694004E+03	8.242429E-03	8.071423E-05
3.698391E+03	8.231560E-03	8.057098E-05
3.702778E+03	8.203060E-03	8.025528E-05
3.707175E+03	8.185507E-03	8.004674E-05
3.711562E+03	8.164710E-03	7.980667E-05
3.715949E+03	8.148198E-03	7.960859E-05
3.720346E+03	8.089948E-03	7.900293E-05
3.724733E+03	8.013585E-03	7.822100E-05
3.729120E+03	7.905323E-03	7.712849E-05
3.733516E+03	7.792054E-03	7.598799E-05
3.737903E+03	7.728886E-03	7.533690E-05
3.742290E+03	7.677313E-03	7.479929E-05
3.746687E+03	7.690992E-03	7.489747E-05
3.751074E+03	7.748418E-03	7.542135E-05
3.755461E+03	7.779140E-03	7.568486E-05
3.759858E+03	7.778615E-03	7.564408E-05
3.764245E+03	7.787570E-03	7.569548E-05
3.768632E+03	7.796527E-03	7.574675E-05
3.773029E+03	7.817572E-03	7.591518E-05
3.777416E+03	7.872724E-03	7.641450E-05
3.781803E+03	8.004761E-03	7.765916E-05
3.786200E+03	8.147234E-03	7.900366E-05
3.790587E+03	8.301653E-03	8.046265E-05
3.794974E+03	8.394137E-03	8.132013E-05
3.799371E+03	8.494666E-03	8.225451E-05
3.803758E+03	8.513087E-03	8.239331E-05
3.808145E+03	8.538651E-03	8.260097E-05
3.812542E+03	8.583694E-03	8.299658E-05
3.816929E+03	8.654497E-03	8.364076E-05
3.821316E+03	8.753893E-03	8.456042E-05
3.825713E+03	8.896427E-03	8.589549E-05
3.830100E+03	9.007403E-03	8.692469E-05
3.834487E+03	9.079887E-03	8.758152E-05
3.838884E+03	9.129876E-03	8.802062E-05
3.843271E+03	9.172076E-03	8.838423E-05
3.847658E+03	9.183300E-03	8.844902E-05
3.852055E+03	9.227699E-03	8.883292E-05
3.856442E+03	9.255846E-03	8.906005E-05
3.860829E+03	9.299187E-03	8.943297E-05
3.865226E+03	9.310659E-03	8.949898E-05
3.869613E+03	9.342303E-03	8.975871E-05
3.874000E+03	9.363103E-03	8.991393E-05
3.878397E+03	9.427990E-03	9.049196E-05
3.882784E+03	9.534599E-03	9.146965E-05
3.887171E+03	9.667321E-03	9.269665E-05
3.891568E+03	9.800975E-03	9.393113E-05
3.895955E+03	9.930990E-03	9.512950E-05
3.900342E+03	1.003193E-02	9.604819E-05
3.904739E+03	1.009312E-02	9.658536E-05
3.909126E+03	1.012215E-02	9.681429E-05
3.913513E+03	1.015008E-02	9.703250E-05
3.917909E+03	1.015345E-02	9.701551E-05
3.922296E+03	1.015005E-02	9.693386E-05
3.926683E+03	1.014142E-02	9.680228E-05
3.931080E+03	1.014781E-02	9.681380E-05
3.935467E+03	1.016878E-02	9.696442E-05
3.939854E+03	1.020718E-02	9.728085E-05
3.944251E+03	1.023187E-02	9.746616E-05
3.948638E+03	1.023867E-02	9.748097E-05
3.953025E+03	1.025921E-02	9.762635E-05
3.957422E+03	1.026471E-02	9.762829E-05
3.961809E+03	1.027020E-02	9.763009E-05
3.966196E+03	1.026761E-02	9.755502E-05
3.970593E+03	1.029032E-02	9.772011E-05
3.974980E+03	1.032307E-02	9.798028E-05
3.979367E+03	1.033683E-02	9.805989E-05
3.983764E+03	1.036086E-02	9.823654E-05
3.988151E+03	1.038313E-02	9.839637E-05
3.992538E+03	1.041523E-02	9.864897E-05
3.996935E+03	1.045631E-02	9.898604E-05
4.001322E+03	1.053892E-02	9.971575E-05
4.005709E+03	1.065893E-02	1.007983E-04
4.010106E+03	1.079584E-02	1.020391E-04
4.014493E+03	1.093346E-02	1.032853E-04
4.018880E+03	1.105426E-02	1.043713E-04
4.023277E+03	1.113267E-02	1.050558E-04
4.027664E+03	1.117912E-02	1.054382E-04
4.032051E+03	1.124420E-02	1.059956E-04
4.036448E+03	1.132791E-02	1.067277E-04
4.040835E+03	1.140353E-02	1.073829E-04
4.045222E+03	1.146975E-02	1.079487E-04
4.049619E+03	1.150049E-02	1.081800E-04
4.054006E+03	1.149529E-02	1.080730E-04
4.058393E+03	1.146594E-02	1.077391E-04
4.062790E+03	1.143460E-02	1.073866E-04
4.067177E+03	1.142955E-02	1.072813E-04
4.071564E+03	1.145979E-02	1.075070E-04
4.075961E+03	1.149990E-02	1.078248E-04
4.080348E+03	1.153958E-02	1.081381E-04
4.084735E+03	1.156256E-02	1.082946E-04
4.089132E+03	1.155349E-02	1.081507E-04
4.093519E+03	1.153276E-02	1.078977E-04
4.097906E+03	1.153704E-02	1.078788E-04
4.102302E+03	1.151846E-02	1.076460E-04
4.106689E+03	1.153501E-02	1.077415E-04
4.111076E+03	1.154649E-02	1.077896E-04
4.115473E+03	1.156147E-02	1.078699E-04
4.119860E+03	1.155731E-02	1.077716E-04
4.124247E+03	1.156347E-02	1.077695E-04
4.128644E+03	1.156389E-02	1.077137E-04
4.133031E+03	1.154053E-02	1.074366E-04
4.137418E+03	1.148524E-02	1.068625E-04
4.141815E+03	1.142992E-02	1.062885E-04
4.146202E+03	1.138511E-02	1.058129E-04
4.150589E+03	1.129668E-02	1.049324E-04
4.154986E+03	1.122450E-02	1.042035E-04
4.159373E+03	1.115953E-02	1.035424E-04
4.163760E+03	1.110311E-02	1.029611E-04
4.168157E+03	1.101559E-02	1.020920E-04
4.172544E+03	1.094674E-02	1.013968E-04
4.176931E+03	1.089988E-02	1.009059E-04
4.181328E+03	1.087239E-02	1.005944E-04
4.185715E+03	1.084375E-02	1.002726E-04
4.190102E+03	1.083602E-02	1.001444E-04
4.194499E+03	1.084460E-02	1.001666E-04
4.198886E+03	1.085756E-02	1.002293E-04
4.203273E+03	1.087028E-02	1.002896E-04
4.207670E+03	1.090349E-02	1.005385E-04
4.212057E+03	1.095235E-02	1.009314E-04
4.216444E+03	1.100364E-02	1.013459E-04
4.220841E+03	1.106661E-02	1.018674E-04
4.225228E+03	1.116026E-02	1.026704E-04
4.229615E+03	1.127045E-02	1.036245E-04
4.234012E+03	1.135307E-02	1.043239E-04
4.238399E+03	1.141867E-02	1.048661E-04
4.242786E+03	1.147742E-02	1.053447E-04
4.247183E+03	1.150965E-02	1.055792E-04
4.251570E+03	1.149126E-02	1.053495E-04
4.255957E+03	1.148125E-02	1.051965E-04
4.260354E+03	1.147540E-02	1.050817E-04
4.264741E+03	1.144919E-02	1.047805E-04
