#wls	flux	fluxerr
1.588055E+03	5.036982E-04	2.000742E-05
1.627756E+03	5.054302E-04	2.004504E-05
1.667457E+03	5.066859E-04	2.006273E-05
1.707159E+03	5.074447E-04	2.005971E-05
1.746860E+03	5.075734E-04	2.003081E-05
1.786561E+03	5.069274E-04	1.997043E-05
1.826263E+03	5.054035E-04	1.987466E-05
1.865964E+03	5.027778E-04	1.973488E-05
1.905666E+03	4.987394E-04	1.953913E-05
1.945367E+03	4.933079E-04	1.928852E-05
1.985068E+03	4.864180E-04	1.898081E-05
2.024770E+03	4.788317E-04	1.864605E-05
2.064471E+03	4.717702E-04	1.833188E-05
2.104172E+03	4.670804E-04	1.810981E-05
2.143874E+03	4.664206E-04	1.804338E-05
2.183575E+03	4.705167E-04	1.815954E-05
2.223277E+03	4.783961E-04	1.841949E-05
2.262978E+03	4.888041E-04	1.877393E-05
2.302679E+03	5.002277E-04	1.916406E-05
2.342381E+03	5.115993E-04	1.954869E-05
2.382082E+03	5.226387E-04	1.991702E-05
2.421783E+03	5.329236E-04	2.025301E-05
2.461485E+03	5.426130E-04	2.056281E-05
2.501186E+03	5.517917E-04	2.084969E-05
2.540887E+03	5.604893E-04	2.111484E-05
2.580589E+03	5.689822E-04	2.136869E-05
2.620290E+03	5.772900E-04	2.161194E-05
2.659992E+03	5.855829E-04	2.185090E-05
2.699693E+03	5.938525E-04	2.208516E-05
2.739394E+03	6.022441E-04	2.231999E-05
2.779096E+03	6.108105E-04	2.255719E-05
2.818797E+03	6.195970E-04	2.279823E-05
2.858498E+03	6.287259E-04	2.304739E-05
2.898200E+03	6.382319E-04	2.330565E-05
2.937901E+03	6.481470E-04	2.357390E-05
2.977602E+03	6.584183E-04	2.384988E-05
2.987528E+03	6.610633E-04	2.392083E-05
2.997453E+03	6.637894E-04	2.399437E-05
3.007378E+03	6.665146E-04	2.406752E-05
3.017304E+03	6.692433E-04	2.414043E-05
3.027229E+03	6.720711E-04	2.421656E-05
3.037155E+03	6.750119E-04	2.429638E-05
3.047080E+03	6.778971E-04	2.437383E-05
3.057005E+03	6.808879E-04	2.445468E-05
3.066931E+03	6.839810E-04	2.453882E-05
3.076856E+03	6.870915E-04	2.462317E-05
3.086781E+03	6.902166E-04	2.470765E-05
3.096707E+03	6.934365E-04	2.479510E-05
3.106632E+03	6.966669E-04	2.488251E-05
3.116557E+03	6.999885E-04	2.497275E-05
3.126483E+03	7.033174E-04	2.506281E-05
3.136408E+03	7.067347E-04	2.515558E-05
3.146333E+03	7.101570E-04	2.524808E-05
3.156259E+03	7.135835E-04	2.534028E-05
3.166184E+03	7.170956E-04	2.543506E-05
