#wls	flux	fluxerr
1.588055E+03	7.584794E-17	7.819550E-19
1.627756E+03	7.769928E-17	7.994539E-19
1.667457E+03	7.947653E-17	8.160778E-19
1.707159E+03	8.119815E-17	8.320172E-19
1.746860E+03	8.283493E-17	8.469738E-19
1.786561E+03	8.436305E-17	8.607069E-19
1.826263E+03	8.572138E-17	8.725988E-19
1.865964E+03	8.684558E-17	8.820047E-19
1.905666E+03	8.766412E-17	8.882140E-19
1.945367E+03	8.812908E-17	8.907623E-19
1.985068E+03	8.825046E-17	8.897752E-19
2.024770E+03	8.814966E-17	8.864986E-19
2.064471E+03	8.820163E-17	8.847099E-19
2.104172E+03	8.892384E-17	8.895733E-19
2.143874E+03	9.090581E-17	9.069144E-19
2.183575E+03	9.449659E-17	9.400983E-19
2.223277E+03	9.967326E-17	9.887560E-19
2.262978E+03	1.061517E-16	1.049932E-18
2.302679E+03	1.135767E-16	1.119998E-18
2.342381E+03	1.216573E-16	1.195995E-18
2.382082E+03	1.302092E-16	1.276042E-18
2.421783E+03	1.391356E-16	1.359134E-18
2.461485E+03	1.484022E-16	1.444884E-18
2.501186E+03	1.580190E-16	1.533341E-18
2.540887E+03	1.680105E-16	1.624687E-18
2.580589E+03	1.783806E-16	1.718904E-18
2.620290E+03	1.891888E-16	1.816506E-18
2.659992E+03	2.004188E-16	1.917272E-18
2.699693E+03	2.121065E-16	2.021477E-18
2.739394E+03	2.242568E-16	2.129099E-18
2.779096E+03	2.368672E-16	2.240042E-18
2.818797E+03	2.499278E-16	2.354138E-18
2.858498E+03	2.634570E-16	2.471488E-18
2.898200E+03	2.774654E-16	2.592114E-18
2.937901E+03	2.920149E-16	2.716513E-18
2.977602E+03	3.071927E-16	2.845405E-18
2.987528E+03	3.111023E-16	2.878476E-18
2.997453E+03	3.150552E-16	2.911857E-18
3.007378E+03	3.190619E-16	2.945644E-18
3.017304E+03	3.231344E-16	2.979945E-18
3.027229E+03	3.272541E-16	3.014586E-18
3.037155E+03	3.314624E-16	3.049946E-18
3.047080E+03	3.357450E-16	3.085891E-18
3.057005E+03	3.401054E-16	3.122451E-18
3.066931E+03	3.445392E-16	3.159582E-18
3.076856E+03	3.490655E-16	3.197456E-18
3.086781E+03	3.536800E-16	3.236032E-18
3.096707E+03	3.583671E-16	3.275162E-18
3.106632E+03	3.631458E-16	3.315020E-18
3.116557E+03	3.680123E-16	3.355565E-18
