#wls	flux	fluxerr
1.588055E+03	4.672372E-17	2.582892E-18
1.627756E+03	4.693882E-17	2.589146E-18
1.667457E+03	4.706098E-17	2.590074E-18
1.707159E+03	4.711160E-17	2.586884E-18
1.746860E+03	4.706904E-17	2.578411E-18
1.786561E+03	4.691419E-17	2.563645E-18
1.826263E+03	4.663726E-17	2.542096E-18
1.865964E+03	4.620015E-17	2.511741E-18
1.905666E+03	4.557276E-17	2.471019E-18
1.945367E+03	4.473591E-17	2.418979E-18
1.985068E+03	4.371028E-17	2.356835E-18
2.024770E+03	4.256632E-17	2.288471E-18
2.064471E+03	4.147908E-17	2.223335E-18
2.104172E+03	4.068817E-17	2.174215E-18
2.143874E+03	4.041088E-17	2.152543E-18
2.183575E+03	4.075544E-17	2.163807E-18
2.223277E+03	4.164073E-17	2.203380E-18
2.262978E+03	4.289026E-17	2.261651E-18
2.302679E+03	4.430319E-17	2.327846E-18
2.342381E+03	4.574876E-17	2.395007E-18
2.382082E+03	4.713057E-17	2.458061E-18
2.421783E+03	4.842743E-17	2.515921E-18
2.461485E+03	4.962556E-17	2.567905E-18
2.501186E+03	5.073981E-17	2.614815E-18
2.540887E+03	5.178337E-17	2.657362E-18
2.580589E+03	5.277794E-17	2.696680E-18
2.620290E+03	5.372939E-17	2.733082E-18
2.659992E+03	5.465679E-17	2.767543E-18
2.699693E+03	5.557744E-17	2.800933E-18
2.739394E+03	5.649194E-17	2.833268E-18
2.779096E+03	5.741450E-17	2.865244E-18
2.818797E+03	5.835063E-17	2.897108E-18
2.858498E+03	5.931242E-17	2.929429E-18
2.898200E+03	6.029619E-17	2.961985E-18
2.937901E+03	6.132760E-17	2.995993E-18
2.977602E+03	6.239447E-17	3.030801E-18
2.987528E+03	6.266520E-17	3.039548E-18
2.997453E+03	6.294200E-17	3.048527E-18
3.007378E+03	6.322502E-17	3.057746E-18
3.017304E+03	6.350713E-17	3.066857E-18
3.027229E+03	6.379699E-17	3.076278E-18
3.037155E+03	6.408884E-17	3.085729E-18
3.047080E+03	6.438978E-17	3.095552E-18
3.057005E+03	6.470079E-17	3.105790E-18
3.066931E+03	6.501387E-17	3.116058E-18
3.076856E+03	6.533603E-17	3.126691E-18
3.086781E+03	6.566670E-17	3.137658E-18
3.096707E+03	6.599820E-17	3.148592E-18
3.106632E+03	6.633749E-17	3.159823E-18
3.116557E+03	6.667692E-17	3.170984E-18
3.126483E+03	6.703097E-17	3.182765E-18
3.136408E+03	6.738452E-17	3.194443E-18
3.146333E+03	6.773746E-17	3.206013E-18
3.156259E+03	6.809698E-17	3.217814E-18
3.166184E+03	6.846279E-17	3.229832E-18
3.176109E+03	6.883485E-17	3.242062E-18
3.186035E+03	6.921297E-17	3.254494E-18
3.195960E+03	6.958978E-17	3.266779E-18
3.205885E+03	6.997243E-17	3.279253E-18
3.215811E+03	7.035363E-17	3.291573E-18
3.225736E+03	7.074065E-17	3.304077E-18
3.235661E+03	7.114070E-17	3.317102E-18
3.245587E+03	7.153187E-17	3.329622E-18
3.255512E+03	7.193602E-17	3.342656E-18
3.265437E+03	7.233863E-17	3.355527E-18
3.275363E+03	7.275433E-17	3.368912E-18
3.285288E+03	7.316842E-17	3.382127E-18
3.295213E+03	7.358109E-17	3.395182E-18
3.305139E+03	7.400684E-17	3.408744E-18
3.315064E+03	7.443126E-17	3.422147E-18
3.324989E+03	7.486164E-17	3.435726E-18
3.334915E+03	7.529800E-17	3.449479E-18
3.344840E+03	7.574046E-17	3.463410E-18
3.354765E+03	7.618911E-17	3.477521E-18
3.364691E+03	7.663677E-17	3.491483E-18
3.374616E+03	7.709072E-17	3.505627E-18
3.384541E+03	7.755116E-17	3.519959E-18
3.394467E+03	7.801813E-17	3.534480E-18
3.404392E+03	7.849170E-17	3.549190E-18
3.414318E+03	7.897199E-17	3.564094E-18
3.424243E+03	7.945906E-17	3.579190E-18
3.434168E+03	7.994592E-17	3.594163E-18
3.444094E+03	8.043987E-17	3.609340E-18
3.454019E+03	8.094093E-17	3.624720E-18
3.463944E+03	8.145648E-17	3.640629E-18
3.473870E+03	8.196506E-17	3.656107E-18
3.483795E+03	8.248833E-17	3.672119E-18
3.493720E+03	8.301922E-17	3.688346E-18
3.503646E+03	8.355787E-17	3.704792E-18
3.513571E+03	8.409725E-17	3.721144E-18
3.523496E+03	8.465179E-17	3.738038E-18
3.533422E+03	8.520732E-17	3.754845E-18
3.543347E+03	8.577826E-17	3.772198E-18
3.553272E+03	8.635045E-17	3.789472E-18
3.563198E+03	8.693122E-17	3.806986E-18
3.573123E+03	8.752058E-17	3.824738E-18
3.583048E+03	8.811876E-17	3.842736E-18
3.592974E+03	8.872591E-17	3.860982E-18
3.602899E+03	8.934207E-17	3.879476E-18
3.612824E+03	8.996036E-17	3.897916E-18
3.622750E+03	9.059512E-17	3.916922E-18
3.632675E+03	9.123932E-17	3.936185E-18
3.642600E+03	9.188606E-17	3.955405E-18
3.652526E+03	9.254970E-17	3.975197E-18
3.662451E+03	9.321612E-17	3.994952E-18
3.672376E+03	9.389973E-17	4.015283E-18
3.682302E+03	9.458642E-17	4.035584E-18
3.692227E+03	9.528345E-17	4.056163E-18
3.702152E+03	9.599105E-17	4.077025E-18
3.712078E+03	9.670922E-17	4.098167E-18
3.722003E+03	9.743826E-17	4.119598E-18
3.731928E+03	9.817827E-17	4.141320E-18
3.741854E+03	9.892229E-17	4.163034E-18
3.751779E+03	9.968465E-17	4.185343E-18
3.761704E+03	1.004584E-16	4.207949E-18
3.771630E+03	1.012368E-16	4.230562E-18
3.781555E+03	1.020268E-16	4.253480E-18
