#wls	flux	fluxerr
1.600000E+03	1.760572E-16	4.186253E-18
1.640000E+03	1.789588E-16	4.251596E-18
1.680000E+03	1.820050E-16	4.320170E-18
1.720000E+03	1.851942E-16	4.391919E-18
1.760000E+03	1.885496E-16	4.467380E-18
1.800000E+03	1.920944E-16	4.547081E-18
1.840000E+03	1.958261E-16	4.630949E-18
1.880000E+03	1.997927E-16	4.720091E-18
1.920000E+03	2.039910E-16	4.814415E-18
1.960000E+03	2.084684E-16	4.915009E-18
2.000000E+03	2.132715E-16	5.022942E-18
2.040000E+03	2.184467E-16	5.139275E-18
2.080000E+03	2.240143E-16	5.264441E-18
2.120000E+03	2.300700E-16	5.400649E-18
2.160000E+03	2.366318E-16	5.548271E-18
2.200000E+03	2.438445E-16	5.710642E-18
2.240000E+03	2.517229E-16	5.888044E-18
2.280000E+03	2.603824E-16	6.083095E-18
2.320000E+03	2.698587E-16	6.296548E-18
2.360000E+03	2.802357E-16	6.530268E-18
2.400000E+03	2.914916E-16	6.783643E-18
2.440000E+03	3.036770E-16	7.057748E-18
2.480000E+03	3.167618E-16	7.351774E-18
2.520000E+03	3.307370E-16	7.665398E-18
2.560000E+03	3.456382E-16	7.999335E-18
2.600000E+03	3.614205E-16	8.352418E-18
2.640000E+03	3.781076E-16	8.725081E-18
2.680000E+03	3.956666E-16	9.116436E-18
2.720000E+03	4.141070E-16	9.526578E-18
2.760000E+03	4.333562E-16	9.953703E-18
2.800000E+03	4.534078E-16	1.039754E-17
2.840000E+03	4.742454E-16	1.085759E-17
2.880000E+03	4.958190E-16	1.133257E-17
2.920000E+03	5.180923E-16	1.182153E-17
2.960000E+03	5.411591E-16	1.232649E-17
3.000000E+03	5.651650E-16	1.285061E-17
3.010000E+03	5.713317E-16	1.298503E-17
3.020000E+03	5.775825E-16	1.312122E-17
3.030000E+03	5.839145E-16	1.325910E-17
3.040000E+03	5.903248E-16	1.339861E-17
3.050000E+03	5.968102E-16	1.353966E-17
3.060000E+03	6.033906E-16	1.368271E-17
3.070000E+03	6.100627E-16	1.382767E-17
3.080000E+03	6.168458E-16	1.397499E-17
3.090000E+03	6.237136E-16	1.412406E-17
3.100000E+03	6.306850E-16	1.427530E-17
3.110000E+03	6.377788E-16	1.442915E-17
3.120000E+03	6.449686E-16	1.458498E-17
3.130000E+03	6.522725E-16	1.474322E-17
3.140000E+03	6.597085E-16	1.490426E-17
3.150000E+03	6.672500E-16	1.506750E-17
3.160000E+03	6.749367E-16	1.523382E-17
3.170000E+03	6.827635E-16	1.540311E-17
3.180000E+03	6.907035E-16	1.557476E-17
3.190000E+03	6.987954E-16	1.574964E-17
3.200000E+03	7.070336E-16	1.592760E-17
3.210000E+03	7.154126E-16	1.610853E-17
3.220000E+03	7.239269E-16	1.629229E-17
3.230000E+03	7.326134E-16	1.647971E-17
3.240000E+03	7.414657E-16	1.667064E-17
3.250000E+03	7.504562E-16	1.686444E-17
3.260000E+03	7.596210E-16	1.706193E-17
3.270000E+03	7.689531E-16	1.726295E-17
3.280000E+03	7.784456E-16	1.746732E-17
3.290000E+03	7.880914E-16	1.767489E-17
3.300000E+03	7.979247E-16	1.788641E-17
3.310000E+03	8.079176E-16	1.810125E-17
3.320000E+03	8.180828E-16	1.831970E-17
3.330000E+03	8.284124E-16	1.854156E-17
3.340000E+03	8.389192E-16	1.876712E-17
3.350000E+03	8.495747E-16	1.899573E-17
3.360000E+03	8.603910E-16	1.922765E-17
3.370000E+03	8.713404E-16	1.946227E-17
3.380000E+03	8.824546E-16	1.970028E-17
3.390000E+03	8.937058E-16	1.994105E-17
3.400000E+03	9.050860E-16	2.018440E-17
3.410000E+03	9.165683E-16	2.042973E-17
3.420000E+03	9.281647E-16	2.067730E-17
3.430000E+03	9.398489E-16	2.092652E-17
3.440000E+03	9.515951E-16	2.117681E-17
3.446700E+03	6.343517E-16	1.411183E-17
3.451120E+03	7.042893E-16	1.566397E-17
3.455540E+03	7.861570E-16	1.748064E-17
3.459970E+03	8.597280E-16	1.911200E-17
3.464390E+03	9.144203E-16	2.032300E-17
3.468810E+03	9.528155E-16	2.117131E-17
3.473240E+03	9.883540E-16	2.195573E-17
3.477660E+03	1.007310E-15	2.237150E-17
3.482080E+03	1.026547E-15	2.279330E-17
3.486510E+03	1.067326E-15	2.369306E-17
3.490930E+03	1.111441E-15	2.466645E-17
3.495350E+03	1.141418E-15	2.532567E-17
3.499780E+03	1.161184E-15	2.575805E-17
3.504200E+03	1.174897E-15	2.605596E-17
3.508620E+03	1.174646E-15	2.604412E-17
3.513050E+03	1.181009E-15	2.617886E-17
3.517470E+03	1.194865E-15	2.647961E-17
3.521890E+03	1.221813E-15	2.707026E-17
3.526320E+03	1.253578E-15	2.776730E-17
3.530740E+03	1.301449E-15	2.882066E-17
3.535160E+03	1.353030E-15	2.995566E-17
3.539590E+03	1.416422E-15	3.135147E-17
3.544010E+03	1.438636E-15	3.183541E-17
3.548430E+03	1.464187E-15	3.239291E-17
3.552860E+03	1.478309E-15	3.269734E-17
3.557280E+03	1.482017E-15	3.277133E-17
3.561700E+03	1.476836E-15	3.264876E-17
3.566130E+03	1.476886E-15	3.264183E-17
3.570550E+03	1.476658E-15	3.262875E-17
3.574970E+03	1.455727E-15	3.215833E-17
3.579400E+03	1.428956E-15	3.155914E-17
3.583820E+03	1.400373E-15	3.092023E-17
3.588240E+03	1.365113E-15	3.013424E-17
3.592670E+03	1.320303E-15	2.913784E-17
3.597090E+03	1.283406E-15	2.831654E-17
3.601510E+03	1.246132E-15	2.748730E-17
3.605940E+03	1.210842E-15	2.670222E-17
3.610360E+03	1.171559E-15	2.582950E-17
3.614780E+03	1.124159E-15	2.477827E-17
3.619210E+03	1.085602E-15	2.392242E-17
3.623630E+03	1.064004E-15	2.344063E-17
3.628050E+03	1.035216E-15	2.280069E-17
3.632480E+03	1.019219E-15	2.244273E-17
3.636900E+03	1.016991E-15	2.238804E-17
3.641320E+03	1.026263E-15	2.258646E-17
3.645750E+03	1.037808E-15	2.283479E-17
3.650170E+03	1.064383E-15	2.341361E-17
3.654590E+03	1.084050E-15	2.384021E-17
3.659020E+03	1.102561E-15	2.424115E-17
3.663440E+03	1.125342E-15	2.473575E-17
3.667860E+03	1.161813E-15	2.553094E-17
3.672290E+03	1.204091E-15	2.645327E-17
3.676710E+03	1.259091E-15	2.765455E-17
3.681130E+03	1.326768E-15	2.913358E-17
3.685560E+03	1.372085E-15	3.012098E-17
3.689980E+03	1.404179E-15	3.081766E-17
3.694400E+03	1.421098E-15	3.118102E-17
3.698830E+03	1.430962E-15	3.138940E-17
3.703250E+03	1.432470E-15	3.141441E-17
3.707670E+03	1.444564E-15	3.167152E-17
3.712100E+03	1.442496E-15	3.161802E-17
3.716520E+03	1.434111E-15	3.142614E-17
3.720940E+03	1.424284E-15	3.120276E-17
3.725370E+03	1.402982E-15	3.072814E-17
3.729790E+03	1.365092E-15	2.989056E-17
3.734210E+03	1.330448E-15	2.912446E-17
3.738640E+03	1.292918E-15	2.829556E-17
3.743060E+03	1.253104E-15	2.741712E-17
3.747480E+03	1.215190E-15	2.658067E-17
3.751910E+03	1.183030E-15	2.587047E-17
3.756330E+03	1.150214E-15	2.514632E-17
3.760750E+03	1.117905E-15	2.443360E-17
3.765180E+03	1.085775E-15	2.372515E-17
3.769600E+03	1.046017E-15	2.285044E-17
3.774020E+03	1.007276E-15	2.199838E-17
3.778450E+03	9.811732E-16	2.142269E-17
3.782870E+03	9.729652E-16	2.123791E-17
3.787290E+03	9.839110E-16	2.147120E-17
3.791720E+03	1.003041E-15	2.188291E-17
3.796140E+03	1.033566E-15	2.254291E-17
3.800560E+03	1.061118E-15	2.313776E-17
3.804990E+03	1.070348E-15	2.333287E-17
3.809410E+03	1.062324E-15	2.315184E-17
3.813830E+03	1.071695E-15	2.334990E-17
3.818260E+03	1.081950E-15	2.356706E-17
3.822680E+03	1.089367E-15	2.372234E-17
3.827100E+03	1.105344E-15	2.406389E-17
