#wls	flux	fluxerr
1.600000E+03	1.462302E-16	3.926795E-18
1.640000E+03	1.461513E-16	3.909282E-18
1.680000E+03	1.460780E-16	3.891529E-18
1.720000E+03	1.460092E-16	3.873493E-18
1.760000E+03	1.460003E-16	3.856626E-18
1.800000E+03	1.460214E-16	3.840113E-18
1.840000E+03	1.460993E-16	3.824638E-18
1.880000E+03	1.462040E-16	3.809385E-18
1.920000E+03	1.463621E-16	3.795024E-18
1.960000E+03	1.465715E-16	3.781471E-18
2.000000E+03	1.468584E-16	3.769365E-18
2.040000E+03	1.472204E-16	3.758601E-18
2.080000E+03	1.476548E-16	3.749066E-18
2.120000E+03	1.481587E-16	3.740642E-18
2.160000E+03	1.487290E-16	3.733205E-18
2.200000E+03	1.494185E-16	3.728024E-18
2.240000E+03	1.501670E-16	3.723540E-18
2.280000E+03	1.509986E-16	3.720294E-18
2.320000E+03	1.519367E-16	3.718800E-18
2.360000E+03	1.529482E-16	3.718183E-18
2.400000E+03	1.540281E-16	3.718260E-18
2.440000E+03	1.551985E-16	3.719501E-18
2.480000E+03	1.564257E-16	3.721033E-18
2.520000E+03	1.577310E-16	3.723298E-18
2.560000E+03	1.591073E-16	3.726060E-18
2.600000E+03	1.605206E-16	3.728461E-18
2.640000E+03	1.620172E-16	3.731516E-18
2.680000E+03	1.635887E-16	3.734949E-18
2.720000E+03	1.652001E-16	3.737892E-18
2.760000E+03	1.668692E-16	3.740684E-18
2.800000E+03	1.686126E-16	3.743622E-18
2.840000E+03	1.704202E-16	3.746402E-18
2.880000E+03	1.723325E-16	3.749819E-18
2.920000E+03	1.743375E-16	3.753511E-18
2.960000E+03	1.764978E-16	3.758699E-18
3.000000E+03	1.787988E-16	3.764930E-18
3.010000E+03	1.794179E-16	3.767091E-18
3.020000E+03	1.800249E-16	3.768865E-18
3.030000E+03	1.806680E-16	3.771261E-18
3.040000E+03	1.813227E-16	3.773760E-18
3.050000E+03	1.819887E-16	3.776354E-18
3.060000E+03	1.826658E-16	3.779034E-18
3.070000E+03	1.833775E-16	3.782283E-18
3.080000E+03	1.840996E-16	3.785597E-18
3.090000E+03	1.848316E-16	3.788963E-18
3.100000E+03	1.855736E-16	3.792378E-18
3.110000E+03	1.863723E-16	3.796792E-18
3.120000E+03	1.871565E-16	3.800747E-18
3.130000E+03	1.879964E-16	3.805667E-18
3.140000E+03	1.888214E-16	3.810113E-18
3.150000E+03	1.897010E-16	3.815488E-18
3.160000E+03	1.905884E-16	3.820841E-18
3.170000E+03	1.915293E-16	3.827080E-18
3.180000E+03	1.924772E-16	3.833270E-18
3.190000E+03	1.934545E-16	3.839854E-18
3.200000E+03	1.944609E-16	3.846817E-18
3.210000E+03	1.955186E-16	3.854589E-18
3.220000E+03	1.965816E-16	3.862256E-18
3.230000E+03	1.976947E-16	3.870694E-18
3.240000E+03	1.988572E-16	3.879875E-18
3.250000E+03	2.000461E-16	3.889344E-18
3.260000E+03	2.012609E-16	3.899081E-18
3.270000E+03	2.025234E-16	3.909501E-18
3.280000E+03	2.038326E-16	3.920576E-18
3.290000E+03	2.051661E-16	3.931863E-18
3.300000E+03	2.065672E-16	3.944182E-18
3.310000E+03	2.080131E-16	3.957084E-18
3.320000E+03	2.094814E-16	3.970133E-18
3.330000E+03	2.110366E-16	3.984541E-18
3.340000E+03	2.126128E-16	3.999049E-18
3.350000E+03	2.142525E-16	4.014446E-18
3.360000E+03	2.159336E-16	4.030304E-18
3.370000E+03	2.176978E-16	4.047387E-18
3.380000E+03	2.195018E-16	4.064873E-18
3.390000E+03	2.213658E-16	4.083125E-18
3.400000E+03	2.232890E-16	4.102113E-18
3.410000E+03	2.252707E-16	4.121808E-18
3.420000E+03	2.273306E-16	4.142556E-18
3.430000E+03	2.294471E-16	4.163943E-18
3.440000E+03	2.316399E-16	4.186311E-18
3.450000E+03	2.339080E-16	4.209620E-18
3.460000E+03	2.362298E-16	4.233466E-18
3.470000E+03	2.386453E-16	4.258549E-18
3.480000E+03	2.411329E-16	4.284460E-18
3.490000E+03	2.436916E-16	4.311161E-18
3.500000E+03	2.463204E-16	4.338618E-18
3.510000E+03	2.490384E-16	4.367143E-18
3.520000E+03	2.518443E-16	4.396693E-18
3.530000E+03	2.547370E-16	4.427225E-18
3.540000E+03	2.577152E-16	4.458691E-18
3.550000E+03	2.607975E-16	4.491389E-18
3.560000E+03	2.639433E-16	4.524598E-18
3.570000E+03	2.671909E-16	4.558949E-18
3.580000E+03	2.705387E-16	4.594389E-18
3.590000E+03	2.739857E-16	4.630872E-18
3.600000E+03	2.775302E-16	4.668346E-18
3.610000E+03	2.811713E-16	4.706764E-18
3.620000E+03	2.849267E-16	4.746396E-18
3.630000E+03	2.887759E-16	4.786872E-18
3.640000E+03	2.927367E-16	4.828454E-18
3.650000E+03	2.968076E-16	4.871092E-18
3.660000E+03	3.009686E-16	4.914425E-18
3.670000E+03	3.052558E-16	4.959012E-18
3.680000E+03	3.096677E-16	5.004793E-18
3.690000E+03	3.141658E-16	5.051117E-18
3.700000E+03	3.188042E-16	5.098819E-18
3.710000E+03	3.235446E-16	5.147253E-18
3.720000E+03	3.284223E-16	5.196945E-18
3.730000E+03	3.333992E-16	5.247258E-18
3.740000E+03	3.385105E-16	5.298710E-18
3.750000E+03	3.437364E-16	5.350957E-18
3.760000E+03	3.490936E-16	5.404221E-18
3.770000E+03	3.545805E-16	5.458440E-18
3.780000E+03	3.601780E-16	5.513281E-18
3.790000E+03	3.659199E-16	5.569227E-18
3.800000E+03	3.717696E-16	5.625679E-18
3.810000E+03	3.777608E-16	5.683112E-18
3.820000E+03	3.838745E-16	5.741199E-18
3.830000E+03	3.901265E-16	5.800138E-18
3.840000E+03	3.965154E-16	5.859866E-18
3.850000E+03	4.030224E-16	5.920065E-18
3.860000E+03	4.096634E-16	5.980930E-18
3.870000E+03	4.164367E-16	6.042396E-18
3.880000E+03	4.233240E-16	6.104157E-18
3.890000E+03	4.303576E-16	6.166643E-18
3.900000E+03	4.375194E-16	6.229547E-18
3.910000E+03	4.448246E-16	6.293046E-18
3.920000E+03	4.522380E-16	6.356601E-18
3.930000E+03	4.597918E-16	6.420626E-18
3.940000E+03	4.674678E-16	6.484827E-18
3.950000E+03	4.752647E-16	6.549145E-18
3.960000E+03	4.831977E-16	6.613749E-18
3.970000E+03	4.912487E-16	6.678354E-18
3.980000E+03	4.994164E-16	6.742902E-18
3.990000E+03	5.077157E-16	6.807557E-18
4.000000E+03	5.161130E-16	6.871828E-18
4.010000E+03	5.246392E-16	6.936094E-18
4.020000E+03	5.332768E-16	7.000084E-18
4.030000E+03	5.420087E-16	7.063539E-18
4.040000E+03	5.508655E-16	7.126826E-18
4.050000E+03	5.598142E-16	7.189481E-18
4.060000E+03	5.688695E-16	7.251662E-18
4.070000E+03	5.780144E-16	7.313122E-18
4.080000E+03	5.872481E-16	7.373819E-18
4.090000E+03	5.965693E-16	7.433711E-18
4.100000E+03	6.059772E-16	7.492761E-18
4.110000E+03	6.154552E-16	7.550739E-18
4.120000E+03	6.250026E-16	7.607613E-18
4.130000E+03	6.346186E-16	7.663354E-18
4.140000E+03	6.443024E-16	7.717931E-18
4.150000E+03	6.540380E-16	7.771134E-18
4.160000E+03	6.638096E-16	7.822763E-18
4.170000E+03	6.736318E-16	7.872978E-18
4.180000E+03	6.834741E-16	7.921413E-18
4.190000E+03	6.933513E-16	7.968234E-18
4.200000E+03	7.032481E-16	8.013257E-18
4.210000E+03	7.131491E-16	8.056310E-18
