#wls	flux	fluxerr
1.600000E+03	1.352608E-16	4.094884E-17
1.640000E+03	1.376871E-16	4.119227E-17
1.680000E+03	1.402054E-16	4.143116E-17
1.720000E+03	1.428703E-16	4.167945E-17
1.760000E+03	1.456620E-16	4.192865E-17
1.800000E+03	1.486166E-16	4.218640E-17
1.840000E+03	1.517326E-16	4.244908E-17
1.880000E+03	1.550267E-16	4.271813E-17
1.920000E+03	1.585158E-16	4.299448E-17
1.960000E+03	1.622352E-16	4.328365E-17
2.000000E+03	1.662200E-16	4.359031E-17
2.040000E+03	1.704668E-16	4.390839E-17
2.080000E+03	1.750670E-16	4.425570E-17
2.120000E+03	1.800160E-16	4.462422E-17
2.160000E+03	1.854038E-16	4.502888E-17
2.200000E+03	1.913007E-16	4.547773E-17
2.240000E+03	1.977561E-16	4.597231E-17
2.280000E+03	2.048371E-16	4.651676E-17
2.320000E+03	2.126088E-16	4.711293E-17
2.360000E+03	2.211142E-16	4.775618E-17
2.400000E+03	2.303746E-16	4.843583E-17
2.440000E+03	2.403887E-16	4.913575E-17
2.480000E+03	2.511517E-16	4.983880E-17
2.520000E+03	2.626740E-16	5.053059E-17
2.560000E+03	2.749619E-16	5.119541E-17
2.600000E+03	2.879787E-16	5.180957E-17
2.640000E+03	3.017779E-16	5.236581E-17
2.680000E+03	3.162935E-16	5.283560E-17
2.720000E+03	3.315481E-16	5.320649E-17
2.760000E+03	3.475201E-16	5.345888E-17
2.800000E+03	3.641810E-16	5.357326E-17
2.840000E+03	3.814950E-16	5.353051E-17
2.880000E+03	3.994733E-16	5.331966E-17
2.920000E+03	4.181172E-16	5.292938E-17
2.960000E+03	4.375064E-16	5.235918E-17
3.000000E+03	4.577583E-16	5.161247E-17
3.010000E+03	4.629797E-16	5.139962E-17
3.020000E+03	4.682601E-16	5.117544E-17
3.030000E+03	4.736147E-16	5.094142E-17
3.040000E+03	4.790584E-16	5.069895E-17
3.050000E+03	4.845538E-16	5.044384E-17
3.060000E+03	4.901505E-16	5.018111E-17
3.070000E+03	4.958282E-16	4.990841E-17
3.080000E+03	5.015842E-16	4.962529E-17
3.090000E+03	5.074157E-16	4.933130E-17
3.100000E+03	5.133537E-16	4.902931E-17
3.110000E+03	5.193950E-16	4.871873E-17
3.120000E+03	5.255192E-16	4.839748E-17
3.130000E+03	5.317570E-16	4.806821E-17
3.140000E+03	5.381046E-16	4.773036E-17
3.150000E+03	5.445584E-16	4.738343E-17
3.160000E+03	5.511145E-16	4.702693E-17
3.170000E+03	5.578023E-16	4.666324E-17
3.180000E+03	5.645845E-16	4.628907E-17
3.190000E+03	5.715065E-16	4.590808E-17
3.200000E+03	5.785474E-16	4.551843E-17
3.210000E+03	5.857191E-16	4.512098E-17
3.220000E+03	5.930330E-16	4.471653E-17
3.230000E+03	6.004681E-16	4.430344E-17
3.240000E+03	6.080357E-16	4.388257E-17
3.250000E+03	6.157306E-16	4.345362E-17
3.260000E+03	6.235797E-16	4.301856E-17
3.270000E+03	6.315615E-16	4.257597E-17
3.280000E+03	6.396863E-16	4.212675E-17
3.290000E+03	6.479486E-16	4.167073E-17
3.300000E+03	6.563582E-16	4.120882E-17
3.310000E+03	6.649092E-16	4.074098E-17
3.320000E+03	6.735957E-16	4.026724E-17
3.330000E+03	6.824117E-16	3.978775E-17
3.340000E+03	6.913665E-16	3.930363E-17
3.350000E+03	7.004541E-16	3.881515E-17
3.360000E+03	7.096683E-16	3.832271E-17
3.370000E+03	7.189881E-16	3.782602E-17
3.380000E+03	7.284375E-16	3.732731E-17
3.390000E+03	7.379809E-16	3.682573E-17
3.400000E+03	7.476126E-16	3.632222E-17
3.410000E+03	7.573420E-16	3.581848E-17
3.420000E+03	7.671344E-16	3.531425E-17
3.430000E+03	7.769851E-16	3.481081E-17
3.440000E+03	7.868895E-16	3.430956E-17
3.450000E+03	7.968147E-16	3.381074E-17
3.460000E+03	8.067426E-16	3.331542E-17
3.470000E+03	8.166704E-16	3.282534E-17
3.480000E+03	8.265668E-16	3.234117E-17
3.490000E+03	8.364021E-16	3.186370E-17
3.500000E+03	8.461613E-16	3.139432E-17
3.505040E+03	9.620275E-16	1.598823E-16
3.509470E+03	9.386639E-16	1.560687E-16
3.513890E+03	9.110419E-16	1.516447E-16
3.518310E+03	8.881965E-16	1.479613E-16
3.522740E+03	8.665697E-16	1.444825E-16
3.527160E+03	8.428937E-16	1.407274E-16
3.531580E+03	8.185931E-16	1.389755E-16
3.536010E+03	7.942331E-16	1.386192E-16
3.540430E+03	7.705506E-16	1.362064E-16
3.544850E+03	7.487757E-16	1.352022E-16
3.549280E+03	7.338531E-16	1.338745E-16
3.553700E+03	7.232775E-16	1.327056E-16
3.558120E+03	7.166089E-16	1.277315E-16
3.562550E+03	7.121276E-16	1.202996E-16
3.566970E+03	7.094896E-16	1.288570E-16
3.571390E+03	7.147031E-16	1.301420E-16
3.575820E+03	7.215189E-16	1.326666E-16
3.580240E+03	7.340749E-16	1.333186E-16
3.584660E+03	7.520052E-16	1.326581E-16
3.589090E+03	7.720366E-16	1.364273E-16
3.593510E+03	7.893643E-16	1.354493E-16
3.597930E+03	8.068215E-16	1.369476E-16
3.602360E+03	8.199465E-16	1.368176E-16
3.606780E+03	8.316703E-16	1.368880E-16
3.611200E+03	8.449763E-16	1.383361E-16
3.615630E+03	8.625791E-16	1.382979E-16
3.620050E+03	8.784113E-16	1.425141E-16
3.624470E+03	8.999984E-16	1.439776E-16
3.628900E+03	9.151765E-16	1.458621E-16
3.633320E+03	9.255456E-16	1.476988E-16
3.637740E+03	9.249063E-16	1.437246E-16
3.642170E+03	9.229328E-16	1.453626E-16
3.646590E+03	9.154743E-16	1.419830E-16
3.651010E+03	9.063570E-16	1.409679E-16
3.655440E+03	9.005222E-16	1.391466E-16
3.659860E+03	9.019002E-16	1.395038E-16
3.664280E+03	9.063429E-16	1.426273E-16
3.668710E+03	9.146435E-16	1.417783E-16
3.673130E+03	9.239351E-16	1.435218E-16
3.677550E+03	9.355292E-16	1.449224E-16
3.681980E+03	9.435652E-16	1.451768E-16
3.686400E+03	9.501432E-16	1.478441E-16
3.690820E+03	9.476414E-16	1.469241E-16
3.695250E+03	9.481330E-16	1.466286E-16
3.699670E+03	9.444401E-16	1.510852E-16
3.704090E+03	9.449291E-16	1.510282E-16
3.708520E+03	9.443282E-16	1.585226E-16
3.712940E+03	9.492735E-16	1.588523E-16
3.717360E+03	9.510738E-16	1.588177E-16
3.721790E+03	9.508922E-16	1.599322E-16
3.726210E+03	9.495446E-16	1.637554E-16
3.730630E+03	9.461633E-16	1.727874E-16
3.735060E+03	9.440445E-16	1.729902E-16
3.739480E+03	9.415518E-16	1.719123E-16
3.743900E+03	9.395533E-16	1.714014E-16
3.748330E+03	9.327422E-16	1.651364E-16
3.752750E+03	9.238440E-16	1.675609E-16
3.757170E+03	9.112702E-16	1.573617E-16
3.761600E+03	8.981210E-16	1.549127E-16
3.766020E+03	8.907484E-16	1.535465E-16
3.770440E+03	8.847129E-16	1.529695E-16
3.774870E+03	8.861967E-16	1.496127E-16
3.779290E+03	8.927200E-16	1.376499E-16
3.783710E+03	8.961652E-16	1.322788E-16
3.788140E+03	8.960095E-16	1.320434E-16
3.792560E+03	8.969454E-16	1.352695E-16
3.796980E+03	8.978807E-16	1.362573E-16
3.801410E+03	9.002070E-16	1.306762E-16
3.805830E+03	9.064595E-16	1.285535E-16
3.810250E+03	9.215615E-16	1.287320E-16
3.814680E+03	9.378608E-16	1.340677E-16
3.819100E+03	9.555310E-16	1.389128E-16
3.823520E+03	9.660686E-16	1.413147E-16
3.827950E+03	9.775288E-16	1.439785E-16
3.832370E+03	9.795385E-16	1.437138E-16
