#wls	flux	fluxerr
1.600000E+03	6.140057E-17	2.132097E-17
1.640000E+03	6.146350E-17	2.123356E-17
1.680000E+03	6.153649E-17	2.114689E-17
1.720000E+03	6.161894E-17	2.106066E-17
1.760000E+03	6.172111E-17	2.097828E-17
1.800000E+03	6.183141E-17	2.089569E-17
1.840000E+03	6.194920E-17	2.081257E-17
1.880000E+03	6.208453E-17	2.073222E-17
1.920000E+03	6.224729E-17	2.065777E-17
1.960000E+03	6.241514E-17	2.058163E-17
2.000000E+03	6.260857E-17	2.051045E-17
2.040000E+03	6.281594E-17	2.044023E-17
2.080000E+03	6.305732E-17	2.037731E-17
2.120000E+03	6.331046E-17	2.031428E-17
2.160000E+03	6.359517E-17	2.025731E-17
2.200000E+03	6.391003E-17	2.020567E-17
2.240000E+03	6.425358E-17	2.015863E-17
2.280000E+03	6.462434E-17	2.011544E-17
2.320000E+03	6.503091E-17	2.007848E-17
2.360000E+03	6.548158E-17	2.004995E-17
2.400000E+03	6.596427E-17	2.002574E-17
2.440000E+03	6.649698E-17	2.001093E-17
2.480000E+03	6.706744E-17	2.000135E-17
2.520000E+03	6.769299E-17	2.000170E-17
2.560000E+03	6.836118E-17	2.000775E-17
2.600000E+03	6.909829E-17	2.002662E-17
2.640000E+03	6.989142E-17	2.005386E-17
2.680000E+03	7.074682E-17	2.009060E-17
2.720000E+03	7.167971E-17	2.014036E-17
2.760000E+03	7.267670E-17	2.019852E-17
2.800000E+03	7.376144E-17	2.027076E-17
2.840000E+03	7.492916E-17	2.035472E-17
2.880000E+03	7.619299E-17	2.045285E-17
2.920000E+03	7.754748E-17	2.056248E-17
2.960000E+03	7.901352E-17	2.068784E-17
3.000000E+03	8.059340E-17	2.082805E-17
3.010000E+03	8.100294E-17	2.086441E-17
3.020000E+03	8.142501E-17	2.090297E-17
3.030000E+03	8.185947E-17	2.094365E-17
3.040000E+03	8.228900E-17	2.098201E-17
3.050000E+03	8.273924E-17	2.102456E-17
3.060000E+03	8.319292E-17	2.106686E-17
3.070000E+03	8.364996E-17	2.110888E-17
3.080000E+03	8.412722E-17	2.115484E-17
3.090000E+03	8.460757E-17	2.120039E-17
3.100000E+03	8.509093E-17	2.124549E-17
3.110000E+03	8.558562E-17	2.129220E-17
3.120000E+03	8.609986E-17	2.134250E-17
3.130000E+03	8.660838E-17	2.139011E-17
3.140000E+03	8.713612E-17	2.144117E-17
3.150000E+03	8.767457E-17	2.149352E-17
3.160000E+03	8.821531E-17	2.154507E-17
3.170000E+03	8.877473E-17	2.159979E-17
3.180000E+03	8.933619E-17	2.165359E-17
3.190000E+03	8.991597E-17	2.171038E-17
3.200000E+03	9.049752E-17	2.176613E-17
3.210000E+03	9.109704E-17	2.182468E-17
3.220000E+03	9.170619E-17	2.188401E-17
3.230000E+03	9.232482E-17	2.194402E-17
3.240000E+03	9.295278E-17	2.200465E-17
3.250000E+03	9.359794E-17	2.206771E-17
3.260000E+03	9.424409E-17	2.212934E-17
3.270000E+03	9.491504E-17	2.219509E-17
3.280000E+03	9.558670E-17	2.225926E-17
3.290000E+03	9.628271E-17	2.232732E-17
3.300000E+03	9.697913E-17	2.239366E-17
3.310000E+03	9.769945E-17	2.246367E-17
3.320000E+03	9.842774E-17	2.253361E-17
3.330000E+03	9.916383E-17	2.260341E-17
3.340000E+03	9.991538E-17	2.267477E-17
3.350000E+03	1.006899E-16	2.274932E-17
3.360000E+03	1.014639E-16	2.282170E-17
3.370000E+03	1.022605E-16	2.289707E-17
3.380000E+03	1.030717E-16	2.297355E-17
3.390000E+03	1.038972E-16	2.305104E-17
3.400000E+03	1.047370E-16	2.312944E-17
3.410000E+03	1.055907E-16	2.320864E-17
3.420000E+03	1.064581E-16	2.328853E-17
3.430000E+03	1.073391E-16	2.336902E-17
3.440000E+03	1.082410E-16	2.345161E-17
3.450000E+03	1.091559E-16	2.353456E-17
3.460000E+03	1.100913E-16	2.361936E-17
3.470000E+03	1.110393E-16	2.370429E-17
3.480000E+03	1.119998E-16	2.378925E-17
3.490000E+03	1.129800E-16	2.387570E-17
3.500000E+03	1.139795E-16	2.396349E-17
3.510000E+03	1.149983E-16	2.405248E-17
3.520000E+03	1.160286E-16	2.414104E-17
3.530000E+03	1.170849E-16	2.423205E-17
3.540000E+03	1.181523E-16	2.432239E-17
3.550000E+03	1.192380E-16	2.441342E-17
3.560000E+03	1.203488E-16	2.450647E-17
3.570000E+03	1.214702E-16	2.459849E-17
3.580000E+03	1.226162E-16	2.469224E-17
3.590000E+03	1.237794E-16	2.478614E-17
3.600000E+03	1.249668E-16	2.488147E-17
3.610000E+03	1.261709E-16	2.497667E-17
3.620000E+03	1.273985E-16	2.507300E-17
3.630000E+03	1.286425E-16	2.516893E-17
3.640000E+03	1.299026E-16	2.526434E-17
3.650000E+03	1.311924E-16	2.536179E-17
3.660000E+03	1.324979E-16	2.545842E-17
3.670000E+03	1.338327E-16	2.555675E-17
3.680000E+03	1.351826E-16	2.565399E-17
3.690000E+03	1.365544E-16	2.575130E-17
3.700000E+03	1.379547E-16	2.584982E-17
3.710000E+03	1.393695E-16	2.594683E-17
3.720000E+03	1.408124E-16	2.604471E-17
3.730000E+03	1.422762E-16	2.614206E-17
3.740000E+03	1.437674E-16	2.623994E-17
3.750000E+03	1.452792E-16	2.633697E-17
3.760000E+03	1.468114E-16	2.643302E-17
3.770000E+03	1.483704E-16	2.652911E-17
3.780000E+03	1.499560E-16	2.662509E-17
3.790000E+03	1.515614E-16	2.671961E-17
3.800000E+03	1.531996E-16	2.681485E-17
3.810000E+03	1.548573E-16	2.690832E-17
3.820000E+03	1.565409E-16	2.700102E-17
3.830000E+03	1.582501E-16	2.709278E-17
3.840000E+03	1.599850E-16	2.718345E-17
