#wls	flux	fluxerr	mangling_mask
3.374790E+03	3.290196E-16	7.285003E-17	5.927854E-01
3.379230E+03	3.486837E-16	7.300069E-17	5.927676E-01
3.388100E+03	3.634335E-16	7.311554E-17	5.927318E-01
3.392540E+03	3.729889E-16	7.319323E-17	5.927139E-01
3.401420E+03	3.767060E-16	7.321909E-17	5.926778E-01
3.405860E+03	3.807068E-16	7.325068E-17	5.926597E-01
3.410290E+03	3.827813E-16	6.960555E-17	5.926416E-01
3.414730E+03	3.853771E-16	7.231915E-17	5.926234E-01
3.419170E+03	3.872734E-16	7.226938E-17	5.926052E-01
3.423610E+03	3.910007E-16	7.343877E-17	5.925869E-01
3.428050E+03	3.914805E-16	7.429029E-17	5.925686E-01
3.432480E+03	3.990708E-16	6.786039E-17	5.925503E-01
3.436920E+03	4.079345E-16	7.335764E-17	5.925319E-01
3.441360E+03	4.201513E-16	8.727256E-17	5.925134E-01
3.445800E+03	4.346069E-16	9.094617E-17	5.924949E-01
3.450240E+03	4.540265E-16	9.487988E-17	5.924764E-01
3.454670E+03	4.714720E-16	9.641029E-17	5.924578E-01
3.459110E+03	4.907115E-16	1.074343E-16	5.924392E-01
3.463550E+03	5.069639E-16	1.269310E-16	5.924205E-01
3.467990E+03	5.213550E-16	1.424015E-16	5.924018E-01
3.472430E+03	5.315453E-16	1.533171E-16	5.923830E-01
3.476860E+03	5.408641E-16	1.532775E-16	5.923642E-01
3.481300E+03	5.497617E-16	1.559324E-16	5.923454E-01
3.485740E+03	5.610398E-16	1.503058E-16	5.923265E-01
3.490180E+03	5.664651E-16	1.268919E-16	5.923075E-01
3.494620E+03	5.737025E-16	1.059903E-16	5.922885E-01
3.499050E+03	5.799147E-16	7.684070E-17	5.922695E-01
3.503490E+03	5.824190E-16	1.050203E-16	5.922504E-01
3.507930E+03	5.791311E-16	1.166226E-16	5.922313E-01
3.512370E+03	5.725684E-16	1.233671E-16	5.922121E-01
3.516810E+03	5.598828E-16	1.174854E-16	5.921928E-01
3.521240E+03	5.434673E-16	1.051538E-16	5.921736E-01
3.525680E+03	5.248500E-16	9.883765E-17	5.921543E-01
3.530120E+03	5.084129E-16	8.880912E-17	5.921349E-01
3.534560E+03	4.895433E-16	9.921447E-17	5.921155E-01
3.539000E+03	4.668559E-16	1.112836E-16	5.920960E-01
3.543430E+03	4.411503E-16	1.270042E-16	5.920765E-01
3.547870E+03	4.156595E-16	1.318594E-16	5.920570E-01
3.552310E+03	3.843329E-16	1.224030E-16	5.920374E-01
3.556750E+03	3.571169E-16	1.169682E-16	5.920177E-01
3.561190E+03	3.389840E-16	1.059364E-16	5.919980E-01
3.565620E+03	3.334495E-16	9.848074E-17	5.919783E-01
3.570060E+03	3.365047E-16	9.093701E-17	5.919585E-01
3.574500E+03	3.477521E-16	9.788015E-17	5.919386E-01
3.578940E+03	3.647048E-16	1.029128E-16	5.919188E-01
3.583380E+03	3.819168E-16	9.824955E-17	5.918988E-01
3.587810E+03	3.954284E-16	8.634207E-17	5.918789E-01
