#wls	flux	fluxerr
1.591660E+03	1.801163E-03	2.559079E-05
1.631451E+03	1.823214E-03	2.587210E-05
1.671243E+03	1.845769E-03	2.615886E-05
1.711034E+03	1.868683E-03	2.644893E-05
1.750826E+03	1.892259E-03	2.674653E-05
1.790617E+03	1.916318E-03	2.704901E-05
1.830409E+03	1.940893E-03	2.735676E-05
1.870200E+03	1.965993E-03	2.766980E-05
1.909992E+03	1.991380E-03	2.798468E-05
1.949783E+03	2.017679E-03	2.831009E-05
1.989575E+03	2.044149E-03	2.863550E-05
2.029366E+03	2.071554E-03	2.897153E-05
2.069158E+03	2.099730E-03	2.931572E-05
2.108949E+03	2.128894E-03	2.967095E-05
2.148741E+03	2.159400E-03	3.004199E-05
2.188532E+03	2.191716E-03	3.043516E-05
2.228324E+03	2.226202E-03	3.085519E-05
2.268115E+03	2.263098E-03	3.130510E-05
2.307907E+03	2.302706E-03	3.178879E-05
2.347698E+03	2.344251E-03	3.229520E-05
2.387490E+03	2.387436E-03	3.281995E-05
2.427281E+03	2.430971E-03	3.334506E-05
2.467073E+03	2.474236E-03	3.386188E-05
2.506864E+03	2.516371E-03	3.435852E-05
2.546656E+03	2.556470E-03	3.482263E-05
2.586447E+03	2.593756E-03	3.524368E-05
2.626239E+03	2.627135E-03	3.560696E-05
2.666030E+03	2.656122E-03	3.590623E-05
2.705821E+03	2.679553E-03	3.612609E-05
2.745613E+03	2.696926E-03	3.626030E-05
2.785404E+03	2.707716E-03	3.630237E-05
2.825196E+03	2.711461E-03	3.624682E-05
2.864987E+03	2.708508E-03	3.609901E-05
2.904779E+03	2.699610E-03	3.586970E-05
2.944570E+03	2.686129E-03	3.557766E-05
2.984362E+03	2.669920E-03	3.524791E-05
2.994310E+03	2.665797E-03	3.516431E-05
3.004258E+03	2.661589E-03	3.507949E-05
3.014206E+03	2.657400E-03	3.499486E-05
3.024153E+03	2.653419E-03	3.491287E-05
3.034101E+03	2.649577E-03	3.483260E-05
3.044049E+03	2.645893E-03	3.475432E-05
3.053997E+03	2.642552E-03	3.468044E-05
3.063945E+03	2.639416E-03	3.460915E-05
3.073893E+03	2.636749E-03	3.454388E-05
3.083841E+03	2.634497E-03	3.448392E-05
3.093789E+03	2.632689E-03	3.442964E-05
3.103736E+03	2.631508E-03	3.438340E-05
3.113684E+03	2.630911E-03	3.434462E-05
3.123632E+03	2.631076E-03	3.431561E-05
3.133580E+03	2.631967E-03	3.429587E-05
3.143528E+03	2.633623E-03	3.428587E-05
3.153476E+03	2.636290E-03	3.428880E-05
3.163424E+03	2.639870E-03	3.430333E-05
3.173372E+03	2.644536E-03	3.433168E-05
3.183319E+03	2.650326E-03	3.437430E-05
3.193267E+03	2.657278E-03	3.443165E-05
3.203215E+03	2.665495E-03	3.450498E-05
3.213163E+03	2.675009E-03	3.459470E-05
3.223111E+03	2.685974E-03	3.470272E-05
3.233059E+03	2.698293E-03	3.482773E-05
3.243007E+03	2.712106E-03	3.497151E-05
3.252955E+03	2.727429E-03	3.513415E-05
3.262902E+03	2.744322E-03	3.531643E-05
3.272850E+03	2.762726E-03	3.551746E-05
3.282798E+03	2.782684E-03	3.573776E-05
3.292746E+03	2.804173E-03	3.597698E-05
3.302694E+03	2.827215E-03	3.623531E-05
3.312642E+03	2.851764E-03	3.651210E-05
3.322590E+03	2.877706E-03	3.680584E-05
3.332538E+03	2.905031E-03	3.711632E-05
3.342485E+03	2.933607E-03	3.744180E-05
3.352433E+03	2.963404E-03	3.778185E-05
3.362381E+03	2.994277E-03	3.813454E-05
3.372329E+03	3.026129E-03	3.849862E-05
3.382277E+03	3.058812E-03	3.887213E-05
3.392225E+03	3.092229E-03	3.925379E-05
3.402173E+03	3.126233E-03	3.964173E-05
3.412120E+03	3.160741E-03	4.003483E-05
3.422068E+03	3.195522E-03	4.043015E-05
3.432016E+03	3.230568E-03	4.082758E-05
3.441964E+03	3.265739E-03	4.122532E-05
3.451912E+03	3.300925E-03	4.162196E-05
3.461860E+03	3.336145E-03	4.201774E-05
3.471808E+03	3.371303E-03	4.241144E-05
3.481756E+03	3.406388E-03	4.280291E-05
3.491703E+03	3.441523E-03	4.319369E-05
3.501651E+03	3.476675E-03	4.358335E-05
3.511599E+03	3.512044E-03	4.397438E-05
3.521547E+03	3.547677E-03	4.436736E-05
3.531495E+03	3.583856E-03	4.476579E-05
3.541443E+03	3.620721E-03	4.517137E-05
3.551391E+03	3.658598E-03	4.558813E-05
3.561339E+03	3.697817E-03	4.602011E-05
3.571286E+03	3.738806E-03	4.647256E-05
3.581234E+03	3.781995E-03	4.695073E-05
3.591182E+03	3.827816E-03	4.745987E-05
3.601130E+03	3.876882E-03	4.800741E-05
3.611078E+03	3.929666E-03	4.859903E-05
3.621026E+03	3.986815E-03	4.924256E-05
3.630974E+03	4.048922E-03	4.994508E-05
3.640922E+03	4.116751E-03	5.071573E-05
3.650869E+03	4.190952E-03	5.156223E-05
3.660817E+03	4.272286E-03	5.249359E-05
3.670765E+03	4.361569E-03	5.351945E-05
3.680713E+03	4.459513E-03	5.464814E-05
3.690661E+03	4.566950E-03	5.588936E-05
3.700609E+03	4.684525E-03	5.725052E-05
3.710557E+03	4.812966E-03	5.873994E-05
3.720505E+03	4.952864E-03	6.036426E-05
3.730452E+03	5.104642E-03	6.212801E-05
3.740400E+03	5.268684E-03	6.403520E-05
3.750348E+03	5.445140E-03	6.608698E-05
3.760296E+03	5.633998E-03	6.828253E-05
3.770244E+03	5.834958E-03	7.061753E-05
3.780192E+03	6.047490E-03	7.308486E-05
3.790140E+03	6.270631E-03	7.567228E-05
3.800088E+03	6.503321E-03	7.836635E-05
3.810035E+03	6.743840E-03	8.114584E-05
3.819983E+03	6.990411E-03	8.398891E-05
3.829931E+03	7.240660E-03	8.686667E-05
3.839879E+03	7.492085E-03	8.974888E-05
3.849827E+03	7.741706E-03	9.259975E-05
3.859775E+03	7.986543E-03	9.538374E-05
3.869723E+03	8.223343E-03	9.806221E-05
3.879671E+03	8.448821E-03	1.005964E-04
3.889618E+03	8.659922E-03	1.029507E-04
3.899566E+03	8.853628E-03	1.050898E-04
3.909514E+03	9.027213E-03	1.069824E-04
3.919462E+03	9.178420E-03	1.086028E-04
3.929410E+03	9.305450E-03	1.099311E-04
3.933374E+03	8.936287E-03	1.055028E-04
3.935649E+03	8.938747E-03	1.054932E-04
3.937925E+03	9.131345E-03	1.077267E-04
3.940200E+03	9.269275E-03	1.093138E-04
3.942475E+03	9.038180E-03	1.065492E-04
3.944751E+03	9.063828E-03	1.068123E-04
3.947026E+03	9.096211E-03	1.071544E-04
3.949302E+03	9.062730E-03	1.067205E-04
3.951577E+03	9.001569E-03	1.059611E-04
3.953852E+03	9.143197E-03	1.075884E-04
3.956127E+03	9.064076E-03	1.066178E-04
3.958402E+03	9.151063E-03	1.076010E-04
3.960678E+03	9.078689E-03	1.067102E-04
3.962953E+03	9.042974E-03	1.062508E-04
3.965228E+03	9.184555E-03	1.078740E-04
3.967503E+03	9.188481E-03	1.078797E-04
3.969779E+03	9.110882E-03	1.069286E-04
3.972054E+03	9.144728E-03	1.072855E-04
3.974330E+03	9.156136E-03	1.073790E-04
3.976605E+03	9.177265E-03	1.075863E-04
3.978880E+03	9.193152E-03	1.077319E-04
3.981156E+03	9.292041E-03	1.088497E-04
3.983431E+03	9.248101E-03	1.082940E-04
3.985706E+03	9.398557E-03	1.100141E-04
3.987981E+03	9.583386E-03	1.121351E-04
3.990257E+03	9.430295E-03	1.103018E-04
3.992532E+03	9.467090E-03	1.106900E-04
3.994807E+03	9.381301E-03	1.096452E-04
3.997082E+03	9.218532E-03	1.077017E-04
3.999357E+03	9.280740E-03	1.083870E-04
4.001633E+03	9.348173E-03	1.091327E-04
4.003909E+03	9.297533E-03	1.084999E-04
4.006184E+03	9.298448E-03	1.084689E-04
4.008459E+03	9.279943E-03	1.082114E-04
4.010734E+03	9.459425E-03	1.102618E-04
4.013010E+03	9.526821E-03	1.110045E-04
4.015285E+03	9.635298E-03	1.122251E-04
4.017560E+03	9.658604E-03	1.124530E-04
4.019835E+03	9.622897E-03	1.119938E-04
4.022110E+03	9.613335E-03	1.118391E-04
4.024386E+03	9.488013E-03	1.103381E-04
4.026661E+03	9.426934E-03	1.095851E-04
4.028936E+03	9.415890E-03	1.094140E-04
4.031211E+03	9.373485E-03	1.088787E-04
4.033487E+03	9.271354E-03	1.076502E-04
4.035763E+03	9.243892E-03	1.072893E-04
4.038038E+03	9.221666E-03	1.069893E-04
4.040313E+03	9.011315E-03	1.045077E-04
4.042588E+03	8.736788E-03	1.012840E-04
4.044864E+03	8.535452E-03	9.891089E-05
4.047139E+03	8.458036E-03	9.797506E-05
4.049414E+03	8.358240E-03	9.678074E-05
4.051689E+03	8.372641E-03	9.690906E-05
4.053964E+03	8.325104E-03	9.632059E-05
4.056240E+03	8.311148E-03	9.612087E-05
4.058515E+03	8.327780E-03	9.627488E-05
4.060790E+03	8.195195E-03	9.470431E-05
4.063066E+03	8.168564E-03	9.435886E-05
4.065342E+03	8.136716E-03	9.395335E-05
4.067617E+03	8.007897E-03	9.242884E-05
4.069892E+03	7.811961E-03	9.013112E-05
4.072167E+03	7.836822E-03	9.038161E-05
4.074442E+03	7.827377E-03	9.023633E-05
4.076718E+03	7.879083E-03	9.079577E-05
4.078993E+03	7.804755E-03	8.990292E-05
4.081268E+03	7.624550E-03	8.779161E-05
4.083543E+03	7.550246E-03	8.690084E-05
4.085818E+03	7.562441E-03	8.700588E-05
4.088094E+03	7.352684E-03	8.455822E-05
