#wls	flux	fluxerr
1.591660E+03	2.896571E-04	2.860667E-05
1.631451E+03	2.992792E-04	2.955600E-05
1.671243E+03	3.094608E-04	3.056048E-05
1.711034E+03	3.201184E-04	3.161188E-05
1.750826E+03	3.313845E-04	3.272328E-05
1.790617E+03	3.432288E-04	3.389165E-05
1.830409E+03	3.556744E-04	3.511929E-05
1.870200E+03	3.688069E-04	3.641463E-05
1.909992E+03	3.825902E-04	3.777408E-05
1.949783E+03	3.971789E-04	3.921293E-05
1.989575E+03	4.124691E-04	4.072087E-05
2.029366E+03	4.286213E-04	4.231375E-05
2.069158E+03	4.455932E-04	4.398738E-05
2.108949E+03	4.634818E-04	4.575131E-05
2.148741E+03	4.823128E-04	4.760806E-05
2.188532E+03	5.021087E-04	4.955984E-05
2.228324E+03	5.228884E-04	5.160849E-05
2.268115E+03	5.448351E-04	5.377209E-05
2.307907E+03	5.677973E-04	5.603563E-05
2.347698E+03	5.919560E-04	5.841697E-05
2.387490E+03	6.172277E-04	6.090785E-05
2.427281E+03	6.437944E-04	6.352620E-05
2.467073E+03	6.715556E-04	6.626207E-05
2.506864E+03	7.005900E-04	6.912320E-05
2.546656E+03	7.309733E-04	7.211701E-05
2.586447E+03	7.625652E-04	7.522967E-05
2.626239E+03	7.955233E-04	7.847666E-05
2.666030E+03	8.297865E-04	8.185192E-05
2.705821E+03	8.653868E-04	8.535860E-05
2.745613E+03	9.022287E-04	8.898722E-05
2.785404E+03	9.404301E-04	9.274937E-05
2.825196E+03	9.796204E-04	9.660849E-05
2.864987E+03	1.020120E-03	1.005961E-04
2.904779E+03	1.061635E-03	1.046832E-04
2.944570E+03	1.104085E-03	1.088619E-04
2.984362E+03	1.147497E-03	1.131348E-04
2.994310E+03	1.158536E-03	1.142212E-04
3.004258E+03	1.169488E-03	1.152990E-04
3.014206E+03	1.180605E-03	1.163930E-04
3.024153E+03	1.191625E-03	1.174775E-04
3.034101E+03	1.202802E-03	1.185773E-04
3.044049E+03	1.214002E-03	1.196794E-04
3.053997E+03	1.225221E-03	1.207833E-04
3.063945E+03	1.236453E-03	1.218885E-04
3.073893E+03	1.247695E-03	1.229945E-04
3.083841E+03	1.259070E-03	1.241137E-04
3.093789E+03	1.270316E-03	1.252201E-04
3.103736E+03	1.281685E-03	1.263386E-04
3.113684E+03	1.293174E-03	1.274688E-04
3.123632E+03	1.304517E-03	1.285846E-04
3.133580E+03	1.315969E-03	1.297111E-04
3.143528E+03	1.327394E-03	1.308349E-04
3.153476E+03	1.338788E-03	1.319555E-04
3.163424E+03	1.350273E-03	1.330852E-04
3.173372E+03	1.361716E-03	1.342106E-04
3.183319E+03	1.373111E-03	1.353311E-04
3.193267E+03	1.384581E-03	1.364591E-04
3.203215E+03	1.395991E-03	1.375811E-04
3.213163E+03	1.407465E-03	1.387094E-04
3.223111E+03	1.418868E-03	1.398306E-04
3.233059E+03	1.430323E-03	1.409568E-04
3.243007E+03	1.441693E-03	1.420748E-04
3.252955E+03	1.453105E-03	1.431967E-04
3.262902E+03	1.464551E-03	1.443219E-04
3.272850E+03	1.475894E-03	1.454370E-04
3.282798E+03	1.487130E-03	1.465414E-04
3.292746E+03	1.498511E-03	1.476600E-04
3.302694E+03	1.509641E-03	1.487540E-04
3.312642E+03	1.520904E-03	1.498610E-04
3.322590E+03	1.532035E-03	1.509548E-04
3.332538E+03	1.543284E-03	1.520602E-04
3.342485E+03	1.554259E-03	1.531387E-04
3.352433E+03	1.565340E-03	1.542275E-04
3.362381E+03	1.576391E-03	1.553133E-04
3.372329E+03	1.587279E-03	1.563829E-04
3.382277E+03	1.598124E-03	1.574484E-04
3.392225E+03	1.608921E-03	1.585090E-04
3.402173E+03	1.619663E-03	1.595641E-04
3.412120E+03	1.630343E-03	1.606132E-04
3.422068E+03	1.640956E-03	1.616554E-04
3.432016E+03	1.651494E-03	1.626903E-04
3.441964E+03	1.661951E-03	1.637172E-04
3.451912E+03	1.672322E-03	1.647355E-04
3.461860E+03	1.682723E-03	1.657568E-04
3.471808E+03	1.692901E-03	1.667561E-04
3.481756E+03	1.702975E-03	1.677449E-04
3.491703E+03	1.713059E-03	1.687348E-04
3.501651E+03	1.723026E-03	1.697131E-04
