#wls	flux	fluxerr
1.591660E+03	1.639237E-03	2.402284E-05
1.631451E+03	1.689943E-03	2.468000E-05
1.671243E+03	1.740244E-03	2.532391E-05
1.711034E+03	1.789827E-03	2.594989E-05
1.750826E+03	1.838319E-03	2.655242E-05
1.790617E+03	1.884701E-03	2.711679E-05
1.830409E+03	1.926843E-03	2.761258E-05
1.870200E+03	1.962967E-03	2.801494E-05
1.909992E+03	1.990611E-03	2.828976E-05
1.949783E+03	2.007808E-03	2.841055E-05
1.989575E+03	2.014445E-03	2.837751E-05
2.029366E+03	2.014887E-03	2.825380E-05
2.069158E+03	2.019614E-03	2.818682E-05
2.108949E+03	2.044464E-03	2.839562E-05
2.148741E+03	2.105707E-03	2.910081E-05
2.188532E+03	2.211665E-03	3.040894E-05
2.228324E+03	2.360043E-03	3.227859E-05
2.268115E+03	2.541178E-03	3.456837E-05
2.307907E+03	2.743919E-03	3.711921E-05
2.347698E+03	2.959907E-03	3.981274E-05
2.387490E+03	3.184590E-03	4.258389E-05
2.427281E+03	3.416603E-03	4.541122E-05
2.467073E+03	3.657239E-03	4.830883E-05
2.506864E+03	3.908745E-03	5.130273E-05
2.546656E+03	4.174535E-03	5.443333E-05
2.586447E+03	4.458124E-03	5.774101E-05
2.626239E+03	4.763639E-03	6.127258E-05
2.666030E+03	5.095300E-03	6.507436E-05
2.705821E+03	5.457757E-03	6.919632E-05
2.745613E+03	5.856137E-03	7.369233E-05
2.785404E+03	6.295865E-03	7.861768E-05
2.825196E+03	6.782810E-03	8.403067E-05
2.864987E+03	7.323563E-03	8.999560E-05
2.904779E+03	7.924399E-03	9.656977E-05
2.944570E+03	8.592186E-03	1.038144E-04
2.984362E+03	9.331930E-03	1.117650E-04
2.994310E+03	9.528786E-03	1.138679E-04
3.004258E+03	9.730209E-03	1.160137E-04
3.014206E+03	9.936157E-03	1.182013E-04
3.024153E+03	1.014713E-02	1.204363E-04
3.034101E+03	1.036323E-02	1.227193E-04
3.044049E+03	1.058477E-02	1.250538E-04
3.053997E+03	1.081175E-02	1.274390E-04
3.063945E+03	1.104366E-02	1.298685E-04
3.073893E+03	1.128018E-02	1.323379E-04
3.083841E+03	1.152141E-02	1.348482E-04
3.093789E+03	1.176647E-02	1.373886E-04
3.103736E+03	1.201514E-02	1.399559E-04
3.113684E+03	1.226664E-02	1.425409E-04
3.123632E+03	1.252113E-02	1.451449E-04
3.133580E+03	1.277719E-02	1.477514E-04
3.143528E+03	1.303436E-02	1.503547E-04
3.153476E+03	1.329206E-02	1.529481E-04
3.163424E+03	1.354940E-02	1.555212E-04
3.173372E+03	1.380490E-02	1.580569E-04
3.183319E+03	1.405825E-02	1.605518E-04
3.193267E+03	1.430779E-02	1.629872E-04
3.203215E+03	1.455254E-02	1.653522E-04
3.213163E+03	1.479091E-02	1.676291E-04
3.223111E+03	1.502178E-02	1.698056E-04
3.233059E+03	1.524368E-02	1.718658E-04
3.243007E+03	1.545507E-02	1.737933E-04
3.252955E+03	1.565413E-02	1.755683E-04
3.262902E+03	1.583951E-02	1.771769E-04
3.272850E+03	1.600962E-02	1.786025E-04
3.282798E+03	1.616258E-02	1.798254E-04
3.292746E+03	1.629710E-02	1.808330E-04
3.302694E+03	1.641142E-02	1.816073E-04
3.312642E+03	1.650441E-02	1.821377E-04
3.322590E+03	1.657453E-02	1.824091E-04
3.332538E+03	1.662065E-02	1.824113E-04
3.342485E+03	1.664187E-02	1.821365E-04
3.352433E+03	1.663747E-02	1.815792E-04
3.362381E+03	1.660700E-02	1.807369E-04
3.372329E+03	1.655004E-02	1.796074E-04
3.382277E+03	1.646695E-02	1.781972E-04
3.392225E+03	1.635773E-02	1.765085E-04
3.402173E+03	1.622362E-02	1.745574E-04
3.412120E+03	1.606529E-02	1.723533E-04
3.422068E+03	1.588421E-02	1.699144E-04
3.432016E+03	1.568220E-02	1.672622E-04
3.441964E+03	1.546117E-02	1.644191E-04
3.451912E+03	1.522377E-02	1.614150E-04
3.461860E+03	1.497249E-02	1.582778E-04
3.471808E+03	1.471005E-02	1.550377E-04
3.481756E+03	1.443958E-02	1.517287E-04
3.491703E+03	1.416406E-02	1.483829E-04
3.501651E+03	1.388677E-02	1.450349E-04
3.511599E+03	1.361005E-02	1.417097E-04
3.521547E+03	1.333674E-02	1.384365E-04
3.531495E+03	1.306904E-02	1.352381E-04
3.541443E+03	1.280900E-02	1.321348E-04
3.551391E+03	1.255806E-02	1.291411E-04
3.561339E+03	1.231769E-02	1.262711E-04
3.571286E+03	1.208944E-02	1.235397E-04
3.581234E+03	1.187416E-02	1.209544E-04
3.591182E+03	1.167313E-02	1.185271E-04
3.601130E+03	1.148720E-02	1.162650E-04
3.611078E+03	1.131696E-02	1.141727E-04
3.621026E+03	1.116292E-02	1.122539E-04
3.630974E+03	1.102551E-02	1.105112E-04
3.640922E+03	1.090464E-02	1.089422E-04
3.650869E+03	1.080038E-02	1.075459E-04
3.660817E+03	1.071202E-02	1.063140E-04
3.670765E+03	1.063903E-02	1.052393E-04
3.680713E+03	1.058059E-02	1.043125E-04
3.690661E+03	1.053583E-02	1.035237E-04
3.700609E+03	1.050357E-02	1.028597E-04
3.710557E+03	1.048270E-02	1.023087E-04
3.720505E+03	1.047189E-02	1.018567E-04
3.730452E+03	1.046979E-02	1.014896E-04
3.740400E+03	1.047490E-02	1.011919E-04
3.750348E+03	1.048571E-02	1.009487E-04
3.760296E+03	1.050063E-02	1.007439E-04
3.770244E+03	1.051807E-02	1.005622E-04
3.780192E+03	1.053689E-02	1.003923E-04
3.790140E+03	1.055551E-02	1.002192E-04
3.800088E+03	1.057292E-02	1.000334E-04
3.810035E+03	1.058825E-02	9.982672E-05
3.819983E+03	1.060046E-02	9.958984E-05
3.829931E+03	1.060887E-02	9.931669E-05
3.839879E+03	1.061300E-02	9.900317E-05
3.849827E+03	1.061243E-02	9.864575E-05
3.859775E+03	1.060685E-02	9.824229E-05
3.869723E+03	1.059603E-02	9.779107E-05
3.879671E+03	1.058007E-02	9.729358E-05
3.889618E+03	1.055910E-02	9.675151E-05
3.899566E+03	1.053329E-02	9.616715E-05
3.909514E+03	1.050292E-02	9.554338E-05
3.919462E+03	1.046827E-02	9.488330E-05
3.929410E+03	1.042969E-02	9.419048E-05
3.939358E+03	1.038741E-02	9.346759E-05
3.949306E+03	1.034165E-02	9.271682E-05
3.959254E+03	1.029291E-02	9.194317E-05
3.969201E+03	1.024148E-02	9.114946E-05
3.979149E+03	1.018786E-02	9.034048E-05
3.989097E+03	1.013247E-02	8.952013E-05
3.999045E+03	1.007561E-02	8.869131E-05
4.008993E+03	1.001775E-02	8.785839E-05
4.018941E+03	9.958951E-03	8.702195E-05
4.028889E+03	9.899351E-03	8.618336E-05
4.038836E+03	9.839032E-03	8.534346E-05
4.048784E+03	9.778147E-03	8.450366E-05
4.058732E+03	9.716967E-03	8.366639E-05
4.068680E+03	9.656046E-03	8.283649E-05
4.078628E+03	9.596007E-03	8.201927E-05
4.088576E+03	9.537803E-03	8.122282E-05
4.098524E+03	9.482829E-03	8.045885E-05
4.108472E+03	9.432435E-03	7.973850E-05
4.118419E+03	9.388397E-03	7.907634E-05
4.128367E+03	9.352411E-03	7.848607E-05
4.138315E+03	9.326042E-03	7.798008E-05
4.148263E+03	9.310703E-03	7.756933E-05
4.158211E+03	9.307542E-03	7.726239E-05
4.168159E+03	9.317338E-03	7.706469E-05
4.178107E+03	9.340566E-03	7.697905E-05
4.188055E+03	9.377422E-03	7.700598E-05
4.198002E+03	9.427786E-03	7.714338E-05
4.207950E+03	9.491170E-03	7.738620E-05
4.217898E+03	9.566921E-03	7.772814E-05
4.227846E+03	9.654170E-03	7.816122E-05
4.237794E+03	9.751671E-03	7.867457E-05
4.247742E+03	9.857706E-03	7.925366E-05
4.257690E+03	9.970463E-03	7.988343E-05
4.267638E+03	1.008773E-02	8.054586E-05
4.277585E+03	1.020702E-02	8.122093E-05
4.287533E+03	1.032557E-02	8.188690E-05
4.297481E+03	1.044037E-02	8.252010E-05
4.307429E+03	1.054859E-02	8.309883E-05
4.317377E+03	1.064708E-02	8.359902E-05
4.327325E+03	1.073320E-02	8.400101E-05
4.337273E+03	1.080444E-02	8.428642E-05
4.347221E+03	1.085888E-02	8.444160E-05
4.357168E+03	1.089508E-02	8.445682E-05
4.367116E+03	1.091244E-02	8.432888E-05
4.377064E+03	1.091107E-02	8.406017E-05
4.387012E+03	1.089199E-02	8.365995E-05
4.396960E+03	1.085643E-02	8.313895E-05
4.406908E+03	1.080585E-02	8.250958E-05
4.416856E+03	1.074201E-02	8.178627E-05
4.426804E+03	1.066632E-02	8.098069E-05
4.436751E+03	1.057999E-02	8.010265E-05
4.446699E+03	1.048406E-02	7.916085E-05
4.456647E+03	1.037922E-02	7.816089E-05
4.466595E+03	1.026634E-02	7.710989E-05
4.476543E+03	1.014618E-02	7.601400E-05
4.486491E+03	1.001951E-02	7.487925E-05
4.496439E+03	9.887246E-03	7.371275E-05
4.506387E+03	9.750404E-03	7.252232E-05
4.516334E+03	9.610109E-03	7.131640E-05
4.526282E+03	9.467561E-03	7.010393E-05
4.536230E+03	9.323967E-03	6.889381E-05
4.546178E+03	9.180614E-03	6.769544E-05
4.556126E+03	9.039124E-03	6.652059E-05
4.566074E+03	8.900768E-03	6.537836E-05
4.576022E+03	8.766820E-03	6.427781E-05
4.585970E+03	8.638533E-03	6.322779E-05
4.595917E+03	8.516930E-03	6.223540E-05
4.605865E+03	8.402608E-03	6.130463E-05
4.615813E+03	8.296462E-03	6.044160E-05
4.625761E+03	8.198689E-03	5.964738E-05
4.635709E+03	8.109910E-03	5.892611E-05
4.645657E+03	8.030471E-03	5.827994E-05
4.655605E+03	7.960729E-03	5.771117E-05
4.665553E+03	7.901105E-03	5.722252E-05
4.675500E+03	7.852096E-03	5.681735E-05
4.685448E+03	7.814423E-03	5.650063E-05
4.695396E+03	7.788545E-03	5.627549E-05
4.705344E+03	7.774928E-03	5.614512E-05
4.715292E+03	7.773956E-03	5.611221E-05
4.725240E+03	7.785478E-03	5.617561E-05
4.735188E+03	7.809256E-03	5.633360E-05
4.745135E+03	7.844228E-03	5.657858E-05
4.755083E+03	7.889475E-03	5.690407E-05
4.765031E+03	7.943682E-03	5.730064E-05
4.774979E+03	8.005328E-03	5.775742E-05
4.784927E+03	8.073268E-03	5.826624E-05
4.794875E+03	8.146594E-03	5.882069E-05
4.804823E+03	8.224420E-03	5.941449E-05
4.814771E+03	8.306289E-03	6.004449E-05
4.824718E+03	8.391731E-03	6.070747E-05
4.834666E+03	8.480166E-03	6.139938E-05
4.844614E+03	8.570964E-03	6.211581E-05
4.854562E+03	8.663350E-03	6.285132E-05
4.864510E+03	8.756135E-03	6.359739E-05
4.874458E+03	8.848076E-03	6.434510E-05
4.884406E+03	8.937467E-03	6.508211E-05
4.894354E+03	9.022828E-03	6.579763E-05
4.904301E+03	9.102814E-03	6.648178E-05
4.914249E+03	9.176463E-03	6.712740E-05
4.924197E+03	9.243431E-03	6.773179E-05
4.934145E+03	9.303613E-03	6.829394E-05
4.944093E+03	9.357512E-03	6.881731E-05
4.954041E+03	9.405745E-03	6.930618E-05
4.963989E+03	9.449134E-03	6.976633E-05
4.973937E+03	9.488355E-03	7.020253E-05
4.983884E+03	9.524285E-03	7.062105E-05
4.993832E+03	9.557171E-03	7.102351E-05
5.003780E+03	9.587085E-03	7.141024E-05
5.013728E+03	9.613897E-03	7.178005E-05
5.023676E+03	9.637031E-03	7.212840E-05
5.033624E+03	9.655726E-03	7.244931E-05
5.043572E+03	9.669110E-03	7.273588E-05
5.053520E+03	9.676346E-03	7.298138E-05
5.063467E+03	9.676608E-03	7.317913E-05
5.073415E+03	9.669366E-03	7.332457E-05
5.083363E+03	9.654442E-03	7.341574E-05
5.093311E+03	9.631618E-03	7.345038E-05
5.103259E+03	9.601370E-03	7.343148E-05
5.113207E+03	9.563938E-03	7.336023E-05
5.123155E+03	9.520297E-03	7.324351E-05
5.133103E+03	9.471331E-03	7.308755E-05
5.143050E+03	9.418193E-03	7.290074E-05
5.152998E+03	9.362099E-03	7.269206E-05
5.162946E+03	9.304211E-03	7.247018E-05
5.172894E+03	9.245722E-03	7.224416E-05
5.182842E+03	9.187511E-03	7.202064E-05
5.192790E+03	9.130531E-03	7.180701E-05
5.202738E+03	9.074924E-03	7.160433E-05
5.212686E+03	9.020734E-03	7.141291E-05
5.222633E+03	8.967608E-03	7.122992E-05
5.232581E+03	8.915019E-03	7.105110E-05
5.242529E+03	8.862129E-03	7.086967E-05
5.252477E+03	8.808360E-03	7.068082E-05
5.262425E+03	8.753056E-03	7.047909E-05
5.272373E+03	8.695773E-03	7.026064E-05
5.282321E+03	8.636237E-03	7.002294E-05
5.292269E+03	8.574689E-03	6.976766E-05
5.302216E+03	8.511504E-03	6.949756E-05
