#wls	flux	fluxerr
1.591660E+03	2.183960E-03	1.887873E-05
1.631451E+03	2.253674E-03	1.945178E-05
1.671243E+03	2.322858E-03	2.001780E-05
1.711034E+03	2.391068E-03	2.057294E-05
1.750826E+03	2.457773E-03	2.111259E-05
1.790617E+03	2.521575E-03	2.162479E-05
1.830409E+03	2.579581E-03	2.208481E-05
1.870200E+03	2.629367E-03	2.247215E-05
1.909992E+03	2.667583E-03	2.275851E-05
1.949783E+03	2.691541E-03	2.292153E-05
1.989575E+03	2.701045E-03	2.296013E-05
2.029366E+03	2.701910E-03	2.292434E-05
2.069158E+03	2.708162E-03	2.293334E-05
2.108949E+03	2.741011E-03	2.316611E-05
2.148741E+03	2.822201E-03	2.380470E-05
2.188532E+03	2.962784E-03	2.493962E-05
2.228324E+03	3.159500E-03	2.654030E-05
2.268115E+03	3.399209E-03	2.849347E-05
2.307907E+03	3.666762E-03	3.066990E-05
2.347698E+03	3.950771E-03	3.297280E-05
2.387490E+03	4.244979E-03	3.534890E-05
2.427281E+03	4.547412E-03	3.778095E-05
2.467073E+03	4.859669E-03	4.028148E-05
2.506864E+03	5.184667E-03	4.287375E-05
2.546656E+03	5.526926E-03	4.559402E-05
2.586447E+03	5.891193E-03	4.848003E-05
2.626239E+03	6.283176E-03	5.157699E-05
2.666030E+03	6.708927E-03	5.493243E-05
2.705821E+03	7.175426E-03	5.860089E-05
2.745613E+03	7.690809E-03	6.264572E-05
2.785404E+03	8.264409E-03	6.713918E-05
2.825196E+03	8.907340E-03	7.216712E-05
2.864987E+03	9.633396E-03	7.783596E-05
2.904779E+03	1.045853E-02	8.426822E-05
2.944570E+03	1.140316E-02	9.162068E-05
2.984362E+03	1.249050E-02	1.000706E-04
2.994310E+03	1.278813E-02	1.023814E-04
3.004258E+03	1.309669E-02	1.047759E-04
3.014206E+03	1.341662E-02	1.072575E-04
3.024153E+03	1.374912E-02	1.098357E-04
3.034101E+03	1.409493E-02	1.125161E-04
3.044049E+03	1.445515E-02	1.153072E-04
3.053997E+03	1.483047E-02	1.182143E-04
3.063945E+03	1.522096E-02	1.212376E-04
3.073893E+03	1.562702E-02	1.243799E-04
3.083841E+03	1.604966E-02	1.276492E-04
3.093789E+03	1.648863E-02	1.310431E-04
3.103736E+03	1.694460E-02	1.345665E-04
3.113684E+03	1.741755E-02	1.382191E-04
3.123632E+03	1.790882E-02	1.420111E-04
3.133580E+03	1.841759E-02	1.459357E-04
3.143528E+03	1.894438E-02	1.499968E-04
3.153476E+03	1.948963E-02	1.541973E-04
3.163424E+03	2.005334E-02	1.585370E-04
3.173372E+03	2.063460E-02	1.630084E-04
3.183319E+03	2.123426E-02	1.676177E-04
3.193267E+03	2.185108E-02	1.723550E-04
3.203215E+03	2.248476E-02	1.772175E-04
3.213163E+03	2.313402E-02	1.821948E-04
3.223111E+03	2.379806E-02	1.872803E-04
3.233059E+03	2.447544E-02	1.924624E-04
3.243007E+03	2.516439E-02	1.977270E-04
3.252955E+03	2.586235E-02	2.030536E-04
3.262902E+03	2.656728E-02	2.084262E-04
3.272850E+03	2.727633E-02	2.138223E-04
3.282798E+03	2.798584E-02	2.192131E-04
3.292746E+03	2.869267E-02	2.245739E-04
3.302694E+03	2.939242E-02	2.298704E-04
3.312642E+03	3.008129E-02	2.350732E-04
3.322590E+03	3.075428E-02	2.401432E-04
3.332538E+03	3.140657E-02	2.450432E-04
3.342485E+03	3.203319E-02	2.497349E-04
3.352433E+03	3.262900E-02	2.541786E-04
3.362381E+03	3.318888E-02	2.583350E-04
3.372329E+03	3.370715E-02	2.621607E-04
3.382277E+03	3.417934E-02	2.656216E-04
3.392225E+03	3.459967E-02	2.686739E-04
3.402173E+03	3.496472E-02	2.712918E-04
3.412120E+03	3.526964E-02	2.734389E-04
3.422068E+03	3.551118E-02	2.750910E-04
3.432016E+03	3.568690E-02	2.762305E-04
3.441964E+03	3.579485E-02	2.768436E-04
3.451912E+03	3.583510E-02	2.769319E-04
3.461860E+03	3.580798E-02	2.764995E-04
3.471808E+03	3.571496E-02	2.755588E-04
3.481756E+03	3.555934E-02	2.741367E-04
3.491703E+03	3.534503E-02	2.722643E-04
3.501651E+03	3.507807E-02	2.699892E-04
3.511599E+03	3.476367E-02	2.673527E-04
3.521547E+03	3.440970E-02	2.644159E-04
3.531495E+03	3.402380E-02	2.612384E-04
3.541443E+03	3.361462E-02	2.578870E-04
3.551391E+03	3.319030E-02	2.544248E-04
3.561339E+03	3.275973E-02	2.509200E-04
3.571286E+03	3.233250E-02	2.474461E-04
3.581234E+03	3.191658E-02	2.440641E-04
3.591182E+03	3.152119E-02	2.408443E-04
3.601130E+03	3.115444E-02	2.378480E-04
3.611078E+03	3.082353E-02	2.351299E-04
3.621026E+03	3.053547E-02	2.327425E-04
3.630974E+03	3.029686E-02	2.307354E-04
3.640922E+03	3.011289E-02	2.291473E-04
3.650869E+03	2.998893E-02	2.280178E-04
3.660817E+03	2.992816E-02	2.273701E-04
3.670765E+03	2.993389E-02	2.272281E-04
3.680713E+03	3.000819E-02	2.276064E-04
3.690661E+03	3.015247E-02	2.285143E-04
3.700609E+03	3.036656E-02	2.299492E-04
3.710557E+03	3.064984E-02	2.319053E-04
3.720505E+03	3.100030E-02	2.343659E-04
3.730452E+03	3.141500E-02	2.373078E-04
3.740400E+03	3.188946E-02	2.406960E-04
3.750348E+03	3.241812E-02	2.444874E-04
3.760296E+03	3.299367E-02	2.486260E-04
3.770244E+03	3.360720E-02	2.530439E-04
3.780192E+03	3.424936E-02	2.576701E-04
3.790140E+03	4.027738E-02	3.027758E-04
3.791184E+03	4.034453E-02	3.032548E-04
3.792229E+03	4.039014E-02	3.035718E-04
3.793273E+03	4.046464E-02	3.041060E-04
3.794318E+03	4.052741E-02	3.045518E-04
3.795362E+03	4.058431E-02	3.049535E-04
3.796407E+03	4.067008E-02	3.055721E-04
3.797451E+03	4.076370E-02	3.062494E-04
3.798496E+03	4.083240E-02	3.067395E-04
3.799540E+03	4.090256E-02	3.072406E-04
3.800585E+03	4.100158E-02	3.079582E-04
3.801629E+03	4.110603E-02	3.087165E-04
3.802674E+03	4.118212E-02	3.092618E-04
3.803719E+03	4.124697E-02	3.097225E-04
3.804763E+03	4.134021E-02	3.103963E-04
3.805808E+03	4.144420E-02	3.111507E-04
3.806852E+03	4.153602E-02	3.118137E-04
3.807897E+03	4.164300E-02	3.125902E-04
3.808941E+03	4.174513E-02	3.133304E-04
3.809986E+03	4.184432E-02	3.140482E-04
3.811030E+03	4.196507E-02	3.149278E-04
3.812075E+03	4.207801E-02	3.157486E-04
3.813119E+03	4.217629E-02	3.164593E-04
3.814164E+03	4.231083E-02	3.174419E-04
3.815208E+03	4.246249E-02	3.185528E-04
3.816253E+03	4.258481E-02	3.194434E-04
3.817297E+03	4.269886E-02	3.202718E-04
3.818342E+03	4.283839E-02	3.212912E-04
3.819386E+03	4.296763E-02	3.222332E-04
3.820431E+03	4.305822E-02	3.228853E-04
3.821475E+03	4.313809E-02	3.234568E-04
3.822520E+03	4.323507E-02	3.241566E-04
3.823565E+03	4.335805E-02	3.250511E-04
3.824609E+03	4.348108E-02	3.259459E-04
3.825654E+03	4.359186E-02	3.267487E-04
3.826698E+03	4.368843E-02	3.274449E-04
3.827743E+03	4.377965E-02	3.281010E-04
3.828787E+03	4.385081E-02	3.286065E-04
3.829832E+03	4.389699E-02	3.289247E-04
3.830876E+03	4.394417E-02	3.292505E-04
3.831921E+03	4.398938E-02	3.295614E-04
3.832965E+03	4.402385E-02	3.297917E-04
3.834010E+03	4.405828E-02	3.300218E-04
3.835054E+03	4.410207E-02	3.303219E-04
3.836099E+03	4.413950E-02	3.305745E-04
3.837143E+03	4.417642E-02	3.308230E-04
3.838188E+03	4.421928E-02	3.311160E-04
3.839232E+03	4.423955E-02	3.312399E-04
3.840277E+03	4.424367E-02	3.312428E-04
3.841321E+03	4.424875E-02	3.312529E-04
3.842366E+03	4.424307E-02	3.311825E-04
3.843411E+03	4.422218E-02	3.309982E-04
3.844455E+03	4.420716E-02	3.308579E-04
3.845500E+03	4.418872E-02	3.306921E-04
3.846544E+03	4.416979E-02	3.305226E-04
3.847589E+03	4.413615E-02	3.302430E-04
3.848633E+03	4.409660E-02	3.299193E-04
3.849678E+03	4.407471E-02	3.297278E-04
3.850722E+03	4.403665E-02	3.294154E-04
3.851767E+03	4.398728E-02	3.290184E-04
3.852811E+03	4.393254E-02	3.285812E-04
3.853856E+03	4.388611E-02	3.282064E-04
3.854900E+03	4.386717E-02	3.280372E-04
3.855945E+03	4.384283E-02	3.278276E-04
3.856989E+03	4.379785E-02	3.274638E-04
3.858034E+03	4.374846E-02	3.270670E-04
3.859078E+03	4.370988E-02	3.267511E-04
3.860123E+03	4.367179E-02	3.264390E-04
3.861167E+03	4.361944E-02	3.260202E-04
3.862212E+03	4.356070E-02	3.255539E-04
