#wls	flux	fluxerr
1.591660E+03	3.318154E-16	1.022636E-17
1.631451E+03	3.424176E-16	1.054136E-17
1.671243E+03	3.527620E-16	1.084742E-17
1.711034E+03	3.627640E-16	1.114192E-17
1.750826E+03	3.723214E-16	1.142174E-17
1.790617E+03	3.811689E-16	1.167878E-17
1.830409E+03	3.887961E-16	1.189746E-17
1.870200E+03	3.947527E-16	1.206413E-17
1.909992E+03	3.984507E-16	1.216104E-17
1.949783E+03	3.994323E-16	1.217449E-17
1.989575E+03	3.976993E-16	1.210486E-17
2.029366E+03	3.943049E-16	1.198450E-17
2.069158E+03	3.917223E-16	1.188870E-17
2.108949E+03	3.936433E-16	1.192924E-17
2.148741E+03	4.038408E-16	1.221965E-17
2.188532E+03	4.243380E-16	1.281989E-17
2.228324E+03	4.547624E-16	1.371720E-17
2.268115E+03	4.929935E-16	1.484619E-17
2.307907E+03	5.364410E-16	1.612773E-17
2.347698E+03	5.830485E-16	1.749918E-17
2.387490E+03	6.316005E-16	1.892349E-17
2.427281E+03	6.816299E-16	2.038625E-17
2.467073E+03	7.332990E-16	2.189190E-17
2.506864E+03	7.870323E-16	2.345267E-17
2.546656E+03	8.435327E-16	2.508897E-17
2.586447E+03	9.035545E-16	2.682255E-17
2.626239E+03	9.679964E-16	2.867925E-17
2.666030E+03	1.037794E-15	3.068579E-17
2.705821E+03	1.113996E-15	3.287192E-17
2.745613E+03	1.197771E-15	3.527071E-17
2.785404E+03	1.290391E-15	3.791791E-17
2.825196E+03	1.393275E-15	4.085321E-17
2.864987E+03	1.508061E-15	4.412233E-17
2.904779E+03	1.636430E-15	4.777172E-17
2.944570E+03	1.780321E-15	5.185489E-17
2.984362E+03	1.941468E-15	5.641882E-17
2.994310E+03	1.984693E-15	5.764152E-17
3.004258E+03	2.029085E-15	5.889650E-17
3.014206E+03	2.074652E-15	6.018398E-17
3.024153E+03	2.121517E-15	6.150741E-17
3.034101E+03	2.169733E-15	6.286827E-17
3.044049E+03	2.219367E-15	6.426844E-17
3.053997E+03	2.270500E-15	6.571018E-17
3.063945E+03	2.323046E-15	6.719091E-17
3.073893E+03	2.376958E-15	6.870919E-17
3.083841E+03	2.432281E-15	7.026625E-17
3.093789E+03	2.488851E-15	7.185727E-17
3.103736E+03	2.546643E-15	7.348145E-17
3.113684E+03	2.605518E-15	7.513472E-17
3.123632E+03	2.665529E-15	7.681855E-17
3.133580E+03	2.726404E-15	7.852504E-17
3.143528E+03	2.788061E-15	8.025175E-17
3.153476E+03	2.850401E-15	8.199580E-17
3.163424E+03	2.913253E-15	8.375225E-17
3.173372E+03	2.976315E-15	8.551237E-17
3.183319E+03	3.039538E-15	8.727470E-17
3.193267E+03	3.102572E-15	8.902924E-17
3.203215E+03	3.165211E-15	9.077006E-17
3.213163E+03	3.227114E-15	9.248742E-17
3.223111E+03	3.288028E-15	9.417408E-17
3.233059E+03	3.347622E-15	9.582064E-17
3.243007E+03	3.405543E-15	9.741704E-17
3.252955E+03	3.461361E-15	9.895108E-17
3.262902E+03	3.514744E-15	1.004134E-16
3.272850E+03	3.565292E-15	1.017927E-16
3.282798E+03	3.612536E-15	1.030757E-16
3.292746E+03	3.656123E-15	1.042527E-16
3.302694E+03	3.695585E-15	1.053103E-16
3.312642E+03	3.730584E-15	1.062393E-16
3.322590E+03	3.760680E-15	1.070273E-16
3.332538E+03	3.785520E-15	1.076646E-16
3.342485E+03	3.804785E-15	1.081424E-16
3.352433E+03	3.818199E-15	1.084532E-16
3.362381E+03	3.825542E-15	1.085910E-16
3.372329E+03	3.826593E-15	1.085499E-16
3.382277E+03	3.821319E-15	1.083294E-16
3.392225E+03	3.809592E-15	1.079261E-16
3.402173E+03	3.791587E-15	1.073455E-16
3.412120E+03	3.767352E-15	1.065891E-16
3.422068E+03	3.737131E-15	1.056643E-16
3.432016E+03	3.701261E-15	1.045809E-16
3.441964E+03	3.660119E-15	1.033499E-16
3.451912E+03	3.614270E-15	1.019876E-16
3.461860E+03	3.564262E-15	1.005096E-16
3.471808E+03	3.510726E-15	9.893396E-17
3.481756E+03	3.454406E-15	9.728187E-17
3.491703E+03	3.396064E-15	9.557494E-17
3.501651E+03	3.336556E-15	9.383736E-17
3.511599E+03	3.276453E-15	9.208525E-17
