#wls	flux	fluxerr
1.591660E+03	4.205204E-16	3.922197E-18
1.631451E+03	4.350015E-16	4.053794E-18
1.671243E+03	4.491815E-16	4.182279E-18
1.711034E+03	4.629367E-16	4.306502E-18
1.750826E+03	4.761204E-16	4.425101E-18
1.790617E+03	4.882913E-16	4.533984E-18
1.830409E+03	4.989373E-16	4.628421E-18
1.870200E+03	5.073698E-16	4.702062E-18
1.909992E+03	5.128025E-16	4.747683E-18
1.949783E+03	5.146144E-16	4.759620E-18
1.989575E+03	5.128138E-16	4.738047E-18
2.029366E+03	5.087629E-16	4.695643E-18
2.069158E+03	5.055615E-16	4.661052E-18
2.108949E+03	5.080487E-16	4.678816E-18
2.148741E+03	5.209980E-16	4.792670E-18
2.188532E+03	5.468984E-16	5.025150E-18
2.228324E+03	5.852261E-16	5.371024E-18
2.268115E+03	6.330444E-16	5.802943E-18
2.307907E+03	6.868827E-16	6.288792E-18
2.347698E+03	7.439204E-16	6.802544E-18
2.387490E+03	8.024535E-16	7.328490E-18
2.427281E+03	8.618447E-16	7.860729E-18
2.467073E+03	9.219925E-16	8.398269E-18
2.506864E+03	9.833248E-16	8.944937E-18
2.546656E+03	1.046482E-15	9.506467E-18
2.586447E+03	1.112128E-15	1.008878E-17
2.626239E+03	1.181068E-15	1.069902E-17
2.666030E+03	1.254115E-15	1.134438E-17
2.705821E+03	1.332227E-15	1.203331E-17
2.745613E+03	1.416408E-15	1.277461E-17
2.785404E+03	1.507831E-15	1.357855E-17
2.825196E+03	1.607847E-15	1.445692E-17
2.864987E+03	1.718271E-15	1.542560E-17
2.904779E+03	1.841248E-15	1.650331E-17
2.944570E+03	1.979397E-15	1.771288E-17
2.984362E+03	2.136185E-15	1.908452E-17
2.994310E+03	2.178782E-15	1.945701E-17
3.004258E+03	2.222860E-15	1.984238E-17
3.014206E+03	2.268490E-15	2.024123E-17
3.024153E+03	2.315823E-15	2.065491E-17
3.034101E+03	2.365044E-15	2.108504E-17
3.044049E+03	2.416317E-15	2.153304E-17
3.053997E+03	2.469776E-15	2.200011E-17
3.063945E+03	2.525490E-15	2.248682E-17
3.073893E+03	2.583535E-15	2.299383E-17
3.083841E+03	2.644047E-15	2.352231E-17
3.093789E+03	2.707114E-15	2.407301E-17
3.103736E+03	2.772776E-15	2.464626E-17
3.113684E+03	2.841242E-15	2.524390E-17
3.123632E+03	2.912508E-15	2.586583E-17
3.133580E+03	2.986738E-15	2.651348E-17
3.143528E+03	3.064101E-15	2.718834E-17
3.153476E+03	3.144659E-15	2.789088E-17
