#wls	flux	fluxerr
1.600000E+03	8.935451E-16	7.724040E-18
1.640000E+03	9.152846E-16	7.899951E-18
1.680000E+03	9.386763E-16	8.089276E-18
1.720000E+03	9.637733E-16	8.292382E-18
1.760000E+03	9.907154E-16	8.510377E-18
1.800000E+03	1.019728E-15	8.745090E-18
1.840000E+03	1.050694E-15	8.995404E-18
1.880000E+03	1.083927E-15	9.263890E-18
1.920000E+03	1.119488E-15	9.550929E-18
1.960000E+03	1.157447E-15	9.856974E-18
2.000000E+03	1.197798E-15	1.018183E-17
2.040000E+03	1.240634E-15	1.052615E-17
2.080000E+03	1.285899E-15	1.088929E-17
2.120000E+03	1.333401E-15	1.126946E-17
2.160000E+03	1.383213E-15	1.166712E-17
2.200000E+03	1.435124E-15	1.208034E-17
2.240000E+03	1.489036E-15	1.250814E-17
2.280000E+03	1.545056E-15	1.295125E-17
2.320000E+03	1.603488E-15	1.341206E-17
2.360000E+03	1.664924E-15	1.389532E-17
2.400000E+03	1.730089E-15	1.440685E-17
2.440000E+03	1.799778E-15	1.495297E-17
2.480000E+03	1.875104E-15	1.554261E-17
2.520000E+03	1.957060E-15	1.618358E-17
2.560000E+03	2.046932E-15	1.688603E-17
2.600000E+03	2.145942E-15	1.765947E-17
2.640000E+03	2.255610E-15	1.851573E-17
2.680000E+03	2.377555E-15	1.946733E-17
2.720000E+03	2.513722E-15	2.052928E-17
2.760000E+03	2.666448E-15	2.171963E-17
2.800000E+03	2.838465E-15	2.305939E-17
2.840000E+03	3.033089E-15	2.457403E-17
2.880000E+03	3.254497E-15	2.629570E-17
2.920000E+03	3.507536E-15	2.826150E-17
2.960000E+03	3.798464E-15	3.051942E-17
3.000000E+03	4.134372E-15	3.312351E-17
3.010000E+03	4.226457E-15	3.383688E-17
3.020000E+03	4.321960E-15	3.457647E-17
3.030000E+03	4.421015E-15	3.534328E-17
3.040000E+03	4.523959E-15	3.613995E-17
3.050000E+03	4.630836E-15	3.696675E-17
3.060000E+03	4.741791E-15	3.782477E-17
3.070000E+03	4.857072E-15	3.871591E-17
3.080000E+03	4.976720E-15	3.964042E-17
3.090000E+03	5.100878E-15	4.059935E-17
3.100000E+03	5.229898E-15	4.159542E-17
3.110000E+03	5.363702E-15	4.262791E-17
3.120000E+03	5.502523E-15	4.369861E-17
3.130000E+03	5.646363E-15	4.480741E-17
3.140000E+03	5.795664E-15	4.595774E-17
3.150000E+03	5.950168E-15	4.714745E-17
3.160000E+03	6.110049E-15	4.837781E-17
3.170000E+03	6.275453E-15	4.964988E-17
3.180000E+03	6.446385E-15	5.096361E-17
3.190000E+03	6.622557E-15	5.231660E-17
3.200000E+03	6.804246E-15	5.371095E-17
3.210000E+03	6.991059E-15	5.514346E-17
3.220000E+03	7.182911E-15	5.661335E-17
3.230000E+03	7.379389E-15	5.811728E-17
3.240000E+03	7.580254E-15	5.965328E-17
3.250000E+03	7.785053E-15	6.121770E-17
3.260000E+03	7.993229E-15	6.280609E-17
3.270000E+03	8.203984E-15	6.441212E-17
3.280000E+03	8.416682E-15	6.603074E-17
3.290000E+03	8.630436E-15	6.765498E-17
3.300000E+03	8.844105E-15	6.927585E-17
3.310000E+03	9.056713E-15	7.088574E-17
3.320000E+03	9.266897E-15	7.247399E-17
3.330000E+03	9.473484E-15	7.403147E-17
3.340000E+03	9.674919E-15	7.554611E-17
3.350000E+03	9.869721E-15	7.700645E-17
3.360000E+03	1.005636E-14	7.840065E-17
3.370000E+03	1.023324E-14	7.971654E-17
3.380000E+03	1.039881E-14	8.094208E-17
3.390000E+03	1.055132E-14	8.206390E-17
3.400000E+03	1.068939E-14	8.307166E-17
3.410000E+03	1.081128E-14	8.395192E-17
3.420000E+03	1.091594E-14	8.469695E-17
3.430000E+03	1.100190E-14	8.529567E-17
3.440000E+03	1.106819E-14	8.574088E-17
3.450000E+03	1.111409E-14	8.602736E-17
3.460000E+03	1.113901E-14	8.615107E-17
3.470000E+03	1.114304E-14	8.611287E-17
3.480000E+03	1.112629E-14	8.591423E-17
3.490000E+03	1.108927E-14	8.555926E-17
3.500000E+03	1.103301E-14	8.505653E-17
3.510000E+03	1.095877E-14	8.441590E-17
3.520000E+03	1.086844E-14	8.365231E-17
3.530000E+03	1.076364E-14	8.277862E-17
3.540000E+03	1.064683E-14	8.181391E-17
3.550000E+03	1.052039E-14	8.077665E-17
3.560000E+03	1.038698E-14	7.968757E-17
