#wls	flux	fluxerr
1.600000E+03	1.082186E-17	0.000000E+00
1.640000E+03	1.108444E-17	0.000000E+00
1.680000E+03	1.135390E-17	0.000000E+00
1.720000E+03	1.163026E-17	0.000000E+00
1.760000E+03	1.191565E-17	0.000000E+00
1.800000E+03	1.221018E-17	0.000000E+00
1.840000E+03	1.251183E-17	0.000000E+00
1.880000E+03	1.282280E-17	0.000000E+00
1.920000E+03	1.314090E-17	0.000000E+00
1.960000E+03	1.346842E-17	0.000000E+00
2.000000E+03	1.380541E-17	0.000000E+00
2.040000E+03	1.415191E-17	0.000000E+00
2.080000E+03	1.450548E-17	0.000000E+00
2.120000E+03	1.486596E-17	0.000000E+00
2.160000E+03	1.523834E-17	0.000000E+00
2.200000E+03	1.561746E-17	0.000000E+00
2.240000E+03	1.600578E-17	0.000000E+00
2.280000E+03	1.640319E-17	0.000000E+00
2.320000E+03	1.680958E-17	0.000000E+00
2.360000E+03	1.722192E-17	0.000000E+00
2.400000E+03	1.764279E-17	0.000000E+00
2.440000E+03	1.807195E-17	0.000000E+00
2.480000E+03	1.850919E-17	0.000000E+00
2.520000E+03	1.895422E-17	0.000000E+00
2.560000E+03	1.940675E-17	0.000000E+00
2.600000E+03	1.986322E-17	0.000000E+00
2.640000E+03	2.032970E-17	0.000000E+00
2.680000E+03	2.079926E-17	0.000000E+00
2.720000E+03	2.127815E-17	0.000000E+00
2.760000E+03	2.175920E-17	0.000000E+00
2.800000E+03	2.224883E-17	0.000000E+00
2.840000E+03	2.273960E-17	0.000000E+00
2.880000E+03	2.323450E-17	0.000000E+00
2.920000E+03	2.373676E-17	0.000000E+00
2.960000E+03	2.423853E-17	0.000000E+00
3.000000E+03	2.474299E-17	0.000000E+00
3.010000E+03	2.486790E-17	0.000000E+00
3.020000E+03	2.499654E-17	0.000000E+00
3.030000E+03	2.512507E-17	0.000000E+00
3.040000E+03	2.524962E-17	0.000000E+00
3.050000E+03	2.537789E-17	0.000000E+00
3.060000E+03	2.550604E-17	0.000000E+00
3.070000E+03	2.563012E-17	0.000000E+00
3.080000E+03	2.575795E-17	0.000000E+00
3.090000E+03	2.588561E-17	0.000000E+00
3.100000E+03	2.601309E-17	0.000000E+00
3.110000E+03	2.614038E-17	0.000000E+00
3.120000E+03	2.626748E-17	0.000000E+00
3.130000E+03	2.639838E-17	0.000000E+00
3.140000E+03	2.652506E-17	0.000000E+00
3.150000E+03	2.665154E-17	0.000000E+00
3.160000E+03	2.677777E-17	0.000000E+00
3.170000E+03	2.690781E-17	0.000000E+00
3.180000E+03	2.703356E-17	0.000000E+00
3.190000E+03	2.716312E-17	0.000000E+00
3.200000E+03	2.728836E-17	0.000000E+00
3.210000E+03	2.741740E-17	0.000000E+00
3.220000E+03	2.754619E-17	0.000000E+00
3.230000E+03	2.767059E-17	0.000000E+00
3.240000E+03	2.779880E-17	0.000000E+00
3.250000E+03	2.792673E-17	0.000000E+00
3.260000E+03	2.805436E-17	0.000000E+00
3.270000E+03	2.818168E-17	0.000000E+00
3.280000E+03	2.830869E-17	0.000000E+00
3.290000E+03	2.843538E-17	0.000000E+00
3.300000E+03	2.856174E-17	0.000000E+00
3.310000E+03	2.868775E-17	0.000000E+00
3.320000E+03	2.881764E-17	0.000000E+00
3.330000E+03	2.894297E-17	0.000000E+00
3.340000E+03	2.906794E-17	0.000000E+00
3.350000E+03	2.919679E-17	0.000000E+00
3.360000E+03	2.932103E-17	0.000000E+00
3.370000E+03	2.944487E-17	0.000000E+00
3.380000E+03	2.957262E-17	0.000000E+00
3.390000E+03	2.970000E-17	0.000000E+00
3.400000E+03	2.982269E-17	0.000000E+00
3.410000E+03	2.994927E-17	0.000000E+00
3.420000E+03	3.007548E-17	0.000000E+00
3.430000E+03	3.019693E-17	0.000000E+00
3.440000E+03	3.032232E-17	0.000000E+00
3.450000E+03	3.044728E-17	0.000000E+00
3.460000E+03	3.057184E-17	0.000000E+00
3.470000E+03	3.069596E-17	0.000000E+00
3.480000E+03	3.081966E-17	0.000000E+00
3.490000E+03	3.094291E-17	0.000000E+00
3.500000E+03	3.106574E-17	0.000000E+00
3.510000E+03	3.118811E-17	0.000000E+00
3.520000E+03	3.131003E-17	0.000000E+00
3.530000E+03	3.143594E-17	0.000000E+00
3.540000E+03	3.155696E-17	0.000000E+00
3.550000E+03	3.167751E-17	0.000000E+00
3.560000E+03	3.179759E-17	0.000000E+00
3.570000E+03	3.192169E-17	0.000000E+00
3.580000E+03	3.204083E-17	0.000000E+00
3.590000E+03	3.216399E-17	0.000000E+00
3.600000E+03	3.228216E-17	0.000000E+00
3.610000E+03	3.240438E-17	0.000000E+00
3.620000E+03	3.252158E-17	0.000000E+00
3.630000E+03	3.264283E-17	0.000000E+00
3.640000E+03	3.275906E-17	0.000000E+00
3.650000E+03	3.287932E-17	0.000000E+00
3.660000E+03	3.299910E-17	0.000000E+00
3.670000E+03	3.311382E-17	0.000000E+00
3.680000E+03	3.323261E-17	0.000000E+00
3.690000E+03	3.335088E-17	0.000000E+00
3.700000E+03	3.346866E-17	0.000000E+00
3.710000E+03	3.358594E-17	0.000000E+00
3.720000E+03	3.369810E-17	0.000000E+00
3.730000E+03	3.381435E-17	0.000000E+00
3.740000E+03	3.393007E-17	0.000000E+00
3.750000E+03	3.404530E-17	0.000000E+00
3.760000E+03	3.415999E-17	0.000000E+00
3.770000E+03	3.427416E-17	0.000000E+00
3.780000E+03	3.438782E-17	0.000000E+00
3.790000E+03	3.450094E-17	0.000000E+00
3.800000E+03	3.461353E-17	0.000000E+00
3.810000E+03	3.472559E-17	0.000000E+00
3.820000E+03	3.483711E-17	0.000000E+00
3.830000E+03	3.494809E-17	0.000000E+00
3.840000E+03	3.505854E-17	0.000000E+00
3.850000E+03	3.516844E-17	0.000000E+00
3.860000E+03	3.527779E-17	0.000000E+00
3.870000E+03	3.538660E-17	0.000000E+00
3.880000E+03	3.549958E-17	0.000000E+00
3.890000E+03	3.560728E-17	0.000000E+00
3.900000E+03	3.571442E-17	0.000000E+00
3.910000E+03	3.582101E-17	0.000000E+00
3.920000E+03	3.592703E-17	0.000000E+00
3.930000E+03	3.603247E-17	0.000000E+00
3.940000E+03	3.613736E-17	0.000000E+00
3.950000E+03	3.624642E-17	0.000000E+00
3.960000E+03	3.635015E-17	0.000000E+00
3.970000E+03	3.645330E-17	0.000000E+00
3.980000E+03	3.655586E-17	0.000000E+00
3.990000E+03	3.665783E-17	0.000000E+00
4.000000E+03	3.675921E-17	0.000000E+00
4.010000E+03	3.686477E-17	0.000000E+00
4.020000E+03	3.696495E-17	0.000000E+00
4.030000E+03	3.706451E-17	0.000000E+00
4.040000E+03	3.716345E-17	0.000000E+00
4.050000E+03	3.726177E-17	0.000000E+00
4.060000E+03	3.735947E-17	0.000000E+00
4.070000E+03	3.745653E-17	0.000000E+00
4.080000E+03	3.755296E-17	0.000000E+00
4.090000E+03	3.764874E-17	0.000000E+00
4.100000E+03	3.774386E-17	0.000000E+00
4.110000E+03	3.783832E-17	0.000000E+00
4.120000E+03	3.793211E-17	0.000000E+00
4.130000E+03	3.802522E-17	0.000000E+00
4.140000E+03	3.811765E-17	0.000000E+00
4.150000E+03	3.820938E-17	0.000000E+00
4.160000E+03	3.830040E-17	0.000000E+00
4.170000E+03	3.839072E-17	0.000000E+00
4.180000E+03	3.848031E-17	0.000000E+00
4.190000E+03	3.856916E-17	0.000000E+00
4.200000E+03	3.865728E-17	0.000000E+00
4.210000E+03	3.874463E-17	0.000000E+00
4.220000E+03	3.882634E-17	0.000000E+00
4.230000E+03	3.891213E-17	0.000000E+00
4.240000E+03	3.899714E-17	0.000000E+00
4.250000E+03	3.908135E-17	0.000000E+00
4.260000E+03	3.915984E-17	0.000000E+00
4.270000E+03	3.924237E-17	0.000000E+00
4.280000E+03	3.931917E-17	0.000000E+00
4.290000E+03	3.939999E-17	0.000000E+00
4.300000E+03	3.947504E-17	0.000000E+00
4.310000E+03	3.955408E-17	0.000000E+00
4.320000E+03	3.962731E-17	0.000000E+00
4.330000E+03	3.970450E-17	0.000000E+00
4.340000E+03	3.977584E-17	0.000000E+00
4.350000E+03	3.984621E-17	0.000000E+00
4.360000E+03	3.991559E-17	0.000000E+00
4.370000E+03	3.998887E-17	0.000000E+00
4.380000E+03	4.005620E-17	0.000000E+00
4.390000E+03	4.012249E-17	0.000000E+00
4.400000E+03	4.018770E-17	0.000000E+00
4.410000E+03	4.025182E-17	0.000000E+00
4.420000E+03	4.031482E-17	0.000000E+00
4.430000E+03	4.037668E-17	0.000000E+00
4.440000E+03	4.043737E-17	0.000000E+00
4.450000E+03	4.049196E-17	0.000000E+00
4.460000E+03	4.055026E-17	0.000000E+00
4.470000E+03	4.060731E-17	0.000000E+00
4.480000E+03	4.065818E-17	0.000000E+00
4.490000E+03	4.071269E-17	0.000000E+00
4.500000E+03	4.076586E-17	0.000000E+00
4.510000E+03	4.081277E-17	0.000000E+00
4.520000E+03	4.085832E-17	0.000000E+00
4.530000E+03	4.090736E-17	0.000000E+00
4.540000E+03	4.095007E-17	0.000000E+00
4.550000E+03	4.099131E-17	0.000000E+00
4.560000E+03	4.103105E-17	0.000000E+00
4.570000E+03	4.106928E-17	0.000000E+00
4.580000E+03	4.110594E-17	0.000000E+00
4.590000E+03	4.114103E-17	0.000000E+00
4.600000E+03	4.117448E-17	0.000000E+00
4.610000E+03	4.120629E-17	0.000000E+00
4.620000E+03	4.123640E-17	0.000000E+00
4.630000E+03	4.125992E-17	0.000000E+00
4.640000E+03	4.128656E-17	0.000000E+00
4.650000E+03	4.130654E-17	0.000000E+00
4.660000E+03	4.132957E-17	0.000000E+00
4.670000E+03	4.134587E-17	0.000000E+00
4.680000E+03	4.136030E-17	0.000000E+00
4.690000E+03	4.137767E-17	0.000000E+00
4.700000E+03	4.138823E-17	0.000000E+00
4.710000E+03	4.139679E-17	0.000000E+00
4.720000E+03	4.140335E-17	0.000000E+00
4.730000E+03	4.140786E-17	0.000000E+00
4.740000E+03	4.141030E-17	0.000000E+00
4.750000E+03	4.140580E-17	0.000000E+00
4.760000E+03	4.140402E-17	0.000000E+00
4.770000E+03	4.140011E-17	0.000000E+00
4.780000E+03	4.138921E-17	0.000000E+00
