#wls	flux	fluxerr
1.600000E+03	5.364711E-16	3.231949E-16
1.640000E+03	5.456318E-16	3.232222E-16
1.680000E+03	5.551633E-16	3.231347E-16
1.720000E+03	5.651469E-16	3.229584E-16
1.760000E+03	5.755318E-16	3.226409E-16
1.800000E+03	5.863246E-16	3.221634E-16
1.840000E+03	5.975872E-16	3.215355E-16
1.880000E+03	6.092496E-16	3.206944E-16
1.920000E+03	6.213575E-16	3.196394E-16
1.960000E+03	6.338254E-16	3.183016E-16
2.000000E+03	6.467394E-16	3.166998E-16
2.040000E+03	6.599946E-16	3.147572E-16
2.080000E+03	6.735939E-16	3.124523E-16
2.120000E+03	6.875261E-16	3.097571E-16
2.160000E+03	7.019339E-16	3.067118E-16
2.200000E+03	7.168219E-16	3.032906E-16
2.240000E+03	7.325549E-16	2.996150E-16
2.280000E+03	7.492856E-16	2.957023E-16
2.320000E+03	7.670185E-16	2.915048E-16
2.360000E+03	7.855662E-16	2.869048E-16
2.400000E+03	8.046651E-16	2.817696E-16
2.440000E+03	8.240797E-16	2.759934E-16
2.480000E+03	8.435974E-16	2.694942E-16
2.520000E+03	8.630693E-16	2.622255E-16
2.560000E+03	8.823079E-16	2.541424E-16
2.600000E+03	9.010015E-16	2.451825E-16
2.640000E+03	9.189414E-16	2.353345E-16
2.680000E+03	9.357616E-16	2.245682E-16
2.720000E+03	9.511226E-16	2.128897E-16
2.760000E+03	9.646380E-16	2.003240E-16
2.800000E+03	9.758937E-16	1.869237E-16
2.840000E+03	9.845385E-16	1.727865E-16
2.880000E+03	9.901970E-16	1.580374E-16
2.920000E+03	9.928139E-16	1.428788E-16
2.960000E+03	9.925836E-16	1.275572E-16
3.000000E+03	9.899519E-16	1.123441E-16
3.010000E+03	9.889612E-16	1.085870E-16
3.020000E+03	9.878547E-16	1.048566E-16
3.030000E+03	9.866571E-16	1.011586E-16
3.040000E+03	9.853672E-16	9.749588E-17
3.050000E+03	9.839851E-16	9.387137E-17
3.060000E+03	9.825609E-16	9.029283E-17
3.070000E+03	9.810468E-16	8.675874E-17
3.080000E+03	9.794944E-16	8.327679E-17
3.090000E+03	9.779069E-16	7.985015E-17
3.100000E+03	9.763121E-16	7.648404E-17
3.110000E+03	9.747157E-16	7.318179E-17
3.120000E+03	9.731472E-16	6.994860E-17
3.130000E+03	9.716150E-16	6.678802E-17
3.140000E+03	9.701296E-16	6.370392E-17
3.150000E+03	9.687248E-16	6.070173E-17
3.160000E+03	9.674351E-16	5.778686E-17
3.170000E+03	9.662758E-16	5.496358E-17
3.180000E+03	9.652650E-16	5.223648E-17
3.190000E+03	9.644429E-16	4.961151E-17
3.200000E+03	9.638507E-16	4.709468E-17
3.200116E+03	9.052189E-16	1.156676E-16
3.201301E+03	9.030239E-16	1.156244E-16
3.202487E+03	9.008022E-16	1.155808E-16
3.203672E+03	8.985408E-16	1.155366E-16
3.204857E+03	8.962529E-16	1.154920E-16
3.206043E+03	8.939251E-16	1.154468E-16
3.207228E+03	8.915575E-16	1.154010E-16
3.208413E+03	8.891369E-16	1.153543E-16
3.209599E+03	8.866897E-16	1.153073E-16
3.210784E+03	8.841762E-16	1.152592E-16
3.211969E+03	8.812909E-16	1.152046E-16
3.213155E+03	8.767194E-16	1.151201E-16
3.214340E+03	8.720152E-16	1.150337E-16
3.215525E+03	8.680944E-16	1.149615E-16
3.216711E+03	8.650499E-16	1.149051E-16
3.217896E+03	8.627623E-16	1.148621E-16
3.219081E+03	8.598241E-16	1.148079E-16
3.220267E+03	8.566867E-16	1.147503E-16
3.221452E+03	8.544523E-16	1.147087E-16
3.222637E+03	8.522311E-16	1.146674E-16
3.223823E+03	8.502092E-16	1.146296E-16
3.225008E+03	8.489307E-16	1.146048E-16
3.226193E+03	8.455147E-16	1.153660E-16
3.227379E+03	8.416473E-16	1.129440E-16
3.228564E+03	8.403291E-16	1.133522E-16
3.229749E+03	8.368469E-16	1.135239E-16
3.230935E+03	8.327539E-16	1.141914E-16
3.232120E+03	8.305993E-16	1.097751E-16
3.233305E+03	8.285377E-16	1.097658E-16
3.234491E+03	8.258787E-16	1.086473E-16
3.235676E+03	8.238304E-16	1.083280E-16
3.236861E+03	8.221672E-16	1.068397E-16
3.238047E+03	8.206234E-16	1.075892E-16
3.239232E+03	8.186814E-16	1.086570E-16
3.240417E+03	8.181201E-16	1.079064E-16
3.241603E+03	8.166959E-16	1.031723E-16
3.242788E+03	8.138512E-16	9.646977E-17
3.243973E+03	8.116039E-16	9.593295E-17
3.245159E+03	8.104187E-16	9.787153E-17
3.246344E+03	8.101629E-16	9.773112E-17
3.247529E+03	8.092565E-16	1.029144E-16
3.248715E+03	8.090006E-16	1.063383E-16
3.249900E+03	8.081341E-16	1.063464E-16
3.251085E+03	8.074402E-16	1.062623E-16
3.252271E+03	8.059099E-16	1.064033E-16
3.253456E+03	8.050832E-16	1.020237E-16
3.254641E+03	8.051460E-16	1.046066E-16
3.255827E+03	8.062442E-16	1.032207E-16
3.257012E+03	8.047538E-16	1.003525E-16
3.258197E+03	8.032502E-16	9.940624E-17
3.259383E+03	8.020917E-16	9.971718E-17
3.260568E+03	8.005748E-16	9.770965E-17
3.261753E+03	8.005580E-16	9.478029E-17
3.262939E+03	8.013376E-16	9.349291E-17
3.264124E+03	8.003119E-16	9.159105E-17
3.265309E+03	8.003880E-16	9.096725E-17
3.266495E+03	8.003580E-16	9.185734E-17
3.267680E+03	7.998765E-16	9.199189E-17
3.268865E+03	8.006297E-16	9.064348E-17
3.270051E+03	8.019138E-16	8.918278E-17
3.271236E+03	8.026005E-16	8.887570E-17
3.272421E+03	8.019200E-16	9.136221E-17
3.273607E+03	8.015315E-16	9.124187E-17
3.274792E+03	8.020457E-16	8.672434E-17
3.275977E+03	8.038475E-16	8.519482E-17
3.277163E+03	8.052511E-16	8.430411E-17
3.278348E+03	8.054334E-16	8.388049E-17
3.279533E+03	8.065980E-16	8.376644E-17
3.280719E+03	8.062759E-16	8.291532E-17
3.281904E+03	8.070954E-16	8.398190E-17
3.283089E+03	8.068927E-16	8.482018E-17
3.284275E+03	8.078582E-16	8.602495E-17
3.285460E+03	8.089697E-16	8.740540E-17
3.286645E+03	8.097494E-16	8.862945E-17
3.287831E+03	8.103034E-16	8.763572E-17
3.289016E+03	8.109503E-16	8.660191E-17
3.290201E+03	8.118892E-16	8.843132E-17
3.291387E+03	8.126290E-16	8.904148E-17
3.292572E+03	8.131830E-16	8.790922E-17
3.293757E+03	8.139361E-16	8.816607E-17
3.294943E+03	8.151670E-16	8.655587E-17
3.296128E+03	8.151369E-16	8.633762E-17
3.297313E+03	8.149874E-16	8.096185E-17
3.298499E+03	8.143999E-16	7.692447E-17
