#wls	flux	fluxerr
1.600000E+03	1.038637E-16	7.326578E-17
1.640000E+03	1.069528E-16	7.480916E-17
1.680000E+03	1.102215E-16	7.642718E-17
1.720000E+03	1.136805E-16	7.812285E-17
1.760000E+03	1.173413E-16	7.989926E-17
1.800000E+03	1.212378E-16	8.177444E-17
1.840000E+03	1.253621E-16	8.373726E-17
1.880000E+03	1.297276E-16	8.579089E-17
1.920000E+03	1.343965E-16	8.797006E-17
1.960000E+03	1.393632E-16	9.026361E-17
2.000000E+03	1.446453E-16	9.267552E-17
2.040000E+03	1.502879E-16	9.522632E-17
2.080000E+03	1.563125E-16	9.792063E-17
2.120000E+03	1.627697E-16	1.007802E-16
2.160000E+03	1.696270E-16	1.037744E-16
2.200000E+03	1.769951E-16	1.069602E-16
2.240000E+03	1.848723E-16	1.103239E-16
2.280000E+03	1.932852E-16	1.138685E-16
2.320000E+03	2.022931E-16	1.176154E-16
2.360000E+03	2.119590E-16	1.215861E-16
2.400000E+03	2.223137E-16	1.257820E-16
2.440000E+03	2.334228E-16	1.302232E-16
2.480000E+03	2.452783E-16	1.348871E-16
2.520000E+03	2.580202E-16	1.398322E-16
2.560000E+03	2.716368E-16	1.450314E-16
2.600000E+03	2.861889E-16	1.504968E-16
2.640000E+03	3.017343E-16	1.562371E-16
2.680000E+03	3.183710E-16	1.622806E-16
2.720000E+03	3.361039E-16	1.686060E-16
2.760000E+03	3.549703E-16	1.752086E-16
2.800000E+03	3.750934E-16	1.821254E-16
2.840000E+03	3.963910E-16	1.892918E-16
2.880000E+03	4.189576E-16	1.967303E-16
2.920000E+03	4.428228E-16	2.044313E-16
2.960000E+03	4.679409E-16	2.123511E-16
3.000000E+03	4.942907E-16	2.204597E-16
3.010000E+03	5.010939E-16	2.225244E-16
3.020000E+03	5.079894E-16	2.246061E-16
3.030000E+03	5.149185E-16	2.266786E-16
3.040000E+03	5.219337E-16	2.287648E-16
3.050000E+03	5.290319E-16	2.308631E-16
3.060000E+03	5.362098E-16	2.329718E-16
3.070000E+03	5.434641E-16	2.350890E-16
3.080000E+03	5.507339E-16	2.371884E-16
3.090000E+03	5.581293E-16	2.393172E-16
3.100000E+03	5.655895E-16	2.414489E-16
3.110000E+03	5.731103E-16	2.435816E-16
3.120000E+03	5.806872E-16	2.457131E-16
3.130000E+03	5.883157E-16	2.478415E-16
3.140000E+03	5.960492E-16	2.499889E-16
3.150000E+03	6.038248E-16	2.521289E-16
3.160000E+03	6.116375E-16	2.542591E-16
3.170000E+03	6.195405E-16	2.564015E-16
3.180000E+03	6.274700E-16	2.585296E-16
3.190000E+03	6.354790E-16	2.606652E-16
3.200000E+03	6.435620E-16	2.628056E-16
3.210000E+03	6.516543E-16	2.649244E-16
3.220000E+03	6.598087E-16	2.670430E-16
3.230000E+03	6.679601E-16	2.691350E-16
3.240000E+03	6.762200E-16	2.712454E-16
3.250000E+03	6.844639E-16	2.733239E-16
3.260000E+03	6.928031E-16	2.754150E-16
3.270000E+03	7.011127E-16	2.774689E-16
3.280000E+03	7.095038E-16	2.795297E-16
3.290000E+03	7.179099E-16	2.815710E-16
3.300000E+03	7.263239E-16	2.835900E-16
3.310000E+03	7.347971E-16	2.856068E-16
3.320000E+03	7.432627E-16	2.875953E-16
3.330000E+03	7.517720E-16	2.895754E-16
3.340000E+03	7.602580E-16	2.915212E-16
3.350000E+03	7.687713E-16	2.934523E-16
3.360000E+03	7.773036E-16	2.953655E-16
3.370000E+03	7.857879E-16	2.972352E-16
3.380000E+03	7.943326E-16	2.991028E-16
3.390000E+03	8.028704E-16	3.009426E-16
3.400000E+03	8.113924E-16	3.027514E-16
3.410000E+03	8.198897E-16	3.045260E-16
3.420000E+03	8.283535E-16	3.062632E-16
3.430000E+03	8.368322E-16	3.079811E-16
3.440000E+03	8.452589E-16	3.096550E-16
3.450000E+03	8.536816E-16	3.113026E-16
3.460000E+03	8.620906E-16	3.129205E-16
3.470000E+03	8.704761E-16	3.145050E-16
3.480000E+03	8.787723E-16	3.160326E-16
3.490000E+03	8.870820E-16	3.175404E-16
3.500000E+03	8.953391E-16	3.190046E-16
3.510000E+03	9.035340E-16	3.204221E-16
3.520000E+03	9.117121E-16	3.218090E-16
3.530000E+03	9.198084E-16	3.231424E-16
3.540000E+03	9.278135E-16	3.244194E-16
3.550000E+03	9.358260E-16	3.256744E-16
3.560000E+03	9.437277E-16	3.268663E-16
3.570000E+03	9.516158E-16	3.280290E-16
3.580000E+03	9.593740E-16	3.291224E-16
3.590000E+03	9.670985E-16	3.301797E-16
3.600000E+03	9.747265E-16	3.311797E-16
3.610000E+03	9.823004E-16	3.321367E-16
3.620000E+03	9.897588E-16	3.330302E-16
3.630000E+03	9.971434E-16	3.338744E-16
3.640000E+03	1.004444E-15	3.346661E-16
3.650000E+03	1.011652E-15	3.354023E-16
3.660000E+03	1.018758E-15	3.360799E-16
3.670000E+03	1.025801E-15	3.367123E-16
3.680000E+03	1.032723E-15	3.372803E-16
3.690000E+03	1.039515E-15	3.377815E-16
3.700000E+03	1.046217E-15	3.382287E-16
3.710000E+03	1.052821E-15	3.386192E-16
3.720000E+03	1.059316E-15	3.389503E-16
3.730000E+03	1.065694E-15	3.392194E-16
3.740000E+03	1.071994E-15	3.394385E-16
3.750000E+03	1.078161E-15	3.395905E-16
3.760000E+03	1.084187E-15	3.396736E-16
3.770000E+03	1.090111E-15	3.396995E-16
3.780000E+03	1.095880E-15	3.396523E-16
3.790000E+03	1.101574E-15	3.395571E-16
3.800000E+03	1.107143E-15	3.393980E-16
3.810000E+03	1.112580E-15	3.391734E-16
3.820000E+03	1.117879E-15	3.388816E-16
3.830000E+03	1.123033E-15	3.385212E-16
3.840000E+03	1.128080E-15	3.381028E-16
3.850000E+03	1.133011E-15	3.376247E-16
3.860000E+03	1.137782E-15	3.370738E-16
3.870000E+03	1.142467E-15	3.364720E-16
3.880000E+03	1.146983E-15	3.357951E-16
3.890000E+03	1.151365E-15	3.350537E-16
3.900000E+03	1.155646E-15	3.342577E-16
3.910000E+03	1.159747E-15	3.333846E-16
3.920000E+03	1.163741E-15	3.324551E-16
3.930000E+03	1.167622E-15	3.314683E-16
3.940000E+03	1.171352E-15	3.304134E-16
3.950000E+03	1.174930E-15	3.292904E-16
3.960000E+03	1.178388E-15	3.281087E-16
3.970000E+03	1.181692E-15	3.268589E-16
3.980000E+03	1.184873E-15	3.255502E-16
3.990000E+03	1.187930E-15	3.241827E-16
4.000000E+03	1.190863E-15	3.227563E-16
4.010000E+03	1.193640E-15	3.212628E-16
4.020000E+03	1.196262E-15	3.197031E-16
4.030000E+03	1.198792E-15	3.180944E-16
4.040000E+03	1.201168E-15	3.164207E-16
4.050000E+03	1.203395E-15	3.146833E-16
4.060000E+03	1.205503E-15	3.128911E-16
4.070000E+03	1.207465E-15	3.110374E-16
4.080000E+03	1.209313E-15	3.091310E-16
4.090000E+03	1.211022E-15	3.071657E-16
4.100000E+03	1.212568E-15	3.051363E-16
4.110000E+03	1.214010E-15	3.030583E-16
