MJD	ZTF_g	ZTF_g_err	ZTF_r	ZTF_r_err
58854.0	nan	nan	-8.750549454341738e-16	3.036001983167968e-16
58854.05	nan	nan	-8.37481832180535e-16	2.934681598156681e-16
58854.100000000006	nan	nan	-7.995896364952076e-16	2.83346925845035e-16
58854.15000000001	nan	nan	-7.613765427733507e-16	2.732372905165763e-16
58854.20000000001	nan	nan	-7.228407261687294e-16	2.631400654115482e-16
58854.250000000015	nan	nan	-6.839803525493511e-16	2.530560806131553e-16
58854.30000000002	nan	nan	-6.447935784539013e-16	2.429861859243561e-16
58854.35000000002	nan	nan	-6.052785510468644e-16	2.3293125232350144e-16
58854.40000000002	5.163273889655048e-16	5.946230244371423e-16	-5.65433408074147e-16	2.2289217372722367e-16
58854.450000000026	5.530556683546685e-16	5.777376758881969e-16	-5.252562778181208e-16	2.128698691569682e-16
58854.50000000003	5.902560704614536e-16	5.610104619829543e-16	-4.847452790529781e-16	2.0286528544137208e-16
58854.55000000003	6.279332942700498e-16	5.444502315724667e-16	-4.438985209990885e-16	1.9287940063970114e-16
58854.600000000035	6.660920806810775e-16	5.280661148609448e-16	-4.027141032779391e-16	1.8291322845024001e-16
58854.65000000004	7.047372128639387e-16	5.118675151415781e-16	-3.6119011586630894e-16	1.7296782398622908e-16
58854.70000000004	7.438735166110656e-16	4.958640951080273e-16	-3.193246390506581e-16	1.6304429148064658e-16
58854.750000000044	7.835058606955555e-16	4.800657563601052e-16	-2.771157433811105e-16	1.5314379476732517e-16
58854.80000000005	8.236391572311543e-16	4.644826104255831e-16	-2.3456148962492764e-16	1.4326757183669518e-16
58854.85000000005	8.642783620357115e-16	4.49124939268629e-16	-1.9165992872047753e-16	1.3341695551653785e-16
58854.90000000005	9.054284749974359e-16	4.340031428410392e-16	-1.4840910173023677e-16	1.2359340359649117e-16
58854.950000000055	9.470945404434968e-16	4.1912767074790166e-16	-1.0480703979432017e-16	1.1379854394535362e-16
58855.00000000006	9.892816475125057e-16	4.0450893453803535e-16	-6.08517640831047e-17	1.0403424424305117e-16
58855.05000000006	1.031994930529754e-15	3.9015719648431563e-16	-1.6541285750086638e-17	9.430272370618938e-17
58855.100000000064	1.0752395693846607e-15	3.7608242998672297e-16	2.812639411556926e-17	8.460673976205985e-17
