#wls	flux	fluxerr	mangling_mask
3.292411E+03	1.941132E-15	2.086679E-16	1.465779E+00
3.294698E+03	1.935704E-15	2.086593E-16	1.465776E+00
3.296985E+03	1.915179E-15	2.086292E-16	1.465773E+00
3.299273E+03	1.910631E-15	2.086220E-16	1.465770E+00
3.301560E+03	1.909161E-15	2.086192E-16	1.465767E+00
3.303848E+03	1.905933E-15	2.086139E-16	1.465764E+00
3.306135E+03	1.899919E-15	2.086046E-16	1.465761E+00
3.308422E+03	1.909296E-15	2.086172E-16	1.465757E+00
3.310710E+03	1.909731E-15	2.086170E-16	1.465754E+00
3.312997E+03	1.904304E-15	2.086086E-16	1.465751E+00
3.315285E+03	1.906645E-15	2.086112E-16	1.465748E+00
3.317572E+03	1.908546E-15	2.133174E-16	1.465745E+00
3.319859E+03	1.911767E-15	2.120394E-16	1.465741E+00
3.322147E+03	1.907658E-15	1.977946E-16	1.465738E+00
3.324434E+03	1.913370E-15	1.943979E-16	1.465735E+00
3.326722E+03	1.921281E-15	1.754569E-16	1.465732E+00
3.329009E+03	1.933296E-15	1.760719E-16	1.465729E+00
3.331296E+03	1.951613E-15	1.744911E-16	1.465725E+00
3.333584E+03	1.966559E-15	1.829665E-16	1.465722E+00
3.335871E+03	1.982678E-15	1.828184E-16	1.465719E+00
3.338159E+03	2.000262E-15	1.799290E-16	1.465716E+00
3.340446E+03	2.026054E-15	1.785071E-16	1.465712E+00
3.342733E+03	2.055071E-15	1.738879E-16	1.465709E+00
3.345021E+03	2.071628E-15	1.632711E-16	1.465706E+00
3.347308E+03	2.092437E-15	1.645847E-16	1.465702E+00
3.349595E+03	2.120720E-15	1.698504E-16	1.465699E+00
3.351883E+03	2.134933E-15	1.604160E-16	1.465696E+00
3.354170E+03	2.162776E-15	1.629586E-16	1.465693E+00
3.356458E+03	2.192964E-15	1.560448E-16	1.465689E+00
3.358745E+03	2.220514E-15	1.756432E-16	1.465686E+00
3.361032E+03	2.246305E-15	1.875687E-16	1.465683E+00
3.363320E+03	2.269018E-15	1.887258E-16	1.465679E+00
3.365607E+03	2.293783E-15	1.855552E-16	1.465676E+00
3.367894E+03	2.316349E-15	1.873787E-16	1.465673E+00
3.370182E+03	2.339061E-15	1.929690E-16	1.465669E+00
3.372469E+03	2.355911E-15	2.310009E-16	1.465666E+00
3.374757E+03	2.370856E-15	2.287268E-16	1.465662E+00
3.377044E+03	2.383748E-15	2.313627E-16	1.465659E+00
3.379331E+03	2.398692E-15	2.179769E-16	1.465656E+00
3.381619E+03	2.409972E-15	2.118702E-16	1.465652E+00
3.383906E+03	2.414363E-15	2.502558E-16	1.465649E+00
3.386194E+03	2.415091E-15	2.553495E-16	1.465645E+00
3.388481E+03	2.411714E-15	2.565809E-16	1.465642E+00
3.390769E+03	2.408191E-15	2.588458E-16	1.465639E+00
3.393056E+03	2.403202E-15	2.593327E-16	1.465635E+00
3.395343E+03	2.402757E-15	2.583556E-16	1.465632E+00
3.397631E+03	2.409933E-15	2.745452E-16	1.465628E+00
3.399918E+03	2.417988E-15	2.771630E-16	1.465625E+00
3.402205E+03	2.421500E-15	2.795271E-16	1.465621E+00
3.404493E+03	2.428382E-15	2.807884E-16	1.465618E+00
3.406780E+03	2.424126E-15	2.596914E-16	1.465614E+00
3.409068E+03	2.423241E-15	2.530519E-16	1.465611E+00
3.411355E+03	2.411364E-15	2.552603E-16	1.465607E+00
3.413642E+03	2.406082E-15	2.558484E-16	1.465604E+00
3.415930E+03	2.401533E-15	2.547491E-16	1.465600E+00
3.418217E+03	2.404312E-15	2.598909E-16	1.465597E+00
3.420505E+03	2.411634E-15	2.374793E-16	1.465593E+00
3.422792E+03	2.408404E-15	2.402070E-16	1.465590E+00
3.425079E+03	2.404294E-15	2.398361E-16	1.465586E+00
3.427367E+03	2.407366E-15	2.657157E-16	1.465583E+00
3.429654E+03	2.401352E-15	2.650801E-16	1.465579E+00
3.431941E+03	2.402372E-15	2.285784E-16	1.465576E+00
3.434229E+03	2.408228E-15	2.230373E-16	1.465572E+00
3.436516E+03	2.405731E-15	2.259229E-16	1.465569E+00
3.438804E+03	2.400595E-15	2.207860E-16	1.465565E+00
3.441091E+03	2.389598E-15	2.239769E-16	1.465561E+00
3.443378E+03	2.390764E-15	2.266075E-16	1.465558E+00
3.445666E+03	2.387095E-15	2.176238E-16	1.465554E+00
3.447953E+03	2.379614E-15	2.158969E-16	1.465551E+00
3.450241E+03	2.368910E-15	2.113631E-16	1.465547E+00
3.452528E+03	2.368904E-15	2.087354E-16	1.465543E+00
3.454815E+03	2.355562E-15	2.153453E-16	1.465540E+00
