#wls	flux	fluxerr
1.565435E+03	2.047335E-03	2.458332E-05
1.604571E+03	2.097574E-03	2.518408E-05
1.643707E+03	2.151475E-03	2.582862E-05
1.682843E+03	2.209111E-03	2.651780E-05
1.721979E+03	2.270740E-03	2.725469E-05
1.761115E+03	2.336804E-03	2.804456E-05
1.800250E+03	2.406940E-03	2.888306E-05
1.839386E+03	2.481756E-03	2.977743E-05
1.878522E+03	2.561253E-03	3.072767E-05
1.917658E+03	2.645425E-03	3.173366E-05
1.956794E+03	2.734062E-03	3.279287E-05
1.995930E+03	2.827138E-03	3.390495E-05
2.035066E+03	2.924244E-03	3.506497E-05
2.074202E+03	3.024609E-03	3.626363E-05
2.113338E+03	3.128019E-03	3.749836E-05
2.152473E+03	3.233538E-03	3.875790E-05
2.191609E+03	3.340431E-03	4.003343E-05
2.230745E+03	3.448337E-03	4.132058E-05
2.269881E+03	3.557244E-03	4.261920E-05
2.309017E+03	3.667652E-03	4.393526E-05
2.348153E+03	3.780199E-03	4.527637E-05
2.387289E+03	3.895483E-03	4.664966E-05
2.426425E+03	4.014562E-03	4.806777E-05
2.465560E+03	4.137934E-03	4.953663E-05
2.504696E+03	4.266383E-03	5.106556E-05
2.543832E+03	4.400147E-03	5.265736E-05
2.582968E+03	4.539589E-03	5.431633E-05
2.622104E+03	4.684713E-03	5.604244E-05
2.661240E+03	4.835493E-03	5.783535E-05
2.700376E+03	4.991877E-03	5.969436E-05
2.739512E+03	5.153634E-03	6.161662E-05
2.778647E+03	5.320514E-03	6.359911E-05
2.817783E+03	5.492538E-03	6.564201E-05
2.856919E+03	5.669413E-03	6.774174E-05
2.896055E+03	5.851540E-03	6.990303E-05
2.935191E+03	6.038835E-03	7.212481E-05
2.944975E+03	6.086658E-03	7.269199E-05
2.954759E+03	6.134736E-03	7.326213E-05
2.964543E+03	6.183053E-03	7.383506E-05
2.974327E+03	6.231876E-03	7.441392E-05
2.984111E+03	6.281062E-03	7.499705E-05
2.993895E+03	6.330588E-03	7.558413E-05
3.003679E+03	6.380586E-03	7.617678E-05
3.013463E+03	6.430908E-03	7.677319E-05
3.023247E+03	6.481536E-03	7.737318E-05
3.033031E+03	6.532732E-03	7.797985E-05
3.042815E+03	6.584214E-03	7.858985E-05
3.052599E+03	6.636102E-03	7.920460E-05
3.062383E+03	6.688251E-03	7.982237E-05
3.072167E+03	6.741050E-03	8.044780E-05
3.081951E+03	6.794078E-03	8.107587E-05
3.091735E+03	6.847465E-03	8.170813E-05
3.101518E+03	6.901326E-03	8.234595E-05
3.111302E+03	6.955640E-03	8.298907E-05
