#wls	flux	fluxerr
1.565435E+03	2.180691E-03	3.791153E-05
1.604571E+03	2.183119E-03	3.791281E-05
1.643707E+03	2.185795E-03	3.791738E-05
1.682843E+03	2.189520E-03	3.793910E-05
1.721979E+03	2.193478E-03	3.796373E-05
1.761115E+03	2.198471E-03	3.800512E-05
1.800250E+03	2.204488E-03	3.806300E-05
1.839386E+03	2.211523E-03	3.813717E-05
1.878522E+03	2.220380E-03	3.824138E-05
1.917658E+03	2.230233E-03	3.836128E-05
1.956794E+03	2.242294E-03	3.851758E-05
1.995930E+03	2.256550E-03	3.870989E-05
2.035066E+03	2.272580E-03	3.893080E-05
2.074202E+03	2.291590E-03	3.920078E-05
2.113338E+03	2.313155E-03	3.951228E-05
2.152473E+03	2.337659E-03	3.987164E-05
2.191609E+03	2.365078E-03	4.027816E-05
2.230745E+03	2.394975E-03	4.072413E-05
2.269881E+03	2.428135E-03	4.122258E-05
2.309017E+03	2.463702E-03	4.175872E-05
2.348153E+03	2.502047E-03	4.233851E-05
2.387289E+03	2.542715E-03	4.295398E-05
2.426425E+03	2.585661E-03	4.360406E-05
2.465560E+03	2.630426E-03	4.428075E-05
2.504696E+03	2.677360E-03	4.498967E-05
2.543832E+03	2.726405E-03	4.572955E-05
2.582968E+03	2.777093E-03	4.649224E-05
2.622104E+03	2.829760E-03	4.728312E-05
2.661240E+03	2.883932E-03	4.809397E-05
2.700376E+03	2.939536E-03	4.892330E-05
2.739512E+03	2.996495E-03	4.976958E-05
2.778647E+03	3.054727E-03	5.063121E-05
2.817783E+03	3.113354E-03	5.149338E-05
2.856919E+03	3.172692E-03	5.236115E-05
2.896055E+03	3.232655E-03	5.323291E-05
2.935191E+03	3.293936E-03	5.411985E-05
2.944975E+03	3.309513E-03	5.434476E-05
2.954759E+03	3.325383E-03	5.457405E-05
2.964543E+03	3.341546E-03	5.480770E-05
2.974327E+03	3.357607E-03	5.503925E-05
2.984111E+03	3.373567E-03	5.526870E-05
2.993895E+03	3.390202E-03	5.550876E-05
3.003679E+03	3.406731E-03	5.574665E-05
3.013463E+03	3.423930E-03	5.599502E-05
3.023247E+03	3.441018E-03	5.624110E-05
3.033031E+03	3.458382E-03	5.649123E-05
3.042815E+03	3.476020E-03	5.674534E-05
3.052599E+03	3.493929E-03	5.700339E-05
3.062383E+03	3.512105E-03	5.726530E-05
3.072167E+03	3.530930E-03	5.753729E-05
3.081951E+03	3.549633E-03	5.780677E-05
3.091735E+03	3.568979E-03	5.808619E-05
3.101518E+03	3.588964E-03	5.837548E-05
3.111302E+03	3.609200E-03	5.866830E-05
3.121086E+03	3.630067E-03	5.897082E-05
3.130870E+03	3.651178E-03	5.927672E-05
3.140654E+03	3.673292E-03	5.959832E-05
3.150438E+03	3.695642E-03	5.992315E-05
3.160222E+03	3.718604E-03	6.025728E-05
3.170006E+03	3.742174E-03	6.060063E-05
3.179790E+03	3.766724E-03	6.095920E-05
3.189574E+03	3.791871E-03	6.132676E-05
3.199358E+03	3.817606E-03	6.170316E-05
3.209142E+03	3.844304E-03	6.209442E-05
3.218926E+03	3.871958E-03	6.250038E-05
3.228710E+03	3.900559E-03	6.292087E-05
3.238494E+03	3.930098E-03	6.335573E-05
3.248278E+03	3.960945E-03	6.381088E-05
3.258062E+03	3.992713E-03	6.428003E-05
3.267846E+03	4.025396E-03	6.476306E-05
3.277630E+03	4.059358E-03	6.526578E-05
3.287414E+03	4.094962E-03	6.579399E-05
3.297198E+03	4.131449E-03	6.633544E-05
3.306982E+03	4.169555E-03	6.690191E-05
3.316766E+03	4.208895E-03	6.748717E-05
3.326550E+03	4.250199E-03	6.810285E-05
3.336334E+03	4.292711E-03	6.873681E-05
3.346118E+03	4.337157E-03	6.940060E-05
3.355902E+03	4.383154E-03	7.008802E-05
3.365686E+03	4.431054E-03	7.080466E-05
3.375470E+03	4.480838E-03	7.155014E-05
3.385254E+03	4.532493E-03	7.232417E-05
3.395038E+03	4.586363E-03	7.313219E-05
3.404822E+03	4.642066E-03	7.396801E-05
3.414606E+03	4.699945E-03	7.483703E-05
3.424389E+03	4.759981E-03	7.573888E-05
3.434173E+03	4.822514E-03	7.667887E-05
3.443957E+03	4.887159E-03	7.765079E-05
3.453741E+03	4.954255E-03	7.865994E-05
3.463525E+03	5.023777E-03	7.970585E-05
3.473309E+03	5.095699E-03	8.078800E-05
3.483093E+03	5.170353E-03	8.191157E-05
3.492877E+03	5.247355E-03	8.307037E-05
3.502661E+03	5.327032E-03	8.426948E-05
3.512445E+03	5.409002E-03	8.550276E-05
3.522229E+03	5.493944E-03	8.678084E-05
3.532013E+03	5.581471E-03	8.809752E-05
3.541797E+03	5.671554E-03	8.945221E-05
3.551581E+03	5.764158E-03	9.084427E-05
3.561365E+03	5.859603E-03	9.227866E-05
3.571149E+03	5.957503E-03	9.374917E-05
3.580933E+03	6.057824E-03	9.525517E-05
3.590717E+03	6.161227E-03	9.680696E-05
3.600501E+03	6.266979E-03	9.839289E-05
3.610285E+03	6.375042E-03	1.000123E-04
3.620069E+03	6.486072E-03	1.016753E-04
3.629853E+03	6.599336E-03	1.033704E-04
3.639637E+03	6.715139E-03	1.051022E-04
3.649421E+03	6.833098E-03	1.068646E-04
3.659205E+03	6.953514E-03	1.086623E-04
3.668989E+03	7.076345E-03	1.104945E-04
3.678773E+03	7.201546E-03	1.123603E-04
3.688557E+03	7.328733E-03	1.142537E-04
3.698341E+03	7.458202E-03	1.161793E-04
3.708125E+03	7.589568E-03	1.181308E-04
3.717909E+03	7.723123E-03	1.201129E-04
3.727693E+03	7.858484E-03	1.221194E-04
3.737477E+03	7.995604E-03	1.241495E-04
3.747260E+03	8.134437E-03	1.262024E-04
3.757044E+03	8.274933E-03	1.282773E-04
3.766828E+03	8.417044E-03	1.303734E-04
3.776612E+03	8.560389E-03	1.324847E-04
3.786396E+03	8.705579E-03	1.346205E-04
3.796180E+03	8.851575E-03	1.367648E-04
3.805964E+03	8.998985E-03	1.389269E-04
3.815748E+03	9.147427E-03	1.411007E-04
3.825532E+03	9.296529E-03	1.432806E-04
3.835316E+03	9.446884E-03	1.454757E-04
3.845100E+03	9.597473E-03	1.476701E-04
3.854884E+03	9.748888E-03	1.498730E-04
3.864668E+03	9.900757E-03	1.520786E-04
