#wls	flux	fluxerr
1.565435E+03	9.855885E-04	1.183443E-05
1.604571E+03	1.017257E-03	1.221348E-05
1.643707E+03	1.048628E-03	1.258886E-05
1.682843E+03	1.079476E-03	1.295785E-05
1.721979E+03	1.109529E-03	1.331719E-05
1.761115E+03	1.138120E-03	1.365887E-05
1.800250E+03	1.163903E-03	1.396673E-05
1.839386E+03	1.185738E-03	1.422711E-05
1.878522E+03	1.202069E-03	1.442136E-05
1.917658E+03	1.211641E-03	1.453445E-05
1.956794E+03	1.214325E-03	1.456486E-05
1.995930E+03	1.212697E-03	1.454349E-05
2.035066E+03	1.212997E-03	1.454520E-05
2.074202E+03	1.224610E-03	1.468249E-05
2.113338E+03	1.257033E-03	1.506918E-05
2.152473E+03	1.314822E-03	1.575975E-05
2.191609E+03	1.396028E-03	1.673071E-05
2.230745E+03	1.494245E-03	1.790518E-05
2.269881E+03	1.602171E-03	1.919555E-05
2.309017E+03	1.714170E-03	2.053425E-05
2.348153E+03	1.826838E-03	2.188048E-05
2.387289E+03	1.938586E-03	2.321519E-05
2.426425E+03	2.049264E-03	2.453656E-05
2.465560E+03	2.159130E-03	2.584768E-05
2.504696E+03	2.268917E-03	2.715731E-05
2.543832E+03	2.379199E-03	2.847231E-05
2.582968E+03	2.490636E-03	2.980054E-05
2.622104E+03	2.603657E-03	3.114712E-05
2.661240E+03	2.718627E-03	3.251639E-05
2.700376E+03	2.835837E-03	3.391179E-05
2.739512E+03	2.955427E-03	3.533495E-05
2.778647E+03	3.077478E-03	3.678683E-05
2.817783E+03	3.202189E-03	3.826976E-05
2.856919E+03	3.329547E-03	3.978353E-05
2.896055E+03	3.459918E-03	4.133249E-05
2.935191E+03	3.593368E-03	4.291739E-05
2.944975E+03	3.627338E-03	4.332072E-05
2.954759E+03	3.661467E-03	4.372591E-05
2.964543E+03	3.695748E-03	4.413286E-05
2.974327E+03	3.730382E-03	4.454395E-05
2.984111E+03	3.765433E-03	4.495997E-05
