#wls	flux	fluxerr
1.565435E+03	1.284175E-03	1.508861E-05
1.604571E+03	1.297558E-03	1.523239E-05
1.643707E+03	1.308102E-03	1.534226E-05
1.682843E+03	1.316109E-03	1.542180E-05
1.721979E+03	1.321069E-03	1.546513E-05
1.761115E+03	1.322645E-03	1.546841E-05
1.800250E+03	1.319361E-03	1.541448E-05
1.839386E+03	1.310713E-03	1.529762E-05
1.878522E+03	1.295522E-03	1.510431E-05
1.917658E+03	1.273074E-03	1.482645E-05
1.956794E+03	1.244410E-03	1.447646E-05
1.995930E+03	1.212678E-03	1.409117E-05
2.035066E+03	1.184840E-03	1.375154E-05
2.074202E+03	1.169947E-03	1.356234E-05
2.113338E+03	1.176542E-03	1.362194E-05
2.152473E+03	1.208333E-03	1.397231E-05
2.191609E+03	1.262287E-03	1.457726E-05
2.230745E+03	1.332438E-03	1.536690E-05
2.269881E+03	1.411636E-03	1.625808E-05
2.309017E+03	1.494985E-03	1.719396E-05
2.348153E+03	1.579005E-03	1.813426E-05
2.387289E+03	1.662256E-03	1.906234E-05
2.426425E+03	1.744316E-03	1.997329E-05
2.465560E+03	1.825297E-03	2.086837E-05
2.504696E+03	1.905546E-03	2.175146E-05
2.543832E+03	1.985223E-03	2.262432E-05
2.582968E+03	2.064717E-03	2.349132E-05
2.622104E+03	2.144374E-03	2.435625E-05
2.661240E+03	2.225003E-03	2.522821E-05
2.700376E+03	2.306590E-03	2.610683E-05
2.739512E+03	2.389851E-03	2.700004E-05
2.778647E+03	2.474670E-03	2.790631E-05
2.817783E+03	2.560885E-03	2.882357E-05
2.856919E+03	2.648020E-03	2.974628E-05
2.896055E+03	2.735837E-03	3.067157E-05
2.935191E+03	2.824344E-03	3.159934E-05
2.944975E+03	2.846756E-03	3.183363E-05
2.954759E+03	2.869091E-03	3.206673E-05
2.964543E+03	2.891622E-03	3.230166E-05
2.974327E+03	2.914106E-03	3.253573E-05
2.984111E+03	2.936931E-03	3.277325E-05
2.993895E+03	2.960216E-03	3.301555E-05
3.003679E+03	2.983652E-03	3.325915E-05
3.013463E+03	3.007477E-03	3.350673E-05
3.023247E+03	3.031662E-03	3.375794E-05
3.033031E+03	3.055904E-03	3.400941E-05
