#wls	flux	fluxerr
1.565435E+03	3.094144E-18	9.894615E-20
1.604571E+03	3.248982E-18	1.038099E-19
1.643707E+03	3.393103E-18	1.083208E-19
1.682843E+03	3.524167E-18	1.124048E-19
1.721979E+03	3.639254E-18	1.159694E-19
1.761115E+03	3.733504E-18	1.188612E-19
1.800250E+03	3.797505E-18	1.207824E-19
1.839386E+03	3.821756E-18	1.214337E-19
1.878522E+03	3.795433E-18	1.204750E-19
1.917658E+03	3.710296E-18	1.176501E-19
1.956794E+03	3.565862E-18	1.129495E-19
1.995930E+03	3.377140E-18	1.068546E-19
2.035066E+03	3.178946E-18	1.004706E-19
2.074202E+03	3.022643E-18	9.542065E-20
2.113338E+03	2.963353E-18	9.343843E-20
2.152473E+03	3.042351E-18	9.581316E-20
2.191609E+03	3.278494E-18	1.031218E-19
2.230745E+03	3.666908E-18	1.151921E-19
2.269881E+03	4.183599E-18	1.312520E-19
2.309017E+03	4.794773E-18	1.502251E-19
2.348153E+03	5.466586E-18	1.710390E-19
2.387289E+03	6.171795E-18	1.928325E-19
2.426425E+03	6.892881E-18	2.150524E-19
2.465560E+03	7.619600E-18	2.373751E-19
2.504696E+03	8.348179E-18	2.596802E-19
2.543832E+03	9.077716E-18	2.819369E-19
2.582968E+03	9.809758E-18	3.041906E-19
2.622104E+03	1.054624E-17	3.264983E-19
2.661240E+03	1.128947E-17	3.489282E-19
2.700376E+03	1.204178E-17	3.715486E-19
2.739512E+03	1.280495E-17	3.944102E-19
2.778647E+03	1.358051E-17	4.175551E-19
2.817783E+03	1.437042E-17	4.410392E-19
2.856919E+03	1.517561E-17	4.648857E-19
2.896055E+03	1.599869E-17	4.891682E-19
2.935191E+03	1.684083E-17	5.139167E-19
2.944975E+03	1.705503E-17	5.201968E-19
2.954759E+03	1.727033E-17	5.265027E-19
2.964543E+03	1.748672E-17	5.328337E-19
2.974327E+03	1.770515E-17	5.392192E-19
2.984111E+03	1.792591E-17	5.456678E-19
2.993895E+03	1.814976E-17	5.522019E-19
3.003679E+03	1.837684E-17	5.588262E-19
3.013463E+03	1.860659E-17	5.655230E-19
3.023247E+03	1.883880E-17	5.722859E-19
3.033031E+03	1.907509E-17	5.791643E-19
3.042815E+03	1.931211E-17	5.860558E-19
3.052599E+03	1.955487E-17	5.931122E-19
3.062383E+03	1.980243E-17	6.003053E-19
3.072167E+03	2.005549E-17	6.076552E-19
3.081951E+03	2.031242E-17	6.151127E-19
3.091735E+03	2.057316E-17	6.226758E-19
3.101518E+03	2.083772E-17	6.303444E-19
3.111302E+03	2.110572E-17	6.381069E-19
3.121086E+03	2.137602E-17	6.459284E-19
3.130870E+03	2.164950E-17	6.538352E-19
3.140654E+03	2.192504E-17	6.617936E-19
3.150438E+03	2.220276E-17	6.698068E-19
3.160222E+03	2.248202E-17	6.778559E-19
3.170006E+03	2.276297E-17	6.859445E-19
3.179790E+03	2.304538E-17	6.940657E-19
3.189574E+03	2.332905E-17	7.022137E-19
3.199358E+03	2.361340E-17	7.103707E-19
3.209142E+03	2.389866E-17	7.185434E-19
3.218926E+03	2.418466E-17	7.267268E-19
3.228710E+03	2.447087E-17	7.349046E-19
3.238494E+03	2.475756E-17	7.430854E-19
3.248278E+03	2.504422E-17	7.512531E-19
3.258062E+03	2.533116E-17	7.594171E-19
3.267846E+03	2.561787E-17	7.675626E-19
3.277630E+03	2.590428E-17	7.756867E-19
3.287414E+03	2.619033E-17	7.837880E-19
3.297198E+03	2.647597E-17	7.918648E-19
3.306982E+03	2.676115E-17	7.999154E-19
