#wls	flux	fluxerr
1.565435E+03	1.981587E-18	3.953325E-20
1.604571E+03	2.045173E-18	4.075598E-20
1.643707E+03	2.097164E-18	4.174402E-20
1.682843E+03	2.137315E-18	4.249317E-20
1.721979E+03	2.163878E-18	4.296950E-20
1.761115E+03	2.174375E-18	4.312478E-20
1.800250E+03	2.165164E-18	4.288798E-20
1.839386E+03	2.131368E-18	4.216413E-20
1.878522E+03	2.069596E-18	4.088814E-20
1.917658E+03	1.977201E-18	3.901006E-20
1.956794E+03	1.856449E-18	3.657711E-20
1.995930E+03	1.717557E-18	3.379284E-20
2.035066E+03	1.579579E-18	3.103331E-20
2.074202E+03	1.467977E-18	2.879819E-20
2.113338E+03	1.407337E-18	2.756697E-20
2.152473E+03	1.414431E-18	2.766323E-20
2.191609E+03	1.493756E-18	2.916866E-20
2.230745E+03	1.639186E-18	3.195695E-20
2.269881E+03	1.837379E-18	3.576195E-20
2.309017E+03	2.070933E-18	4.023999E-20
2.348153E+03	2.324103E-18	4.508175E-20
2.387289E+03	2.584973E-18	5.005401E-20
2.426425E+03	2.845593E-18	5.500176E-20
2.465560E+03	3.102049E-18	5.984900E-20
2.504696E+03	3.352514E-18	6.456041E-20
2.543832E+03	3.597694E-18	6.914969E-20
2.582968E+03	3.838172E-18	7.362806E-20
2.622104E+03	4.075412E-18	7.802352E-20
2.661240E+03	4.311584E-18	8.237739E-20
2.700376E+03	4.547702E-18	8.670861E-20
2.739512E+03	4.785220E-18	9.104427E-20
2.778647E+03	5.026699E-18	9.543229E-20
2.817783E+03	5.273353E-18	9.989462E-20
2.856919E+03	5.526211E-18	1.044495E-19
2.896055E+03	5.786779E-18	1.091239E-19
2.935191E+03	6.056428E-18	1.139420E-19
2.944975E+03	6.126083E-18	1.151843E-19
2.954759E+03	6.195962E-18	1.164290E-19
2.964543E+03	6.266059E-18	1.176758E-19
2.974327E+03	6.337781E-18	1.189513E-19
2.984111E+03	6.410030E-18	1.202348E-19
2.993895E+03	6.483735E-18	1.215436E-19
3.003679E+03	6.558823E-18	1.228763E-19
3.013463E+03	6.635214E-18	1.242314E-19
3.023247E+03	6.712842E-18	1.256076E-19
3.033031E+03	6.792003E-18	1.270103E-19
3.042815E+03	6.871776E-18	1.284223E-19
3.052599E+03	6.953797E-18	1.298741E-19
3.062383E+03	7.038559E-18	1.313748E-19
3.072167E+03	7.124511E-18	1.328954E-19
3.081951E+03	7.212859E-18	1.344583E-19
3.091735E+03	7.303445E-18	1.360604E-19
3.101518E+03	7.394744E-18	1.376734E-19
3.111302E+03	7.488000E-18	1.393202E-19
3.121086E+03	7.583086E-18	1.409984E-19
3.130870E+03	7.679184E-18	1.426928E-19
3.140654E+03	7.776881E-18	1.444142E-19
3.150438E+03	7.875370E-18	1.461475E-19
3.160222E+03	7.975950E-18	1.479169E-19
3.170006E+03	8.077133E-18	1.496946E-19
3.179790E+03	8.179529E-18	1.514919E-19
3.189574E+03	8.282359E-18	1.532943E-19
3.199358E+03	8.386941E-18	1.551262E-19
3.209142E+03	8.492510E-18	1.569733E-19
3.218926E+03	8.598994E-18	1.588343E-19
3.228710E+03	8.707035E-18	1.607209E-19
3.238494E+03	8.815174E-18	1.626063E-19
3.248278E+03	8.924751E-18	1.645149E-19
3.258062E+03	9.035017E-18	1.664331E-19
3.267846E+03	9.146627E-18	1.683728E-19
3.277630E+03	9.259530E-18	1.703330E-19
3.287414E+03	9.372984E-18	1.723000E-19
3.297198E+03	9.487649E-18	1.742859E-19
3.306982E+03	9.603483E-18	1.762898E-19
3.316766E+03	9.719752E-18	1.782983E-19
3.326550E+03	9.837817E-18	1.803362E-19
3.336334E+03	9.956949E-18	1.823901E-19
3.346118E+03	1.007711E-17	1.844592E-19
3.355902E+03	1.019897E-17	1.865558E-19
3.365686E+03	1.032110E-17	1.886537E-19
3.375470E+03	1.044557E-17	1.907904E-19
3.385254E+03	1.057094E-17	1.929400E-19
3.395038E+03	1.069720E-17	1.951019E-19
3.404822E+03	1.082571E-17	1.973007E-19
3.414606E+03	1.095504E-17	1.995108E-19
3.424389E+03	1.108587E-17	2.017440E-19
3.434173E+03	1.121817E-17	2.039999E-19
3.443957E+03	1.135259E-17	2.062903E-19
3.453741E+03	1.148843E-17	2.086022E-19
3.463525E+03	1.162565E-17	2.109351E-19
3.473309E+03	1.176492E-17	2.133007E-19
3.483093E+03	1.190620E-17	2.156984E-19
3.492877E+03	1.204880E-17	2.181153E-19
3.502661E+03	1.219402E-17	2.205754E-19
3.512445E+03	1.234050E-17	2.230536E-19
3.522229E+03	1.248889E-17	2.255616E-19
3.532013E+03	1.263982E-17	2.281108E-19
3.541797E+03	1.279261E-17	2.306885E-19
3.551581E+03	1.294787E-17	2.333061E-19
3.561365E+03	1.310493E-17	2.359511E-19
3.571149E+03	1.326442E-17	2.386346E-19
3.580933E+03	1.342630E-17	2.413561E-19
3.590717E+03	1.359056E-17	2.441150E-19
3.600501E+03	1.375780E-17	2.469222E-19
3.610285E+03	1.392671E-17	2.497539E-19
3.620069E+03	1.409856E-17	2.526326E-19
3.629853E+03	1.427330E-17	2.555577E-19
3.639637E+03	1.445028E-17	2.585171E-19
3.649421E+03	1.463011E-17	2.615217E-19
3.659205E+03	1.481276E-17	2.645709E-19
3.668989E+03	1.499821E-17	2.676639E-19
3.678773E+03	1.518644E-17	2.708005E-19
3.688557E+03	1.537744E-17	2.739800E-19
3.698341E+03	1.557178E-17	2.772131E-19
3.708125E+03	1.576947E-17	2.804991E-19
3.717909E+03	1.596986E-17	2.838266E-19
3.727693E+03	1.617417E-17	2.872171E-19
3.737477E+03	1.638116E-17	2.906483E-19
3.747260E+03	1.659143E-17	2.941309E-19
3.757044E+03	1.680499E-17	2.976646E-19
3.766828E+03	1.702242E-17	3.012597E-19
3.776612E+03	1.724312E-17	3.049055E-19
3.785181E+03	5.378435E-18	9.503420E-20
3.786340E+03	5.386859E-18	9.517338E-20
3.787498E+03	5.367392E-18	9.481980E-20
3.788656E+03	5.338243E-18	9.429529E-20
3.789815E+03	5.310828E-18	9.380150E-20
3.790972E+03	5.361538E-18	9.468753E-20
3.792131E+03	5.433105E-18	9.594167E-20
3.793289E+03	5.496508E-18	9.705141E-20
3.794448E+03	5.475012E-18	9.666202E-20
3.795606E+03	5.439026E-18	9.601692E-20
3.796764E+03	5.457180E-18	9.632756E-20
3.799080E+03	5.436470E-18	9.594245E-20
3.800239E+03	5.435710E-18	9.591925E-20
3.801397E+03	5.449271E-18	9.614874E-20
3.802556E+03	5.463666E-18	9.639289E-20
3.803714E+03	5.484821E-18	9.675623E-20
3.804872E+03	5.532701E-18	9.759089E-20
