#wls	flux	fluxerr
1.600000E+03	2.450446E-17	7.836163E-19
1.640000E+03	2.511532E-17	8.024727E-19
1.680000E+03	2.577076E-17	8.227012E-19
1.720000E+03	2.647172E-17	8.443263E-19
1.760000E+03	2.722138E-17	8.674439E-19
1.800000E+03	2.802511E-17	8.922180E-19
1.840000E+03	2.887868E-17	9.185077E-19
1.880000E+03	2.978948E-17	9.465402E-19
1.920000E+03	3.075764E-17	9.763119E-19
1.960000E+03	3.178319E-17	1.007815E-18
2.000000E+03	3.286373E-17	1.040966E-18
2.040000E+03	3.399909E-17	1.075750E-18
2.080000E+03	3.518449E-17	1.112006E-18
2.120000E+03	3.641074E-17	1.149436E-18
2.160000E+03	3.767540E-17	1.187955E-18
2.200000E+03	3.896732E-17	1.227203E-18
2.240000E+03	4.027775E-17	1.266897E-18
2.280000E+03	4.160241E-17	1.306897E-18
2.320000E+03	4.294127E-17	1.347196E-18
2.360000E+03	4.430044E-17	1.387978E-18
2.400000E+03	4.568777E-17	1.429483E-18
2.440000E+03	4.711061E-17	1.471931E-18
2.480000E+03	4.858190E-17	1.515717E-18
2.520000E+03	5.010789E-17	1.561022E-18
2.560000E+03	5.169824E-17	1.608136E-18
2.600000E+03	5.335608E-17	1.657140E-18
2.640000E+03	5.508606E-17	1.708163E-18
2.680000E+03	5.688849E-17	1.761196E-18
2.720000E+03	5.876333E-17	1.816222E-18
2.760000E+03	6.071025E-17	1.873212E-18
2.800000E+03	6.272671E-17	1.932069E-18
2.840000E+03	6.480999E-17	1.992690E-18
2.880000E+03	6.696070E-17	2.055076E-18
2.920000E+03	6.917554E-17	2.119105E-18
2.960000E+03	7.145970E-17	2.184917E-18
3.000000E+03	7.381255E-17	2.252472E-18
3.010000E+03	7.441388E-17	2.269703E-18
3.020000E+03	7.501868E-17	2.287016E-18
3.030000E+03	7.562683E-17	2.304408E-18
3.040000E+03	7.624158E-17	2.321976E-18
3.050000E+03	7.686107E-17	2.339664E-18
3.060000E+03	7.748522E-17	2.357469E-18
3.070000E+03	7.811550E-17	2.375435E-18
3.080000E+03	7.875014E-17	2.393508E-18
3.090000E+03	7.938897E-17	2.411682E-18
3.100000E+03	8.003517E-17	2.430055E-18
3.110000E+03	8.068526E-17	2.448518E-18
3.120000E+03	8.134079E-17	2.467121E-18
