#wls	flux	fluxerr
1.600000E+03	1.569343E-17	3.130885E-19
1.640000E+03	1.580962E-17	3.150524E-19
1.680000E+03	1.592805E-17	3.170475E-19
1.720000E+03	1.605440E-17	3.191867E-19
1.760000E+03	1.618567E-17	3.214091E-19
1.800000E+03	1.632169E-17	3.237111E-19
1.840000E+03	1.646531E-17	3.261480E-19
1.880000E+03	1.661340E-17	3.286572E-19
1.920000E+03	1.677171E-17	3.313516E-19
1.960000E+03	1.693712E-17	3.341684E-19
2.000000E+03	1.710942E-17	3.371023E-19
2.040000E+03	1.729137E-17	3.402068E-19
2.080000E+03	1.748274E-17	3.434759E-19
2.120000E+03	1.768324E-17	3.469028E-19
2.160000E+03	1.789256E-17	3.504802E-19
2.200000E+03	1.811644E-17	3.543187E-19
2.240000E+03	1.835145E-17	3.583499E-19
2.280000E+03	1.859716E-17	3.625634E-19
2.320000E+03	1.885922E-17	3.670675E-19
2.360000E+03	1.913402E-17	3.717902E-19
2.400000E+03	1.942402E-17	3.767771E-19
2.440000E+03	1.973164E-17	3.820728E-19
2.480000E+03	2.005610E-17	3.876594E-19
2.520000E+03	2.039964E-17	3.935780E-19
2.560000E+03	2.076130E-17	3.998069E-19
2.600000E+03	2.114616E-17	4.064410E-19
2.640000E+03	2.155301E-17	4.134536E-19
2.680000E+03	2.198357E-17	4.208742E-19
2.720000E+03	2.244242E-17	4.287863E-19
2.760000E+03	2.292785E-17	4.371531E-19
2.800000E+03	2.344102E-17	4.459921E-19
2.840000E+03	2.398882E-17	4.554297E-19
2.880000E+03	2.457183E-17	4.654712E-19
2.920000E+03	2.519032E-17	4.761158E-19
2.960000E+03	2.584721E-17	4.874125E-19
3.000000E+03	2.654503E-17	4.994024E-19
3.010000E+03	2.672910E-17	5.025679E-19
3.020000E+03	2.691395E-17	5.057428E-19
3.030000E+03	2.709955E-17	5.089263E-19
3.040000E+03	2.729164E-17	5.122260E-19
3.050000E+03	2.748433E-17	5.155315E-19
3.060000E+03	2.768046E-17	5.188957E-19
3.070000E+03	2.787996E-17	5.223173E-19
3.080000E+03	2.808274E-17	5.257943E-19
3.090000E+03	2.828873E-17	5.293255E-19
3.100000E+03	2.849785E-17	5.329091E-19
3.110000E+03	2.871002E-17	5.365434E-19
3.120000E+03	2.892514E-17	5.402267E-19
3.130000E+03	2.914599E-17	5.440104E-19
3.140000E+03	2.936678E-17	5.477864E-19
3.150000E+03	2.959312E-17	5.516592E-19
3.160000E+03	2.982487E-17	5.556262E-19
3.170000E+03	3.005632E-17	5.595805E-19
3.180000E+03	3.029300E-17	5.636253E-19
3.190000E+03	3.053481E-17	5.677582E-19
3.200000E+03	3.077882E-17	5.719247E-19
3.210000E+03	3.102773E-17	5.761750E-19
3.220000E+03	3.127866E-17	5.804550E-19
3.230000E+03	3.153702E-17	5.848654E-19
3.240000E+03	3.179717E-17	5.893012E-19
3.250000E+03	3.206175E-17	5.938110E-19
3.260000E+03	3.232791E-17	5.983420E-19
3.270000E+03	3.260098E-17	6.029928E-19
3.280000E+03	3.287812E-17	6.077103E-19
3.290000E+03	3.315917E-17	6.124917E-19
3.300000E+03	3.344672E-17	6.173844E-19
3.310000E+03	3.373524E-17	6.222862E-19
3.320000E+03	3.402996E-17	6.272933E-19
3.330000E+03	3.432806E-17	6.323537E-19
3.340000E+03	3.463208E-17	6.375138E-19
3.350000E+03	3.494183E-17	6.427700E-19
3.360000E+03	3.525453E-17	6.480707E-19
3.370000E+03	3.557266E-17	6.534615E-19
3.380000E+03	3.589606E-17	6.589390E-19
3.390000E+03	3.622194E-17	6.644522E-19
3.400000E+03	3.655537E-17	6.700934E-19
3.410000E+03	3.689357E-17	6.758115E-19
3.420000E+03	3.723634E-17	6.816028E-19
3.430000E+03	3.758611E-17	6.875113E-19
3.440000E+03	3.793755E-17	6.934393E-19
3.450000E+03	3.829816E-17	6.995236E-19
3.460000E+03	3.866262E-17	7.056671E-19
3.470000E+03	3.903078E-17	7.118663E-19
3.480000E+03	3.940748E-17	7.182095E-19
3.490000E+03	3.978749E-17	7.246010E-19
3.500000E+03	4.017312E-17	7.310828E-19
3.510000E+03	4.056418E-17	7.376507E-19
3.520000E+03	4.096291E-17	7.443458E-19
3.530000E+03	4.136665E-17	7.511190E-19
3.540000E+03	4.177517E-17	7.579661E-19
3.550000E+03	4.219073E-17	7.649274E-19
3.560000E+03	4.261306E-17	7.719982E-19
3.570000E+03	4.303955E-17	7.791307E-19
3.580000E+03	4.347478E-17	7.864074E-19
3.590000E+03	4.391374E-17	7.937374E-19
3.600000E+03	4.435861E-17	8.011599E-19
3.610000E+03	4.481149E-17	8.087125E-19
3.620000E+03	4.526981E-17	8.163486E-19
3.630000E+03	4.573569E-17	8.241057E-19
3.640000E+03	4.620654E-17	8.319372E-19
3.650000E+03	4.668447E-17	8.398806E-19
3.660000E+03	4.716922E-17	8.479310E-19
3.670000E+03	4.766059E-17	8.560843E-19
3.680000E+03	4.816058E-17	8.643760E-19
3.690000E+03	4.866445E-17	8.727209E-19
3.700000E+03	4.917647E-17	8.811952E-19
3.710000E+03	4.969639E-17	8.897940E-19
3.720000E+03	5.022178E-17	8.984733E-19
3.730000E+03	5.075462E-17	9.072683E-19
3.740000E+03	5.129469E-17	9.161748E-19
3.750000E+03	5.184175E-17	9.251880E-19
3.760000E+03	5.239562E-17	9.343042E-19
3.770000E+03	5.295608E-17	9.435195E-19
3.780000E+03	5.352507E-17	9.528676E-19
3.790000E+03	5.410237E-17	9.623445E-19
3.800000E+03	5.468567E-17	9.719087E-19
3.810000E+03	5.527899E-17	9.816312E-19
3.820000E+03	5.587797E-17	9.914339E-19
3.830000E+03	5.648453E-17	1.001351E-18
3.840000E+03	5.709854E-17	1.011379E-18
3.850000E+03	5.772186E-17	1.021551E-18
3.860000E+03	5.835233E-17	1.031829E-18
3.868758E+03	1.816866E-17	3.210309E-19
3.869942E+03	1.819270E-17	3.214231E-19
3.871126E+03	1.812255E-17	3.201512E-19
3.872310E+03	1.801975E-17	3.183028E-19
3.873494E+03	1.792284E-17	3.165588E-19
3.874677E+03	1.808957E-17	3.194711E-19
3.875861E+03	1.832656E-17	3.236235E-19
3.877045E+03	1.853589E-17	3.272868E-19
3.878229E+03	1.845888E-17	3.258938E-19
3.879413E+03	1.833306E-17	3.236395E-19
3.880597E+03	1.838974E-17	3.246070E-19
3.882964E+03	1.831095E-17	3.231503E-19
3.884148E+03	1.830387E-17	3.229926E-19
3.885332E+03	1.834501E-17	3.236855E-19
3.886516E+03	1.838893E-17	3.244273E-19
3.887700E+03	1.845557E-17	3.255696E-19
3.888884E+03	1.861207E-17	3.282968E-19
3.890068E+03	1.859193E-17	3.279082E-19
3.891251E+03	1.872637E-17	3.302454E-19
3.892435E+03	1.899048E-17	3.348689E-19
3.893619E+03	1.923656E-17	3.391734E-19
3.894803E+03	1.936447E-17	3.413937E-19
3.895987E+03	1.967930E-17	3.469086E-19
3.897171E+03	1.981096E-17	3.491937E-19
3.898354E+03	2.005022E-17	3.533749E-19
3.899538E+03	2.019277E-17	3.558507E-19
3.900722E+03	2.037576E-17	3.590387E-19
3.901906E+03	2.075284E-17	3.656456E-19
3.903090E+03	2.102170E-17	3.703446E-19
3.904274E+03	2.118543E-17	3.731907E-19
3.905458E+03	2.146456E-17	3.780688E-19
3.906641E+03	2.168211E-17	3.818614E-19
3.907825E+03	2.200046E-17	3.874283E-19
