#wls	flux	fluxerr
1.600000E+03	4.598463E-17	1.962404E-17
1.640000E+03	4.713504E-17	1.999917E-17
1.680000E+03	4.836453E-17	2.039845E-17
1.720000E+03	4.968308E-17	2.082513E-17
1.760000E+03	5.109034E-17	2.127798E-17
1.800000E+03	5.260647E-17	2.176422E-17
1.840000E+03	5.422592E-17	2.228025E-17
1.880000E+03	5.596360E-17	2.283078E-17
1.920000E+03	5.782413E-17	2.341615E-17
1.960000E+03	5.981720E-17	2.403860E-17
2.000000E+03	6.194730E-17	2.469810E-17
2.040000E+03	6.422400E-17	2.539650E-17
2.080000E+03	6.665170E-17	2.613339E-17
2.120000E+03	6.923983E-17	2.691020E-17
2.160000E+03	7.198755E-17	2.772416E-17
2.200000E+03	7.490419E-17	2.857630E-17
2.240000E+03	7.799389E-17	2.946546E-17
2.280000E+03	8.127597E-17	3.039598E-17
2.320000E+03	8.477466E-17	3.137361E-17
2.360000E+03	8.850898E-17	3.240170E-17
2.400000E+03	9.251294E-17	3.348856E-17
2.440000E+03	9.681527E-17	3.463993E-17
2.480000E+03	1.014444E-16	3.586078E-17
2.520000E+03	1.064286E-16	3.715533E-17
2.560000E+03	1.117908E-16	3.852526E-17
2.600000E+03	1.175637E-16	3.997496E-17
2.640000E+03	1.237694E-16	4.150450E-17
2.680000E+03	1.304252E-16	4.311155E-17
2.720000E+03	1.375525E-16	4.479471E-17
2.760000E+03	1.451576E-16	4.654700E-17
2.800000E+03	1.532416E-16	4.835938E-17
2.840000E+03	1.617950E-16	5.021939E-17
2.880000E+03	1.708032E-16	5.211291E-17
2.920000E+03	1.802958E-16	5.403918E-17
2.960000E+03	1.903408E-16	5.600805E-17
3.000000E+03	2.010448E-16	5.803868E-17
3.010000E+03	2.038355E-16	5.855780E-17
3.020000E+03	2.066812E-16	5.908364E-17
3.030000E+03	2.095718E-16	5.961306E-17
3.040000E+03	2.125220E-16	6.014998E-17
3.050000E+03	2.155265E-16	6.069266E-17
3.060000E+03	2.185854E-16	6.124077E-17
3.070000E+03	2.217032E-16	6.179537E-17
3.080000E+03	2.248846E-16	6.235745E-17
3.090000E+03	2.281246E-16	6.292529E-17
3.100000E+03	2.314328E-16	6.350122E-17
3.110000E+03	2.348039E-16	6.408351E-17
3.120000E+03	2.382426E-16	6.467310E-17
3.130000E+03	2.417536E-16	6.527091E-17
3.140000E+03	2.453366E-16	6.587651E-17
3.150000E+03	2.489864E-16	6.648815E-17
3.160000E+03	2.527174E-16	6.710933E-17
3.170000E+03	2.565196E-16	6.773697E-17
3.180000E+03	2.604022E-16	6.837320E-17
3.190000E+03	2.643651E-16	6.901754E-17
3.200000E+03	2.684078E-16	6.966949E-17
3.210000E+03	2.725300E-16	7.032856E-17
3.220000E+03	2.767411E-16	7.099676E-17
3.230000E+03	2.810357E-16	7.167231E-17
3.240000E+03	2.854135E-16	7.235468E-17
3.250000E+03	2.898789E-16	7.304458E-17
3.260000E+03	2.944362E-16	7.374268E-17
3.270000E+03	2.990803E-16	7.444720E-17
3.280000E+03	3.038153E-16	7.515879E-17
3.290000E+03	3.086409E-16	7.587687E-17
3.300000E+03	3.135612E-16	7.660206E-17
3.310000E+03	3.185710E-16	7.733258E-17
3.320000E+03	3.236697E-16	7.806785E-17
3.330000E+03	3.288663E-16	7.880961E-17
3.340000E+03	3.341506E-16	7.955493E-17
3.350000E+03	3.395268E-16	8.030439E-17
3.360000E+03	3.449989E-16	8.105851E-17
3.370000E+03	3.505568E-16	8.181441E-17
3.380000E+03	3.562093E-16	8.257376E-17
3.390000E+03	3.619460E-16	8.333371E-17
3.400000E+03	3.677663E-16	8.409369E-17
3.410000E+03	3.736742E-16	8.485422E-17
3.420000E+03	3.796641E-16	8.561362E-17
3.430000E+03	3.857351E-16	8.637132E-17
3.440000E+03	3.918769E-16	8.712464E-17
3.450000E+03	3.980934E-16	8.787411E-17
3.460000E+03	4.043790E-16	8.861815E-17
3.470000E+03	4.107232E-16	8.935419E-17
3.480000E+03	4.171251E-16	9.008177E-17
3.490000E+03	4.235744E-16	9.079842E-17
3.500000E+03	4.300653E-16	9.150272E-17
3.510000E+03	4.365921E-16	9.219331E-17
3.520000E+03	4.431398E-16	9.286690E-17
3.530000E+03	4.496933E-16	9.352028E-17
3.540000E+03	4.562326E-16	9.414939E-17
3.550000E+03	4.627335E-16	9.474936E-17
3.560000E+03	4.691716E-16	9.531548E-17
3.570000E+03	4.755226E-16	9.584324E-17
3.580000E+03	4.817578E-16	9.632737E-17
3.590000E+03	4.878484E-16	9.676282E-17
3.600000E+03	4.937754E-16	9.714659E-17
3.610000E+03	4.995056E-16	9.747310E-17
3.620000E+03	5.050203E-16	9.773974E-17
3.630000E+03	5.103193E-16	9.794763E-17
3.640000E+03	5.153933E-16	9.809612E-17
3.650000E+03	5.202423E-16	9.818639E-17
3.660000E+03	5.248663E-16	9.821963E-17
3.670000E+03	5.292700E-16	9.819789E-17
3.680000E+03	5.334535E-16	9.812236E-17
3.690000E+03	5.374122E-16	9.799337E-17
3.700000E+03	5.411602E-16	9.781464E-17
3.710000E+03	5.446883E-16	9.758566E-17
3.720000E+03	5.480059E-16	9.730924E-17
3.730000E+03	5.511131E-16	9.698655E-17
3.740000E+03	5.540148E-16	9.661952E-17
3.750000E+03	5.567112E-16	9.620929E-17
3.760000E+03	5.592024E-16	9.575699E-17
3.770000E+03	5.614980E-16	9.526528E-17
3.780000E+03	5.635982E-16	9.473526E-17
3.790000E+03	5.655078E-16	9.416875E-17
3.800000E+03	5.672226E-16	9.356606E-17
3.810000E+03	5.687567E-16	9.293050E-17
3.820000E+03	5.701059E-16	9.226232E-17
3.830000E+03	5.712796E-16	9.156400E-17
3.840000E+03	5.722737E-16	9.083581E-17
3.850000E+03	5.731023E-16	9.008084E-17
3.860000E+03	5.737568E-16	8.929862E-17
3.870000E+03	5.742512E-16	8.849217E-17
3.880000E+03	5.745861E-16	8.766239E-17
3.890000E+03	5.747621E-16	8.681013E-17
3.900000E+03	5.747841E-16	8.593695E-17
3.910000E+03	5.746574E-16	8.504433E-17
3.920000E+03	5.743871E-16	8.413372E-17
3.930000E+03	5.739737E-16	8.320590E-17
3.940000E+03	5.734182E-16	8.226165E-17
3.950000E+03	5.727300E-16	8.130297E-17
3.960000E+03	5.719143E-16	8.033116E-17
3.970000E+03	5.709633E-16	7.934570E-17
3.980000E+03	5.698910E-16	7.834907E-17
3.990000E+03	5.686982E-16	7.734192E-17
4.000000E+03	5.673902E-16	7.632542E-17
4.010000E+03	5.659638E-16	7.529961E-17
4.020000E+03	5.644242E-16	7.426563E-17
4.030000E+03	5.627811E-16	7.322516E-17
4.040000E+03	5.610312E-16	7.217816E-17
4.050000E+03	5.591802E-16	7.112567E-17
4.060000E+03	5.572290E-16	7.006819E-17
4.070000E+03	5.551831E-16	6.900670E-17
4.080000E+03	5.530438E-16	6.794165E-17
4.090000E+03	5.508165E-16	6.687395E-17
4.100000E+03	5.485025E-16	6.580401E-17
4.110000E+03	5.461032E-16	6.473220E-17
4.120000E+03	5.436241E-16	6.365937E-17
4.130000E+03	5.410706E-16	6.258633E-17
4.140000E+03	5.384402E-16	6.151291E-17
4.150000E+03	5.357423E-16	6.044035E-17
4.160000E+03	5.329743E-16	5.936845E-17
4.170000E+03	5.301419E-16	5.829793E-17
4.180000E+03	5.272504E-16	5.722947E-17
4.190000E+03	5.243014E-16	5.616326E-17
4.200000E+03	5.212964E-16	5.509952E-17
4.210000E+03	5.182408E-16	5.403884E-17
4.220000E+03	5.151362E-16	5.298139E-17
4.230000E+03	5.119881E-16	5.192773E-17
4.240000E+03	5.088018E-16	5.087838E-17
4.250000E+03	5.055789E-16	4.983343E-17
4.260000E+03	5.023169E-16	4.879260E-17
4.270000E+03	4.990291E-16	4.775713E-17
4.280000E+03	4.957130E-16	4.672668E-17
4.290000E+03	4.923739E-16	4.570169E-17
4.300000E+03	4.890095E-16	4.468184E-17
4.310000E+03	4.856289E-16	4.366789E-17
4.320000E+03	4.822335E-16	4.265983E-17
4.330000E+03	4.788248E-16	4.165771E-17
4.340000E+03	4.754080E-16	4.066184E-17
4.350000E+03	4.719846E-16	3.967223E-17
4.360000E+03	4.685670E-16	3.868981E-17
4.370000E+03	4.651528E-16	3.771420E-17
4.380000E+03	4.617471E-16	3.674567E-17
4.390000E+03	4.583549E-16	3.578445E-17
4.400000E+03	4.549739E-16	3.483020E-17
4.410000E+03	4.516089E-16	3.388314E-17
4.420000E+03	4.482615E-16	3.294323E-17
4.430000E+03	4.449292E-16	3.201015E-17
4.440000E+03	4.416208E-16	3.108439E-17
4.450000E+03	4.383340E-16	3.016565E-17
4.460000E+03	4.350703E-16	2.925390E-17
4.470000E+03	4.318278E-16	2.834891E-17
4.480000E+03	4.286148E-16	2.745113E-17
4.490000E+03	4.254330E-16	2.656055E-17
4.500000E+03	4.222771E-16	2.567676E-17
4.510000E+03	4.191555E-16	2.480021E-17
4.520000E+03	4.160667E-16	2.393075E-17
4.530000E+03	4.130123E-16	2.306842E-17
4.540000E+03	4.099976E-16	2.221352E-17
4.550000E+03	4.070245E-16	2.136613E-17
4.560000E+03	4.040916E-16	2.052620E-17
4.570000E+03	4.012009E-16	1.969389E-17
4.580000E+03	3.983578E-16	1.886957E-17
4.590000E+03	3.955647E-16	1.805347E-17
4.600000E+03	3.928171E-16	1.724557E-17
4.610000E+03	3.901240E-16	1.644654E-17
4.620000E+03	3.874880E-16	1.565680E-17
4.630000E+03	3.849050E-16	1.487661E-17
4.640000E+03	3.823811E-16	1.410677E-17
4.650000E+03	3.799189E-16	1.334807E-17
4.660000E+03	3.775183E-16	1.260140E-17
4.670000E+03	3.751886E-16	1.186820E-17
4.680000E+03	3.729296E-16	1.114992E-17
4.690000E+03	3.707477E-16	1.044855E-17
4.700000E+03	3.686462E-16	9.766528E-18
4.710000E+03	3.666315E-16	9.107010E-18
4.720000E+03	3.647038E-16	8.473831E-18
4.730000E+03	3.628728E-16	7.872130E-18
4.740000E+03	3.611388E-16	7.308160E-18
