#wls	flux	fluxerr
1.600000E+03	2.255472E-17	9.419402E-18
1.640000E+03	2.258407E-17	9.367843E-18
1.680000E+03	2.261606E-17	9.315245E-18
1.720000E+03	2.265900E-17	9.264928E-18
1.760000E+03	2.270443E-17	9.213306E-18
1.800000E+03	2.276066E-17	9.163645E-18
1.840000E+03	2.282760E-17	9.115753E-18
1.880000E+03	2.290518E-17	9.069430E-18
1.920000E+03	2.300174E-17	9.027775E-18
1.960000E+03	2.310874E-17	8.987203E-18
2.000000E+03	2.323874E-17	8.952365E-18
2.040000E+03	2.339164E-17	8.922886E-18
2.080000E+03	2.356308E-17	8.896770E-18
2.120000E+03	2.376559E-17	8.878394E-18
2.160000E+03	2.399477E-17	8.865654E-18
2.200000E+03	2.425465E-17	8.859583E-18
2.240000E+03	2.454499E-17	8.859584E-18
2.280000E+03	2.486129E-17	8.863524E-18
2.320000E+03	2.521171E-17	8.873790E-18
2.360000E+03	2.558741E-17	8.886700E-18
2.400000E+03	2.599225E-17	8.903059E-18
2.440000E+03	2.642155E-17	8.920707E-18
2.480000E+03	2.687485E-17	8.938955E-18
2.520000E+03	2.734742E-17	8.955713E-18
2.560000E+03	2.784291E-17	8.971686E-18
2.600000E+03	2.836075E-17	8.986140E-18
2.640000E+03	2.889609E-17	8.997016E-18
2.680000E+03	2.945246E-17	9.004920E-18
2.720000E+03	3.002495E-17	9.007835E-18
2.760000E+03	3.061282E-17	9.005081E-18
2.800000E+03	3.121529E-17	8.995983E-18
2.840000E+03	3.183154E-17	8.979875E-18
2.880000E+03	3.245243E-17	8.953822E-18
2.920000E+03	3.308127E-17	8.918481E-18
2.960000E+03	3.371719E-17	8.873333E-18
3.000000E+03	3.436744E-17	8.819994E-18
3.010000E+03	3.453277E-17	8.805466E-18
3.020000E+03	3.470120E-17	8.790956E-18
3.030000E+03	3.487272E-17	8.776441E-18
3.040000E+03	3.504322E-17	8.760879E-18
3.050000E+03	3.521270E-17	8.744271E-18
3.060000E+03	3.538927E-17	8.728625E-18
3.070000E+03	3.556478E-17	8.711903E-18
3.080000E+03	3.574732E-17	8.696083E-18
3.090000E+03	3.592874E-17	8.679158E-18
3.100000E+03	3.611309E-17	8.662103E-18
3.110000E+03	3.630034E-17	8.644894E-18
3.120000E+03	3.649046E-17	8.627511E-18
3.130000E+03	3.668342E-17	8.609931E-18
3.140000E+03	3.688321E-17	8.593072E-18
3.150000E+03	3.708176E-17	8.575026E-18
3.160000E+03	3.728708E-17	8.557640E-18
3.170000E+03	3.749912E-17	8.540871E-18
3.180000E+03	3.771384E-17	8.523764E-18
3.190000E+03	3.793520E-17	8.507199E-18
3.200000E+03	3.815916E-17	8.490238E-18
3.210000E+03	3.839366E-17	8.474625E-18
3.220000E+03	3.863068E-17	8.458544E-18
3.230000E+03	3.887415E-17	8.442838E-18
3.240000E+03	3.912403E-17	8.427463E-18
