MJD	ZTF_g	ZTF_g_err	ZTF_r	ZTF_r_err	ps_g	ps_g_err	ps_i	ps_i_err	ps_r	ps_r_err
59087.43	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
59087.48	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
59087.530000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
59087.58000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
59087.63000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
59087.680000000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
59087.73000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
59087.78000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
59087.83000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
59087.88000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
59087.93000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
59087.98000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
59088.030000000035	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
59088.08000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
59088.13000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
59088.180000000044	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
59088.23000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
59088.28000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
59088.33000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
59088.380000000056	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
59088.43000000006	nan	nan	2.1873551397472902e-17	4.080771868764859e-18	nan	nan	nan	nan	nan	nan
59088.48000000006	nan	nan	2.2701370985428385e-17	3.997013052014353e-18	nan	nan	nan	nan	nan	nan
59088.530000000064	nan	nan	2.3531363959605176e-17	3.915389226971352e-18	nan	nan	nan	nan	nan	nan
59088.58000000007	nan	nan	2.4363560007879857e-17	3.835896933627829e-18	nan	nan	nan	nan	nan	nan
59088.63000000007	nan	nan	2.5197988825700165e-17	3.758533176362592e-18	nan	nan	nan	nan	nan	nan
59088.68000000007	nan	nan	2.6034680116262542e-17	3.683295500939574e-18	nan	nan	nan	nan	nan	nan
59088.730000000076	nan	nan	2.6873663590518366e-17	3.610182068122816e-18	nan	nan	nan	nan	nan	nan
59088.78000000008	nan	nan	2.7714968967306377e-17	3.539191722203218e-18	nan	nan	nan	nan	nan	nan
59088.83000000008	nan	nan	2.8558625973532464e-17	3.470324053078942e-18	nan	nan	nan	nan	nan	nan
59088.880000000085	nan	nan	2.94046643442022e-17	3.4035794499008685e-18	nan	nan	nan	nan	nan	nan
59088.93000000009	nan	nan	3.0253113822416795e-17	3.3389591443542557e-18	nan	nan	nan	nan	nan	nan
59088.98000000009	nan	nan	3.110400415975064e-17	3.276465241614226e-18	nan	nan	nan	nan	nan	nan
59089.03000000009	nan	nan	3.1957365116059416e-17	3.2161007365186e-18	nan	nan	nan	nan	nan	nan
59089.080000000096	nan	nan	3.2813226459763805e-17	3.1578695127393034e-18	nan	nan	nan	nan	nan	nan
59089.1300000001	nan	nan	3.367161796787807e-17	3.1017763224938716e-18	nan	nan	nan	nan	nan	nan
59089.1800000001	nan	nan	3.453256942612833e-17	3.0478267442953093e-18	nan	nan	nan	nan	nan	nan
59089.230000000105	nan	nan	3.5396110629060794e-17	2.9960271165143185e-18	nan	nan	nan	nan	nan	nan
59089.28000000011	nan	nan	3.6262271380125454e-17	2.9463844442380017e-18	nan	nan	nan	nan	nan	nan
59089.33000000011	nan	nan	3.7131081491796334e-17	2.8989062775659266e-18	nan	nan	nan	nan	nan	nan
59089.380000000114	nan	nan	3.800257078566552e-17	2.8536005594433402e-18	nan	nan	nan	nan	nan	nan
59089.43000000012	nan	nan	3.887676909250432e-17	2.8104754417755858e-18	nan	nan	nan	nan	nan	nan
59089.48000000012	nan	nan	3.975370385781786e-17	2.769537867537055e-18	nan	nan	nan	nan	nan	nan
59089.53000000012	5.731674406190899e-17	9.44563468893936e-18	4.063334745904398e-17	2.7307669296691746e-18	nan	nan	nan	nan	nan	nan
59089.580000000125	5.796162350970642e-17	9.336853815509089e-18	4.1515617205640776e-17	2.6941139394909946e-18	nan	nan	nan	nan	nan	nan
59089.63000000013	5.860850702182202e-17	9.230193314108688e-18	4.240042802138609e-17	2.6595292273458026e-18	nan	nan	nan	nan	nan	nan
59089.68000000013	5.925739951019615e-17	9.125699441053911e-18	4.32876948388104e-17	2.626963759801046e-18	nan	nan	nan	nan	nan	nan
59089.730000000134	5.990830589760996e-17	9.023418647863093e-18	4.417733259882364e-17	2.5963695581283777e-18	nan	nan	nan	nan	nan	nan
59089.78000000014	6.056123111771181e-17	8.923397475641848e-18	4.5069256250496615e-17	2.5677001134304558e-18	nan	nan	nan	nan	nan	nan
59089.83000000014	6.121618011504316e-17	8.82568243923106e-18	4.596338075071228e-17	2.540910791861409e-18	nan	nan	nan	nan	nan	nan
59089.88000000014	6.187315784505406e-17	8.730319900900205e-18	4.6859621063875775e-17	2.5159592237084064e-18	nan	nan	nan	nan	nan	nan
59089.930000000146	6.253216927413684e-17	8.637355933476506e-18	4.7757892161616675e-17	2.4928056702100064e-18	nan	nan	nan	nan	nan	nan
59089.98000000015	6.319321553365571e-17	8.546832233173164e-18	4.865810902253586e-17	2.4714133616530474e-18	nan	nan	nan	nan	nan	nan
59090.03000000015	6.38562693416887e-17	8.458760803698719e-18	4.956018663181173e-17	2.451748801602495e-18	nan	nan	nan	nan	nan	nan
59090.080000000155	6.452129068729389e-17	8.373139961314555e-18	5.046403998097983e-17	2.4337820314410317e-18	nan	nan	nan	nan	nan	nan
59090.13000000016	6.51882395100027e-17	8.289967306191888e-18	5.136958406761236e-17	2.417486850702635e-18	nan	nan	nan	nan	nan	nan
59090.18000000016	6.585707575968923e-17	8.209239768970954e-18	5.227673389500619e-17	2.402840988772916e-18	nan	nan	nan	nan	nan	nan
59090.23000000016	6.652775939633322e-17	8.130953596557473e-18	5.3185404471886765e-17	2.3898262244757645e-18	nan	nan	nan	nan	nan	nan
59090.280000000166	6.720025038979467e-17	8.05510433886252e-18	5.409551081213068e-17	2.3784284502924187e-18	nan	nan	nan	nan	nan	nan
59090.33000000017	6.787450871957892e-17	7.981686836610809e-18	5.500696793448009e-17	2.3686376794209394e-18	nan	nan	nan	nan	nan	nan
59090.38000000017	6.855049437461062e-17	7.910695210399292e-18	5.59196908621119e-17	2.3604479937256148e-18	nan	nan	nan	nan	nan	nan
59090.430000000175	6.922816735299731e-17	7.84212285109833e-18	5.683359462260951e-17	2.3538574323640573e-18	nan	nan	nan	nan	nan	nan
59090.48000000018	6.990748766180775e-17	7.775962411745004e-18	5.774859424734219e-17	2.348867820859269e-18	nan	nan	nan	nan	nan	nan
59090.53000000018	7.058841531682563e-17	7.712205801086723e-18	5.86646159511287e-17	2.345478403366877e-18	nan	nan	nan	nan	nan	nan
59090.580000000184	7.127091034234274e-17	7.650844178835266e-18	5.958163067108251e-17	2.3436672482561023e-18	nan	nan	nan	nan	nan	nan
