#wls	flux	fluxerr	mangling_mask
3.868758E+03	1.763746E-17	6.531424E-18	3.017582E-15
3.869942E+03	1.766107E-17	6.312418E-18	3.017697E-15
3.871126E+03	1.759324E-17	6.205565E-18	3.017811E-15
3.872310E+03	1.749371E-17	6.076641E-18	3.017925E-15
3.873494E+03	1.739990E-17	6.045685E-18	3.018040E-15
3.874677E+03	1.756203E-17	6.041326E-18	3.018153E-15
3.875861E+03	1.779238E-17	6.078114E-18	3.018267E-15
3.877045E+03	1.799589E-17	5.995994E-18	3.018381E-15
3.878229E+03	1.792140E-17	5.809453E-18	3.018494E-15
3.879413E+03	1.779952E-17	5.488503E-18	3.018607E-15
3.880597E+03	1.785482E-17	5.480083E-18	3.018720E-15
3.882964E+03	1.777887E-17	5.530749E-18	3.018945E-15
3.884148E+03	1.777228E-17	5.505597E-18	3.019057E-15
3.885332E+03	1.781250E-17	5.498146E-18	3.019169E-15
3.886516E+03	1.785542E-17	5.493848E-18	3.019281E-15
3.887700E+03	1.792040E-17	5.718015E-18	3.019393E-15
3.888884E+03	1.807264E-17	5.814603E-18	3.019504E-15
3.890068E+03	1.805337E-17	5.637580E-18	3.019615E-15
3.891251E+03	1.818419E-17	5.603731E-18	3.019726E-15
3.892435E+03	1.844094E-17	5.729378E-18	3.019837E-15
3.893619E+03	1.868019E-17	5.580596E-18	3.019947E-15
3.894803E+03	1.880469E-17	5.849743E-18	3.020058E-15
3.895987E+03	1.911072E-17	5.952354E-18	3.020168E-15
3.897171E+03	1.923887E-17	5.790416E-18	3.020278E-15
3.898354E+03	1.947153E-17	5.801168E-18	3.020387E-15
3.899538E+03	1.961027E-17	6.133043E-18	3.020497E-15
3.900722E+03	1.978829E-17	6.002966E-18	3.020606E-15
3.901906E+03	2.015481E-17	5.838528E-18	3.020715E-15
3.903090E+03	2.041624E-17	5.856807E-18	3.020824E-15
3.904274E+03	2.057557E-17	5.874740E-18	3.020932E-15
3.905458E+03	2.084699E-17	5.879390E-18	3.021041E-15
3.906641E+03	2.105861E-17	5.968369E-18	3.021149E-15
3.907825E+03	2.136814E-17	5.986387E-18	3.021256E-15
3.909009E+03	2.167043E-17	6.111861E-18	3.021364E-15
3.910193E+03	2.181593E-17	6.284566E-18	3.021472E-15
3.911377E+03	2.204423E-17	6.315675E-18	3.021579E-15
3.912561E+03	2.214624E-17	6.476140E-18	3.021686E-15
3.913745E+03	2.244013E-17	6.726611E-18	3.021792E-15
