MJD,Mag,Mag_err,band,Instr
58847.66,16.428,0.009,ps_g,PAN_STARRS1
58847.66,15.25,0.007,ps_z,PAN_STARRS1
58847.66,15.348,0.005,ps_i,PAN_STARRS1
58847.66,15.639,0.005,ps_r,PAN_STARRS1
58850.521,15.32,0.006,ZTF_r,P48
58850.543,16.243,0.01,ZTF_g,P48
58853.504,16.064,0.007,ZTF_g,P48
58856.543,16.099,0.007,ZTF_g,P48
58870.58,17.087,0.012,ps_g,PAN_STARRS1
58870.59,15.223,0.004,ps_i,PAN_STARRS1
58872.438,17.282,0.016,ZTF_g,P48
58872.544,15.7,0.007,ZTF_r,P48
58874.59,17.328,0.019,ps_g,PAN_STARRS1
58874.59,15.981,0.007,ps_r,PAN_STARRS1
58875.501,15.922,0.011,ZTF_r,P48
58877.58,17.458,0.017,ps_g,PAN_STARRS1
58877.58,15.483,0.004,ps_i,PAN_STARRS1
58881.48,17.683,0.02,ZTF_g,P48
58882.6,15.222,0.006,ps_z,PAN_STARRS1
58882.6,17.582,0.029,ps_g,PAN_STARRS1
58884.459,17.813,0.032,ZTF_g,P48
58884.519,16.208,0.01,ZTF_r,P48
58887.439,17.742,0.037,ZTF_g,P48
58887.481,16.225,0.011,ZTF_r,P48
58894.334,17.975,0.033,ZTF_g,P48
58894.493,16.413,0.01,ZTF_r,P48
58898.417,18.04,0.024,ZTF_g,P48
58898.46,16.512,0.014,ZTF_r,P48
58901.397,16.614,0.011,ZTF_r,P48
58908.455,16.669,0.011,ZTF_r,P48
58911.449,16.77,0.018,ZTF_r,P48
58914.404,16.62,0.016,ZTF_r,P48
58930.51,18.439,0.081,ps_g,PAN_STARRS1
58930.52,17.173,0.047,ps_r,PAN_STARRS1
58937.42,17.308,0.019,ps_r,PAN_STARRS1
58937.42,18.482,0.056,ps_g,PAN_STARRS1
58941.42,18.467,0.032,ps_g,PAN_STARRS1
58941.42,16.786,0.011,ps_i,PAN_STARRS1
58950.39,16.867,0.014,ps_i,PAN_STARRS1
58950.4,17.328,0.021,ps_r,PAN_STARRS1
58955.269,17.346,0.021,ZTF_r,P48
58955.294,18.596,0.052,ZTF_g,P48
58956.45,16.925,0.012,ps_i,PAN_STARRS1
58956.45,18.629,0.046,ps_g,PAN_STARRS1
58963.247,18.631,0.043,ZTF_g,P48
58966.208,17.633,0.214,ZTF_r,P48
58966.252,18.686,0.082,ZTF_g,P48
58969.232,18.722,0.075,ZTF_g,P48
58969.295,17.419,0.213,ZTF_r,P48
58969.38,16.189,0.014,ps_z,PAN_STARRS1
58969.38,18.62,0.044,ps_g,PAN_STARRS1
58971.39,18.779,0.037,ps_g,PAN_STARRS1
58971.39,17.109,0.012,ps_i,PAN_STARRS1
58972.192,17.548,0.033,ZTF_r,P48
58972.252,18.725,0.076,ZTF_g,P48
58976.253,17.286,0.031,ZTF_r,P48
58980.189,18.637,0.038,ZTF_g,P48
58982.28,17.173,0.015,ps_i,PAN_STARRS1
58982.28,18.832,0.037,ps_g,PAN_STARRS1
58986.189,18.771,0.046,ZTF_g,P48
58986.27,17.692,0.014,ps_r,PAN_STARRS1
58986.28,18.779,0.035,ps_g,PAN_STARRS1
58988.27,18.856,0.051,ps_g,PAN_STARRS1
58988.27,17.214,0.016,ps_i,PAN_STARRS1
58992.191,18.89,0.053,ZTF_g,P48
58992.232,17.725,0.024,ZTF_r,P48
58995.199,18.865,0.053,ZTF_g,P48
58995.247,17.678,0.025,ZTF_r,P48
58998.192,19.032,0.065,ZTF_g,P48
58998.231,17.608,0.022,ZTF_r,P48
58998.26,16.546,0.011,ps_z,PAN_STARRS1
58998.26,18.928,0.04,ps_g,PAN_STARRS1
59004.36,17.629,0.024,ps_r,PAN_STARRS1
59004.36,17.16,0.021,ps_i,PAN_STARRS1
59005.254,17.561,0.035,ZTF_r,P48
59007.28,17.756,0.016,ps_r,PAN_STARRS1
59007.28,16.593,0.009,ps_z,PAN_STARRS1
59009.17,17.444,0.024,ZTF_r,P48
59009.231,18.871,0.09,ZTF_g,P48
59010.28,17.558,0.014,ps_r,PAN_STARRS1
59010.28,17.152,0.015,ps_i,PAN_STARRS1
59014.198,18.627,0.042,ZTF_g,P48
59014.27,17.075,0.013,ps_i,PAN_STARRS1
59014.27,18.543,0.028,ps_g,PAN_STARRS1
59016.28,17.695,0.018,ps_r,PAN_STARRS1
59016.28,18.829,0.042,ps_g,PAN_STARRS1
59017.217,18.815,0.056,ZTF_g,P48
59017.234,17.756,0.034,ZTF_r,P48
59020.197,18.815,0.052,ZTF_g,P48
59020.235,17.671,0.023,ZTF_r,P48
59020.28,17.347,0.028,ps_i,PAN_STARRS1
59020.28,18.695,0.077,ps_g,PAN_STARRS1
59023.213,18.922,0.059,ZTF_g,P48
59026.216,18.901,0.145,ZTF_g,P48
59032.27,17.76,0.022,ps_r,PAN_STARRS1
59032.27,16.726,0.016,ps_z,PAN_STARRS1
59033.172,17.626,0.052,ZTF_r,P48
59036.28,17.814,0.02,ps_r,PAN_STARRS1
59036.28,16.677,0.014,ps_z,PAN_STARRS1
59037.211,18.855,0.157,ZTF_g,P48
59042.27,16.895,0.015,ps_z,PAN_STARRS1
59042.27,19.172,0.055,ps_g,PAN_STARRS1
59059.28,16.905,0.024,ps_z,PAN_STARRS1
59059.28,17.948,0.091,ps_r,PAN_STARRS1
