MJD,Mag,Mag_err,band,Instr
58855.459,16.996,0.016,ZTF_g,P48
58855.542,17.288,0.019,ZTF_r,P48
58856.542,16.115,0.007,ZTF_g,P48
58859.475,14.723,0.004,ZTF_r,P48
58859.529,14.888,0.004,ZTF_g,P48
58860.388,14.501,0.004,ZTF_r,P48
58861.479,14.333,0.003,ZTF_g,P48
58862.373,14.063,0.003,ZTF_r,P48
58862.48,14.15,0.003,ZTF_g,P48
58866.56,14.762,0.004,ps_i,PAN_STARRS1
58866.57,15.003,0.004,ps_g,PAN_STARRS1
58866.85,14.26,0.002,ZTF_g,P48
58867.162,13.834,0.002,ZTF_r,P48
58869.57,15.378,0.005,ps_r,PAN_STARRS1
58869.57,15.633,0.006,ps_g,PAN_STARRS1
58871.461,15.076,0.004,ZTF_g,P48
58871.502,14.186,0.003,ZTF_r,P48
58873.396,15.373,0.004,ZTF_g,P48
58873.515,14.404,0.003,ZTF_r,P48
58875.456,15.741,0.006,ZTF_g,P48
58875.803,14.714,0.004,ZTF_r,P48
58876.395,15.821,0.006,ZTF_g,P48
58876.951,15.883,0.007,ZTF_g,P48
58878.067,15.047,0.005,ZTF_r,P48
58878.167,16.058,0.007,ZTF_g,P48
58878.521,16.08,0.008,ZTF_g,P48
58879.527,15.198,0.006,ZTF_r,P48
58880.461,16.214,0.008,ZTF_g,P48
58880.925,15.335,0.005,ZTF_r,P48
58881.468,16.31,0.008,ZTF_g,P48
58881.538,15.344,0.005,ZTF_r,P48
58883.458,16.528,0.013,ZTF_g,P48
58883.851,15.652,0.008,ZTF_r,P48
58884.441,16.569,0.012,ZTF_g,P48
58884.839,15.697,0.007,ZTF_r,P48
58885.434,16.586,0.014,ZTF_g,P48
58885.507,15.702,0.006,ZTF_r,P48
58886.459,16.575,0.011,ZTF_g,P48
58886.996,15.732,0.007,ZTF_r,P48
58887.431,16.571,0.014,ZTF_g,P48
58888.135,15.86,0.009,ZTF_r,P48
58888.285,16.693,0.028,ZTF_g,P48
58892.319,16.088,0.011,ZTF_r,P48
58892.364,16.776,0.014,ZTF_g,P48
58893.323,16.1,0.008,ZTF_r,P48
58893.46,16.795,0.013,ZTF_g,P48
58894.154,16.13,0.009,ZTF_r,P48
58894.354,16.784,0.012,ZTF_g,P48
58895.393,16.81,0.011,ZTF_g,P48
58895.438,16.164,0.008,ZTF_r,P48
58898.405,16.886,0.011,ZTF_g,P48
58898.42,16.269,0.008,ZTF_r,P48
58899.407,16.927,0.012,ZTF_g,P48
58899.461,16.338,0.009,ZTF_r,P48
58900.358,16.868,0.013,ZTF_g,P48
58900.426,16.378,0.01,ZTF_r,P48
58901.421,16.416,0.01,ZTF_r,P48
58903.356,16.95,0.012,ZTF_g,P48
58903.438,16.451,0.01,ZTF_r,P48
58904.459,17.016,0.014,ZTF_g,P48
58904.475,16.534,0.012,ZTF_r,P48
58905.298,17.045,0.018,ZTF_g,P48
58906.343,16.985,0.014,ZTF_g,P48
